"event_definition","Coding_system","Codes"
"Pseudotumor Cerebri","ICD9CM","348.2"
"Syncope","ICD9CM","780.2"
"Occlusion and stenosis of basilar artery with cerebral infarction","ICD9CM","433.01"
"Occlusion and stenosis of carotid artery with cerebral infarction","ICD9CM","433.11"
"Occlusion and stenosis of vertebral artery with cerebral infarction","ICD9CM","433.21"
"occlusion and stenosis of multiple and bilateral precerebral arteries with cerebral infarction","ICD9CM","433.31"
"Occlusion and stenosis of other specified precerebral artery with cerebral infarction","ICD9CM","433.81"
"Occlusion and stenosis of unspecified precerebral artery with cerebral infarction","ICD9CM","433.91"
"Cerebral thrombosis with cerebral infarction","ICD9CM","434.01"
"cerebral embolism with cerebral infarction","ICD9CM","434.11"
"Cerebral artery occlusion, unspecified with cerebral infarction","ICD9CM","434.91"
"Other convulsions","ICD9CM","780.39"
"intracranial rupture","ICPC2P","K90014"
"Cerebral Infarction","ICPC2P","K90010"
"Seizures","ICPC2P","N07001, N07002, N07003"
"Cerebrovascular accident","ICPC2P","K90002, K90017, K90024"
"Syncope","ICPC2P","A06003, A06005, A06009, A06012"
"Pseudotumor Cerebri","MTHICD9","348.2"
"Seizures","MTHICD9","780.39"
"Syncope","MTHICD9","780.2"
"Occlusion and stenosis of unspecified precerebral artery with cerebral infarction","MTHICD9","433.91"
"Pseudotumor Cerebri","RCD2","F282."
"Seizures","RCD2","R003z, R003., R0032"
"Generalized seizures","RCD2","F25H."
"Cerebrovascular accident","RCD2","G66.."
"Syncope","RCD2","R002z, R002., R0021"
"Other cerebral infarction","RCD2","Gyu64"
"Cerebral infarction due to cerebral venous thrombosis, non-pyogenic","RCD2","G6760"
"Cerebral Infarction","SCTSPA","266256009, 432504007"
"Pseudotumor Cerebri","SCTSPA","68267002"
"Seizures","SCTSPA","206732001, 206735004, 206738002, 32631004, 91175000"
"Generalized seizures","SCTSPA","246545002, 78538003"
"Cerebrovascular accident","SCTSPA","230690007, 270883006, 313267000, 82797006"
"Syncope","SCTSPA","206725005, 206727002, 206731008, 271594007, 271785004, 272030005, 29423006, 309585006"
"Other cerebral infarction","SCTSPA","195600003"
"Cerebral infarction due to cerebral venous thrombosis, non-pyogenic","SCTSPA","195230003"
"Cerebral Infarction","SNOMEDCT_US","155405006, 195188006, 195191006, 20059004, 266256009, 266315008, 432504007"
"Pseudotumor Cerebri","SNOMEDCT_US","155052007, 267701004, 68267002"
"Seizures","SNOMEDCT_US","158138006, 158141002, 158142009, 206732001, 206735004, 206738002, 271788002, 312078006, 313290005, 32631004, 91175000"
"Generalized seizures","SNOMEDCT_US","246545002, 78538003"
"Cerebrovascular accident","SNOMEDCT_US","155388006, 155405006, 195208004, 230690007, 266312006, 266315008, 270883006, 313267000, 82797006"
"Syncope","SNOMEDCT_US","139532000, 158133002, 158135009, 158137001, 162263008, 206725005, 206727002, 206731008, 271211004, 271594007, 271785004, 272030005, 29423006, 309585006"
"Other cerebral infarction","SNOMEDCT_US","195600003"
"Cerebral infarction due to cerebral venous thrombosis, non-pyogenic","SNOMEDCT_US","195230003"
"Cerebral Infarction","RCD","Xa0kZ, XE0VJ"
"Pseudotumor Cerebri","RCD","F282."
"Seizures","RCD","R003., R0032, R003z, XaDbE, XaEHz, XaEI2"
"Generalized seizures","RCD","X75Z0"
"Cerebrovascular accident","RCD","X00D1, XaEGq, XE2aB"
"Syncope","RCD","R002., R0021, R002z, XaBua, XM010, XM06a, XM0CY"
"Other cerebral infarction","RCD","Gyu64"
"Cerebral infarction due to cerebral venous thrombosis, non-pyogenic","RCD","G6760"
"Cerebrovascular accident","ICPC","K90"
"Syncope","ICPC","A06"
"Cerebral Infarction","ICD10/CM","I63, I63.9"
"Pseudotumor Cerebri","ICD10/CM","G93.2"
"Cerebrovascular accident","ICD10/CM","I63.9, I64"
"Syncope","ICD10/CM","R55"
"Other cerebral infarction","ICD10/CM","I63.8, I63.89"
"Cerebral infarction due to cerebral venous thrombosis, non-pyogenic","ICD10/CM","I63.6"
"Cerebral infarction due to thrombosis of unspecified precerebral artery","ICD10/CM","I63.00"
"Cerebral infarction due to thrombosis of right vertebral artery","ICD10/CM","I63.011"
"Cerebral infarction due to thrombosis of left vertebral artery","ICD10/CM","I63.012"
"Cerebral infarction due to thrombosis of unspecified vertebral artery","ICD10/CM","I63.019"
"Cerebral infarction due to thrombosis of basilar artery","ICD10/CM","I63.02"
"Cerebral infarction due to thrombosis of right carotid artery","ICD10/CM","I63.031"
"Cerebral infarction due to thrombosis of left carotid artery","ICD10/CM","I63.032"
"Cerebral infarction due to thrombosis of unspecified carotid artery","ICD10/CM","I63.039"
"Cerebral infarction due to thrombosis of other precerebral artery","ICD10/CM","I63.09"
"Cerebral infarction due to embolism of unspecified precerebral artery","ICD10/CM","I63.10"
"Cerebral infarction due to embolism of right vertebral artery","ICD10/CM","I63.111"
"Cerebral infarction due to embolism of left vertebral artery","ICD10/CM","I63.112"
"Cerebral infarction due to embolism of unspecified vertebral artery","ICD10/CM","I63.119"
"Cerebral infarction due to embolism of basilar artery","ICD10/CM","I63.12"
"Cerebral infarction due to embolism of right carotid artery","ICD10/CM","I63.131"
"Cerebral infarction due to embolism of left carotid artery","ICD10/CM","I63.132"
"Cerebral infarction due to embolism of unspecified carotid artery","ICD10/CM","I63.139"
"Cerebral infarction due to embolism of other precerebral artery","ICD10/CM","I63.19"
"Cerebral infarction due to unspecified occlusion or stenosis of unspecified precerebral arteries","ICD10/CM","I63.20"
"Cerebral infarction due to unspecified occlusion or stenosis of right vertebral artery","ICD10/CM","I63.211"
"Cerebral infarction due to unspecified occlusion or stenosis of left vertebral artery","ICD10/CM","I63.212"
"Cerebral infarction due to unspecified occlusion or stenosis of unspecified vertebral artery","ICD10/CM","I63.219"
"Cerebral infarction due to unspecified occlusion or stenosis of basilar artery","ICD10/CM","I63.22"
"Cerebral infarction due to unspecified occlusion or stenosis of right carotid arteries","ICD10/CM","I63.231"
"Cerebral infarction due to unspecified occlusion or stenosis of left carotid arteries","ICD10/CM","I63.232"
"Cerebral infarction due to unspecified occlusion or stenosis of unspecified carotid artery","ICD10/CM","I63.239"
"Cerebral infarction due to thrombosis of unspecified cerebral artery","ICD10/CM","I63.30"
"Cerebral infarction due to thrombosis of right middle cerebral artery","ICD10/CM","I63.311"
"Cerebral infarction due to thrombosis of left middle cerebral artery","ICD10/CM","I63.312"
"Cerebral infarction due to thrombosis of unspecified middle cerebral artery","ICD10/CM","I63.319"
"Cerebral infarction due to thrombosis of right anterior cerebral artery","ICD10/CM","I63.321"
"Cerebral infarction due to thrombosis of left anterior cerebral artery","ICD10/CM","I63.322"
"Cerebral infarction due to thrombosis of unspecified anterior cerebral artery","ICD10/CM","I63.329"
"Cerebral infarction due to thrombosis of right posterior cerebral artery","ICD10/CM","I63.331"
"Cerebral infarction due to thrombosis of left posterior cerebral artery","ICD10/CM","I63.332"
"Cerebral infarction due to thrombosis of unspecified posterior cerebral artery","ICD10/CM","I63.339"
"Cerebral infarction due to thrombosis of right cerebellar artery","ICD10/CM","I63.341"
"Cerebral infarction due to thrombosis of left cerebellar artery","ICD10/CM","I63.342"
"Cerebral infarction due to thrombosis of unspecified cerebellar artery","ICD10/CM","I63.349"
"Cerebral infarction due to thrombosis of other cerebral artery","ICD10/CM","I63.39"
"Cerebral infarction due to embolism of unspecified cerebral artery","ICD10/CM","I63.40"
"Cerebral infarction due to embolism of right middle cerebral artery","ICD10/CM","I63.411"
"Cerebral infarction due to embolism of left middle cerebral artery","ICD10/CM","I63.412"
"Cerebral infarction due to embolism of unspecified middle cerebral artery","ICD10/CM","I63.419"
"Cerebral infarction due to embolism of right anterior cerebral artery","ICD10/CM","I63.421"
"Cerebral infarction due to embolism of left anterior cerebral artery","ICD10/CM","I63.422"
"Cerebral infarction due to embolism of unspecified anterior cerebral artery","ICD10/CM","I63.429"
"Cerebral infarction due to embolism of right posterior cerebral artery","ICD10/CM","I63.431"
"Cerebral infarction due to embolism of left posterior cerebral artery","ICD10/CM","I63.432"
"Cerebral infarction due to embolism of unspecified posterior cerebral artery","ICD10/CM","I63.439"
"Cerebral infarction due to embolism of right cerebellar artery","ICD10/CM","I63.441"
"Cerebral infarction due to embolism of left cerebellar artery","ICD10/CM","I63.442"
"Cerebral infarction due to embolism of unspecified cerebellar artery","ICD10/CM","I63.449"
"Cerebral infarction due to embolism of other cerebral artery","ICD10/CM","I63.49"
"Cerebral infarction due to unspecified occlusion or stenosis of unspecified cerebral artery","ICD10/CM","I63.50"
"Cerebral infarction due to unspecified occlusion or stenosis of right middle cerebral artery","ICD10/CM","I63.511"
"Cerebral infarction due to unspecified occlusion or stenosis of left middle cerebral artery","ICD10/CM","I63.512"
"Cerebral infarction due to unspecified occlusion or stenosis of unspecified middle cerebral artery","ICD10/CM","I63.519"
"Cerebral infarction due to unspecified occlusion or stenosis of right anterior cerebral artery","ICD10/CM","I63.521"
"Cerebral infarction due to unspecified occlusion or stenosis of left anterior cerebral artery","ICD10/CM","I63.522"
"Cerebral infarction due to unspecified occlusion or stenosis of unspecified anterior cerebral artery","ICD10/CM","I63.529"
"Cerebral infarction due to unspecified occlusion or stenosis of right posterior cerebral artery","ICD10/CM","I63.531"
"Cerebral infarction due to unspecified occlusion or stenosis of left posterior cerebral artery","ICD10/CM","I63.532"
"Cerebral infarction due to unspecified occlusion or stenosis of unspecified posterior cerebral artery","ICD10/CM","I63.539"
"Cerebral infarction due to unspecified occlusion or stenosis of right cerebellar artery","ICD10/CM","I63.541"
"Cerebral infarction due to unspecified occlusion or stenosis of left cerebellar artery","ICD10/CM","I63.542"
"Cerebral infarction due to unspecified occlusion or stenosis of unspecified cerebellar artery","ICD10/CM","I63.549"
"Cerebral infarction due to unspecified occlusion or stenosis of other cerebral artery","ICD10/CM","I63.59"
