"event_definition","Coding_system","Codes"
"Insertion of intraocular lens prosthesis at time of cataract extraction, one-stage","ICD9CM","13.71"
"Discission of secondary membrane [after cataract]","ICD9CM","13.64"
"Excision of secondary membrane [after cataract]","ICD9CM","13.65"
"Other cataract extraction","ICD9CM","13.6, 13.69"
"Mechanical phacofragmentation and aspiration of cataract by posterior route","ICD9CM","13.42"
"Mechanical phacofragmentation and other aspiration of cataract","ICD9CM","13.43"
"Extracapsular extraction of lens by fragmentation and aspiration technique","ICD9CM","13.4"
"Other intracapsular extraction of lens","ICD9CM","13.19"
"Amblyopia","ICD9CM","368.00"
"Binocular vision disorder","ICD9CM","368.30"
"Diplopia","ICD9CM","368.2"
"Myotonic cataract","ICD9CM","366.43"
"Nyctalopia","ICD9CM","368.6, 368.60"
"Optic Neuritis","ICD9CM","377.3, 377.30"
"Other cataract","ICD9CM","366.8"
"Other color vision deficiencies","ICD9CM","368.59"
"Other localized visual field defect","ICD9CM","368.44"
"Other specified visual disturbances","ICD9CM","368.8"
"Visual discomfort","ICD9CM","368.13"
"Cataract","ICD9CM","366, 366.9"
"Amblyopia ex anopsia","ICD9CM","368.0"
"Stimulus deprivation amblyopia","ICD9CM","368.02"
"Refractive amblyopia","ICD9CM","368.03"
"Scotoma, Central","ICD9CM","368.41"
"Enlarged blind spot","ICD9CM","368.42"
"Achromatopsia","ICD9CM","368.54"
"Morgagnian cataract","ICD9CM","366.18"
"Cataract secondary to ocular disorder","ICD9CM","366.3"
"Soemmerring's ring","ICD9CM","366.51"
"Cortical, lamellar, or zonular nonsenile cataract","ICD9CM","366.03"
"Other and combined forms of nonsenile cataract","ICD9CM","366.09"
"Cataract secondary to glaucomatous flecks (subcapsular)","ICD9CM","366.31"
"Cataract due to inflammatory disorder","ICD9CM","366.32"
"Toxic cataract","ICD9CM","366.45"
"Subjective visual disturbance","ICD9CM","368.1, 368.10"
"Sudden Visual Loss","ICD9CM","368.11"
"Blindness, Transient","ICD9CM","368.12"
"Visual distortions of shape and size","ICD9CM","368.14"
"Other visual distortions and entoptic phenomena","ICD9CM","368.15"
"Psychophysical visual disturbance","ICD9CM","368.16"
"Other disorders of binocular vision","ICD9CM","368.3"
"Simultaneous visual perception without fusion","ICD9CM","368.32"
"Fusion with defective stereopsis","ICD9CM","368.33"
"Abnormal retinal correspondence","ICD9CM","368.34"
"Generalized visual field contraction or constriction","ICD9CM","368.45"
"Color Blindness, Red","ICD9CM","368.51"
"Color Blindness, Red-Green","ICD9CM","368.52"
"Color Blindness, Blue","ICD9CM","368.53"
"Color Blindness, Acquired","ICD9CM","368.55"
"blindness or low vision (non-specific)","ICD9CM","369"
"Unqualified visual loss, both eyes","ICD9CM","369.3"
"Unqualified visual loss, one eye","ICD9CM","369.8"
"Embryonal nuclear cataract (disorder)","ICD9CM","743.33"
"Visual Suppression","ICD9CM","368.31"
"Color blindness","ICD9CM","368.5"
"Nuclear senile cataract","ICD9CM","366.16"
"Cataract with neovascularization","ICD9CM","366.33"
"Hemianopsia, Homonymous","ICD9CM","368.46"
"Heteronymous hemianopsia","ICD9CM","368.47"
"Impairment level: blindness, one eye - low vision other eye","ICD9CM","369.10"
"Pseudoexfoliation of lens capsule","ICD9CM","366.11"
"Cataract fragments in eye postoperative","ICD9CM","998.82"
"Cortical and zonular cataract","ICD9CM","743.32"
"Encounter due to cataract extraction status","ICD9CM","V45.61"
"Visual disturbance","ICD9CM","368, 368.9"
"Encounter due to problems with sight","ICD9CM","V41.0"
"Amblyopia, Suppression","ICD9CM","368.01"
"Anterior subcapsular polar non-senile cataract","ICD9CM","366.01"
"Nuclear non-senile cataract","ICD9CM","366.04"
"Posterior subcapsular polar non-senile cataract","ICD9CM","366.02"
