"event_definition","Coding_system","Codes"
"Other diseases of capillaries","ICD9CM","448.9"
"Accidental poisoning by drugs primarily affecting skin, mucous membrane, ophthalmological, otorhinolaryngological and dental drugs","ICD9CM","E858.7"
"Adverse effects in the therapeutic use of topical agents primarily affecting skin and mucous membrane and ophthalmological, otorhinolaryngological and dental drugs","RCD2","U60G."
"Other diseases of capillaries","RCD2","G77z., Gyu77"
"Accidental poisoning by drugs primarily affecting skin, mucous membrane, ophthalmological, otorhinolaryngological and dental drugs","RCD2","T887., T887z"
"Adverse effects in the therapeutic use of topical agents primarily affecting skin and mucous membrane and ophthalmological, otorhinolaryngological and dental drugs","RCD","U60G."
"Other diseases of capillaries","RCD","G77z., Gyu77"
"Capillary Leak Syndrome","RCD","X50B1"
"Accidental poisoning by drugs primarily affecting skin, mucous membrane, ophthalmological, otorhinolaryngological and dental drugs","RCD","T887., T887z"
"Adverse effects in the therapeutic use of topical agents primarily affecting skin and mucous membrane and ophthalmological, otorhinolaryngological and dental drugs","SCTSPA","223110002"
"Other diseases of capillaries","SCTSPA","195385001, 195621003"
"Capillary Leak Syndrome","SCTSPA","87730004"
"Retinoic acid syndrome","SCTSPA","450887006"
"Accidental poisoning by drugs primarily affecting skin, mucous membrane, ophthalmological, otorhinolaryngological and dental drugs","SCTSPA","216619005, 216625009"
"Adverse effects in the therapeutic use of topical agents primarily affecting skin and mucous membrane and ophthalmological, otorhinolaryngological and dental drugs","SNOMEDCT_US","223110002"
"Other diseases of capillaries","SNOMEDCT_US","195385001, 195621003"
"Capillary Leak Syndrome","SNOMEDCT_US","87730004"
"Retinoic acid syndrome","SNOMEDCT_US","450887006"
"Accidental poisoning by drugs primarily affecting skin, mucous membrane, ophthalmological, otorhinolaryngological and dental drugs","SNOMEDCT_US","216619005, 216625009"
