"event_definition","Coding_system","Codes"
"Adjustment disorder with depressed mood","ICD9CM","309.0"
"Dysthymic Disorder","ICD9CM","300.4"
"Major depression, single episode","ICD9CM","296.2, 296.20"
"Muscular dystrophies and other myopathies","ICD9CM","359"
"Psychotic Disorders","ICD9CM","290-299.99, 298.9"
"Undersocialized conduct disorder, aggressive type","ICD9CM","312.0"
"unspecified nonpsychotic mental disorder","ICD9CM","300.9"
"Mild major depression, single episode","ICD9CM","296.21"
"Moderate major depression, single episode","ICD9CM","296.22"
"Severe major depression, single episode, without psychotic features","ICD9CM","296.23"
"Severe major depression, single episode, with psychotic features","ICD9CM","296.24"
"Major depressive disorder, single episode in full remission","ICD9CM","296.26"
"Recurrent major depressive episodes","ICD9CM","296.3, 296.30"
"Moderate recurrent major depression","ICD9CM","296.32"
"Severe recurrent major depression without psychotic features","ICD9CM","296.33"
"Recurrent depressive disorder, current episode severe with psychotic symptoms","ICD9CM","296.34"
"Atypical depressive disorder","ICD9CM","296.82"
"Prolonged depressive adjustment reaction","ICD9CM","309.1"
"Adjustment disorder with mixed anxiety and depressed mood","ICD9CM","309.28"
"Undersocialized conduct disorder, aggressive type, mild","ICD9CM","312.01"
"Undersocialized conduct disorder, aggressive type, moderate","ICD9CM","312.02"
"Undersocialized conduct disorder, aggressive type, severe","ICD9CM","312.03"
"Major depressive affective disorder, single episode, in partial or unspecified remission","ICD9CM","296.25"
"Major depressive affective disorder, recurrent episode, in partial or unspecified remission","ICD9CM","296.35"
"Conduct disorder, childhood-onset type","ICD9CM","312.81"
"Undersocialized conduct disorder, aggressive type, unspecified","ICD9CM","312.00"
"Other conduct disorders","ICD9CM","312.89"
"Feeling suicidal (finding)","ICD9CM","V62.84"
"Depressive disorder, NEC in ICD9CM_2014","ICD9CM","311"
"Episodic mood disorder","ICD9CM","296, 296.90"
"Depressive type psychosis","ICD9CM","298.0"
"Recurrent major depressive episodes, mild","ICD9CM","296.31"
"Chronic depressive personality disorder","ICD9CM","301.12"
"Affective Disorders, Psychotic","ICPC2EENG","P73"
"Depressive disorder","ICPC2EENG","P76"
"fear of committing suicide","ICPC2P","P27004, P77001"
"successful suicide attempt","ICPC2P","P77010"
"suicidal personality","ICPC2P","P77008"
"suicidal impulses","ICPC2P","P77007"
"suicidal ideas","ICPC2P","P77006"
"Suicidal act(s)","ICPC2P","P77005"
