"event_definition","Coding_system","Codes"
"Tremor","ICD10/CM","R25.1"
"Essential Tremor","ICD10/CM","G25.0"
"Tremor NEC in ICD9CM_2013_2012_08_06","ICD9CM","333.1"
"Tremor","ICPC2P","N06009, N06014, N08003, N08005"
"Essential Tremor","ICPC2P","N99033"
"Tremor","RCD","R0103, XE0rn, XM0z1, XM1F4"
"Essential and other specified forms of tremor","RCD","F131., F131z"
"Trembling","RCD","XE0ro, XM1F4"
"Essential Tremor","RCD","F1310"
"Tremor","RCD2","R0103, 1B22."
"Essential and other specified forms of tremor","RCD2","F131z, F131."
"Trembling","RCD2","1B23."
"Essential Tremor","RCD2","F1310"
"Tremor","SNOMEDCT_US","139505005, 158188003, 162229006, 206806000, 26079004, 274239004"
"Essential and other specified forms of tremor","SNOMEDCT_US","192838009, 192842007"
"Trembling","SNOMEDCT_US","139506006, 162230001, 26079004, 267079009, 274896001"
"Essential Tremor","SNOMEDCT_US","192839001, 632009"
"Tremor","SCTSPA","206806000, 26079004, 274239004"
"Essential and other specified forms of tremor","SCTSPA","192838009, 192842007"
"Trembling","SCTSPA","267079009"
"Essential Tremor","SCTSPA","192839001, 609558009, 632009"
"Tremor","MTHICD9","781.0"
"Essential Tremor","MTHICD9","333.1"
