"event_definition","Coding_system","Codes"
"disorder; bipolar, single manic episode","ICD10/CM","F30"
"Manic episode, unspecified","ICD10/CM","F30, F30, F30.9, F30.9"
"mixed affective episode","ICD10/CM","F30"
"Hypomania","ICD10/CM","F30.0, F30.8"
"Mania without psychotic symptoms","ICD10/CM","F30.1"
"Mania with psychotic symptoms","ICD10/CM","F30.2"
"Other manic episodes","ICD10/CM","F30.8"
"Manic","ICD10/CM","F30.9"
"Bipolar Disorder","ICD10/CM","F31, F31.9"
"Bipolar I disorder, most recent episode hypomanic","ICD10/CM","F31.0"
"Bipolar disorder, current episode hypomanic","ICD10/CM","F31.0"
"Bipolar disorder, current episode manic without psychotic features, unspecified","ICD10/CM","F31.1, F31.10"
"Bipolar affective disorder, current episode manic without psychotic symptoms","ICD10/CM","F31.1"
"Bipolar affective disorder, current episode manic with psychotic symptoms","ICD10/CM","F31.2"
"Bipolar disorder, current episode manic severe with psychotic features","ICD10/CM","F31.2"
"Bipolar disorder, current episode depressed, mild or moderate severity, unspecified","ICD10/CM","F31.3, F31.30"
"Bipolar affective disorder, current episode mild or moderate depression","ICD10/CM","F31.3"
"Bipolar affective disorder, current episode severe depression without psychotic symptoms","ICD10/CM","F31.4"
"Bipolar disorder, current episode depressed, severe, without psychotic features","ICD10/CM","F31.4"
"Bipolar affective disorder, current episode severe depression with psychotic symptoms","ICD10/CM","F31.5"
"Bipolar disorder, current episode depressed, severe, with psychotic features","ICD10/CM","F31.5"
"Bipolar affective disorder, current episode mixed","ICD10/CM","F31.6"
"Bipolar disorder, current episode mixed, unspecified","ICD10/CM","F31.6"
"Bipolar disorder, currently in remission","ICD10/CM","F31.7"
"Bipolar disorder, in partial remission, most recent episode manic","ICD10/CM","F31.73"
"Other bipolar disorder","ICD10/CM","F31.8"
"Other bipolar affective disorders","ICD10/CM","F31.8"
"Bipolar II disorder","ICD10/CM","F31.81"
"Recurrent manic episodes","ICD10/CM","F31.89"
"Cyclothymic Disorder","ICD10/CM","F34.0"
"Affective Disorders, Psychotic","ICD10/CM","F39"
"Recurrent manic episodes","ICD9CM","296.1"
"Manic Disorder","ICD9CM","296.40, 296.40"
"Bipolar I disorder, most recent episode (or current) manic, severe, specified as with psychotic behavior","ICD9CM","296.44"
"Bipolar I disorder, most recent episode (or current) depressed, severe, specified as with psychotic behavior","ICD9CM","296.54"
"Mixed bipolar I disorder","ICD9CM","296.60"
"Bipolar I disorder, most recent episode (or current) mixed, severe, without mention of psychotic behavior","ICD9CM","296.63"
"Bipolar I disorder, most recent episode (or current) mixed, severe, specified as with psychotic behavior","ICD9CM","296.64"
"Bipolar Disorder","ICD9CM","296.80"
"Atypical manic disorder","ICD9CM","296.81"
"Other bipolar disorder","ICD9CM","296.89"
"Cyclothymic Disorder","ICD9CM","301.1, 301.10, 301.13"
"Affective Disorders, Psychotic","ICPC","P73"
"Bipolar Disorder","ICPC2P","P73002, P73004, P73007, P73012"
"Hypomania","ICPC2P","P73008"
"Manic","ICPC2P","P73009"
"Affective Disorders, Psychotic","ICPC2P","P73011"
"Manic Disorder","MTHICD9","296.40, 296.40"
"Bipolar I disorder, most recent episode (or current) manic, severe, specified as with psychotic behavior","MTHICD9","296.44"
"Bipolar I disorder, most recent episode (or current) depressed, severe, specified as with psychotic behavior","MTHICD9","296.54"
"Mixed bipolar I disorder","MTHICD9","296.60"
"Bipolar I disorder, most recent episode (or current) mixed, severe, without mention of psychotic behavior","MTHICD9","296.63"
"Bipolar I disorder, most recent episode (or current) mixed, severe, specified as with psychotic behavior","MTHICD9","296.64"
"Manic-depressive psychosis, circular type, current condition not specified as either manic or depressive","MTHICD9","296.7"
"Atypical bipolar affective disorder NOS","MTHICD9","296.7"
"Bipolar Disorder","MTHICD9","296.80"
"Bipolar II disorder","MTHICD9","296.89"
"Affective Disorders, Psychotic","MTHICD9","296.90"
"Cyclothymic Disorder","MTHICD9","301.13"
"Recurrent manic episodes","RCD","E111., E1110, E111z"
"Bipolar affective disorder, current episode manic","RCD","E114."
"Depression, Bipolar","RCD","E115."
"Bipolar disorder, mixed","RCD","E116., E116z"
"Bipolar Disorder","RCD","E117., E1170, E117z, Eu31z, X00SM"
"Unspecified bipolar affective disorder, mild","RCD","E1171"
"Unspecified bipolar affective disorder, moderate","RCD","E1172"
"Unspecified bipolar affective disorder, severe, without mention of psychosis","RCD","E1173"
"Unspecified bipolar affective disorder, severe, with psychosis","RCD","E1174"
"Unspecified bipolar affective disorder, in partial or unspecified remission","RCD","E1175"
"Unspecified manic-depressive psychoses","RCD","E11y0"
"Atypical manic disorder","RCD","E11y1"
"Other mixed manic-depressive psychoses","RCD","E11y3"
"Affective Disorders, Psychotic","RCD","E11z0"
"Cyclothymic Disorder","RCD","E2110, E2113, E211z, Xa3ZM"
"Mania without psychotic symptoms","RCD","Eu301"
"Other manic episodes","RCD","Eu30y"
"Bipolar I disorder, most recent episode hypomanic","RCD","Eu310"
"Bipolar affective disorder, current episode manic without psychotic symptoms","RCD","Eu311, Eu311"
"Bipolar affective disorder, current episode manic with psychotic symptoms","RCD","Eu312"
"Bipolar affective disorder, current episode mild or moderate depression","RCD","Eu313"
"Bipolar affective disorder, current episode severe depression without psychotic symptoms","RCD","Eu314"
"Bipolar affective disorder, current episode mixed","RCD","Eu316"
"Manic","RCD","X00SJ"
"Hypomania","RCD","X00SL"
"Bipolar II disorder","RCD","X00SN"
"Mania with psychotic symptoms","RCD","XE1ZV"
"Manic episode, unspecified","RCD","XE1ZW, XE1ZW"
"Other bipolar affective disorders","RCD","XE1ZX"
"Manic","RCD2","E11.., Eu30."
"Recurrent manic episodes","RCD2","E111., E1110, E111z"
"Bipolar affective disorder, current episode manic","RCD2","E114."
"Depression, Bipolar","RCD2","E115."
"Bipolar disorder, mixed","RCD2","E116., E116z"
"Bipolar Disorder","RCD2","E117., E1170, E117z, Eu31., Eu31z"
"Unspecified bipolar affective disorder, mild","RCD2","E1171"
"Unspecified bipolar affective disorder, moderate","RCD2","E1172"
"Unspecified bipolar affective disorder, severe, without mention of psychosis","RCD2","E1173"
"Unspecified bipolar affective disorder, severe, with psychosis","RCD2","E1174"
"Unspecified bipolar affective disorder, in partial or unspecified remission","RCD2","E1175"
"Unspecified manic-depressive psychoses","RCD2","E11y0"
"Atypical manic disorder","RCD2","E11y1"
"Other mixed manic-depressive psychoses","RCD2","E11y3"
"Affective Disorders, Psychotic","RCD2","E11z0"
"Cyclothymic Disorder","RCD2","E2110, E2113, E211z"
"Hypomania","RCD2","Eu300"
"Mania without psychotic symptoms","RCD2","Eu301"
