"event_definition","Coding_system","Codes"
"Status Epilepticus","ICD10/CM","G41, G41.9"
"Other status epilepticus","ICD10/CM","G41.8"
"Other epilepsy and recurrent seizures","ICD10/CM","G40.8"
"Localization-related (focal) (partial) symptomatic epilepsy and epileptic syndromes with complex partial seizures, not intractable, without status epilepticus","ICD10/CM","G40.209"
"Localization-related (focal) (partial) symptomatic epilepsy and epileptic syndromes with complex partial seizures, intractable, without status epilepticus","ICD10/CM","G40.219"
"Localization-related (focal) (partial) symptomatic epilepsy and epileptic syndromes with complex partial seizures, intractable, with status epilepticus","ICD10/CM","G40.211"
"Epilepsy with grand mal seizures on awakening (disorder)","ICD10/CM","G40.4"
"Localization-related (focal) (partial) symptomatic epilepsy and epileptic syndromes with complex partial seizures without intractability","ICD10/CM","G40.20"
"Localization-related (focal) (partial) symptomatic epilepsy and epileptic syndromes with complex partial seizures","ICD10/CM","G40.2, G40.209"
"Epileptic seizures related to external causes","ICD10/CM","G40.509, G40.5"
"Epileptic seizures related to external causes, not intractable, with status epilepticus","ICD10/CM","G40.501"
"Epileptic seizures related to external causes, not intractable","ICD10/CM","G40.50"
"Epilepsy, unspecified, not intractable, without status epilepticus","ICD10/CM","G40.909"
"Epilepsy, unspecified, not intractable, with status epilepticus","ICD10/CM","G40.901"
"Epilepsy, unspecified, intractable, without status epilepticus","ICD10/CM","G40.919"
"Epilepsy, unspecified, intractable, with status epilepticus","ICD10/CM","G40.911"
"Localization-related(focal)(partial)idiopathic epilepsy and epileptic syndromes with seizures of localized onset","ICD10/CM","G40.009, G40.0"
"Petit mal status","ICD10/CM","G41.1"
"Epileptic seizures related to drugs","ICD10/CM","G40.5"
"Epileptic seizures related to stress","ICD10/CM","G40.5"
"Epilepsy, unspecified, not intractable","ICD10/CM","G40.90"
"Epilepsia partialis continua [Kozhevnikof]","ICD10/CM","G40.1"
"Epilepsy, unspecified, without intractability","ICD10/CM","G40.90"
"Epilepsy, unspecified, intractable","ICD10/CM","G40.91"
"Intractable seizure disorder NOS","ICD10/CM","G40.91"
"Idiopathic generalized epilepsy","ICD10/CM","G40.309, G40.3"
"Special epileptic syndromes","ICD10/CM","G40.5"
"Recurrent seizures NOS","ICD10/CM","G40.909"
"Lennox-Gastaut syndrome","ICD10/CM","G40.81"
"Salaam Seizures","ICD10/CM","G40.82"
"Landau-Kleffner Syndrome","ICD10/CM","G40.8, F80.3"
"Other seizures","ICD10/CM","G40.89"
"Complex Partial Status Epilepticus","ICD10/CM","G41.2"
"Other epilepsy","ICD10/CM","G40.80, G40.802, G40.8"
"Seizures","ICD10/CM","R56.9"
"Epilepsy","ICD10/CM","G40.9, G40, G40.909"
"Tonic - clonic seizures","ICD10/CM","G40.6, G40.4"
"Convulsive disorder","ICD10/CM","R56.9"
"Grand Mal Status Epilepticus","ICD10/CM","G41.0"
"Epilepsy and recurrent seizures","ICD10/CM","G40"
"Other forms of epilepsy and recurrent seizures","ICD9CM","345.8"
"Localization-related (focal) (partial) epilepsy and epileptic syndromes with simple partial seizures","ICD9CM","345.5"
"Partial epilepsy, with impairment of consciousness, with intractable epilepsy","ICD9CM","345.41"
"Localization-related (focal) (partial) epilepsy and epileptic syndromes with complex partial seizures, without mention of intractable epilepsy","ICD9CM","345.40"
"Generalized Nonconvulsive Seizure Disorder","ICD9CM","345.0"
"Generalized convulsive epilepsy, with intractable epilepsy","ICD9CM","345.11"
"Generalized convulsive epilepsy, without mention of intractable epilepsy","ICD9CM","345.10"
"Generalized convulsive epilepsy","ICD9CM","345.1"
"Petit mal status","ICD9CM","345.2"
"Epilepsia Partialis Continua","ICD9CM","345.7"
"Seizures","ICD9CM","780.3"
"Epilepsy","ICD9CM","345.9"
"Grand Mal Status Epilepticus","ICD9CM","345.3"
"Epilepsy and recurrent seizures","ICD9CM","345"
"status; epilepticus, tonic-clonic","ICPC2P","N88004"
"Epileptic drop attack","ICPC2P","N88015"
"complex partial focal seizure","ICPC2P","N88010"
"Seizures, Tonic","ICPC2P","N88012"
"Tonic-Clonic Epilepsy","ICPC2P","N88008"
"Epilepsy, Temporal Lobe","ICPC2P","N88005"
"Petit mal status","ICPC2P","N88002"
"Simple Partial Seizures","ICPC2P","N88009"
"Epilepsies, Myoclonic","ICPC2P","N88014"
"Seizures","ICPC2P","N07001, N07002, N07003"
"Epilepsy","ICPC2P","N88003, N88006"
"Tonic - clonic seizures","ICPC2P","N88011"
"Grand Mal Status Epilepticus","ICPC2P","N88001"
"Epilepsy, Post-Traumatic","RCD","SC200"
"Epilepsy drug side effect","RCD","6677."
"Epilepsy treatment changed","RCD","6678."
"Initial epilepsy assessment","RCD","6671."
"Follow-up epilepsy assessment","RCD","6672."
"H/O: epilepsy","RCD","1473."
"Epilepsy monitoring","RCD","667.., 667Z."
"Status Epilepticus","RCD","Fyu59, X007B"
"Other status epilepticus","RCD","Fyu52"
"Epilepsy with grand mal seizures on awakening (disorder)","RCD","X006M"
"Generalized Nonconvulsive Seizure Disorder","RCD","F250., F250z"
