"event_definition","Coding_system","Codes"
"Encounter due to Intrauterine contraceptive device fitted","ICD10/CM","Z30.1"
"Encounter due to presence of intrauterine contraceptive device","ICD10/CM","Z97.5"
"Encounter for insertion or removal of intrauterine contraceptive device","ICD9CM","V25.1"
"Intrauterine coil insertion","ICD9CM","69.7"
"Encounter due to presence of intrauterine contraceptive device","ICD9CM","V45.51"
"IUCD pain","ICPC2P","W12002"
"IUCD check up","ICPC2P","W12001"
"IUD contraception","ICPC2P","W12003"
"Intrauterine coil insertion","ICPC2P","W12004"
"Reinsertion of coil","RCD","ZV254"
"IUD contraception","RCD","615G., XaDbJ"
"Intrauterine coil insertion","RCD","6151., 7E090"
"Encounter due to Intrauterine contraceptive device fitted","RCD","ZV251"
"Intrauterine contraceptive device re-fitted","RCD","6153."
"Intrauterine device check","RCD","615F., XM15M"
"Encounter due to presence of intrauterine contraceptive device","RCD","ZV455"
"Intrauterine contraception","RCD","XaDbF"
"Reinsertion of coil","RCD2","ZV254, ZV25C, ZV25D, ZV25F, ZV25E"
"IUD contraception","RCD2","615G., 615.."
"Intrauterine coil insertion","RCD2","6151., 7E090"
"Encounter due to Intrauterine contraceptive device fitted","RCD2","ZV251"
"Intrauterine contraceptive device re-fitted","RCD2","6153."
"Intrauterine device check","RCD2","615F."
"Encounter due to presence of intrauterine contraceptive device","RCD2","ZV455"
"Reinsertion of coil","SNOMEDCT_US","314050009, 315930000, 315939004"
"IUD contraception","SNOMEDCT_US","169476001, 169492006, 312081001"
"Intrauterine coil insertion","SNOMEDCT_US","146713005, 65200003, 74433003"
"Encounter due to Intrauterine contraceptive device fitted","SNOMEDCT_US","169477005, 315927007"
"Intrauterine contraceptive device re-fitted","SNOMEDCT_US","146715003, 169479008"
"Intrauterine device check","SNOMEDCT_US","146722006, 268569001, 274407009"
"Encounter due to presence of intrauterine contraceptive device","SNOMEDCT_US","316093007"
"Intrauterine contraception","SNOMEDCT_US","312079003"
"Reinsertion of coil","SCTSPA","314050009"
"IUD contraception","SCTSPA","169492006, 312081001, 737288007"
"Intrauterine coil insertion","SCTSPA","65200003, 74433003"
"Encounter due to Intrauterine contraceptive device fitted","SCTSPA","169477005, 315927007"
"Intrauterine contraceptive device re-fitted","SCTSPA","169479008"
"Intrauterine device check","SCTSPA","274407009"
"Encounter due to presence of intrauterine contraceptive device","SCTSPA","316093007"
"Intrauterine contraception","SCTSPA","312079003"
"Intrauterine contraception","ICPC","W12"
