"event_definition","Coding_system","Codes"
"Encounter for pregnancy test, result negative","ICD10/CM","Z32.02"
"Encounter for pregnancy test, result positive","ICD10/CM","Z32.01"
"Encounter for pregnancy test, result unknown","ICD10/CM","Z32.00"
"Encounter for pregnancy test","ICD10/CM","Z32.0, Z32.00"
"Pregnancy not (yet) confirmed","ICD10/CM","Z32.0"
"Pregnancy examination and test","ICD10/CM","Z32"
"Encounter due to confirmation of pregnancy","ICD10/CM","Z32.1"
"Pregnancy examination or test, pregnancy unconfirmed","ICD9CM","V72.40"
"Pregnancy examination or test","ICD9CM","V72.4"
"Pregnancy test positive","ICD9CM","V72.42"
"reproductive test result","ICPC2P","W60004"
"Pregnancy Tests","ICPC2P","W33002"
"Urine pregnancy test","ICPC2P","W33001, W35004"
"urine HCG test","ICPC2P","W35003"
"Possible pregnancy (finding)","ICPC2P","W01001"
"Pregnancy test finding","ICPC2P","W60001"
"Serum pregnancy test NOS","RCD","445Z."
"Urine pregnancy test requested","RCD","4651."
"Urine pregnancy test equivocal","RCD","4653."
"High sensitivity urine pregnancy test","RCD","4655."
"Serum pregnancy test positive","RCD","4453."
"Serum pregnancy test negative","RCD","4451."
"Pregnancy Tests","RCD","X77WY"
"Urine pregnancy test","RCD","465.., 465Z."
"Serum pregnancy test (B-HCG)","RCD","445.."
"Pregnancy examination or test, pregnancy unconfirmed","RCD","ZV724"
"Possible pregnancy (finding)","RCD","6219."
"Pregnancy not (yet) confirmed","RCD","XaBMk"
"Pregnancy examination and test","RCD","XaBMj"
"Encounter due to confirmation of pregnancy","RCD","ZV222"
"Pregnancy test negative","RCD","X76xz"
"Pregnancy test finding","RCD","X76xv"
"Pregnancy test positive","RCD","X76xx"
"Serum pregnancy test NOS","RCD2","445Z."
"Urine pregnancy test requested","RCD2","4651."
"Urine pregnancy test equivocal","RCD2","4653."
"High sensitivity urine pregnancy test","RCD2","4655."
"Serum pregnancy test positive","RCD2","4453."
"Serum pregnancy test negative","RCD2","4451."
"Urine pregnancy test","RCD2","465Z., 465.."
"Serum pregnancy test (B-HCG)","RCD2","445.."
"Pregnancy examination or test, pregnancy unconfirmed","RCD2","ZV724"
"Possible pregnancy (finding)","RCD2","6219."
"Pregnancy not (yet) confirmed","RCD2","ZV72A"
"Pregnancy examination and test","RCD2","ZV729"
"Encounter due to confirmation of pregnancy","RCD2","ZV222"
"Pregnancy test negative","RCD2","4652."
"Pregnancy test positive","RCD2","6211."
"Serum pregnancy test NOS","SNOMEDCT_US","143779009, 166438008"
"Urine pregnancy test requested","SNOMEDCT_US","144490008, 167253007"
"Urine pregnancy test equivocal","SNOMEDCT_US","144492000, 167255000"
"High sensitivity urine pregnancy test","SNOMEDCT_US","144494004, 167257008"
"Serum pregnancy test positive","SNOMEDCT_US","143778001, 166437003"
"Serum pregnancy test negative","SNOMEDCT_US","143776002, 166435006"
"Pregnancy Tests","SNOMEDCT_US","74036000"
"Urine pregnancy test","SNOMEDCT_US","144489004, 144495003, 167252002, 167258003"
"Serum pregnancy test (B-HCG)","SNOMEDCT_US","143775003, 166434005"
"Pregnancy examination or test, pregnancy unconfirmed","SNOMEDCT_US","316583008"
"Possible pregnancy (finding)","SNOMEDCT_US","102874004, 146799005"
"Pregnancy not (yet) confirmed","SNOMEDCT_US","308166009, 316589007"
"Pregnancy examination and test","SNOMEDCT_US","308165008, 316588004"
"Encounter due to confirmation of pregnancy","SNOMEDCT_US","315902000"
"Pregnancy test negative","SNOMEDCT_US","250425007"
"Pregnancy test finding","SNOMEDCT_US","250421003"
"Pregnancy test positive","SNOMEDCT_US","250423000"
"Possible pregnancy (finding)","ICPC","W01"
"Serum pregnancy test NOS","SCTSPA","143779009, 166438008"
"Urine pregnancy test requested","SCTSPA","167253007"
"Urine pregnancy test equivocal","SCTSPA","167255000"
"High sensitivity urine pregnancy test","SCTSPA","167257008"
"Serum pregnancy test positive","SCTSPA","166437003"
"Serum pregnancy test negative","SCTSPA","166435006"
"Pregnancy Tests","SCTSPA","74036000"
"Urine pregnancy test","SCTSPA","144495003, 167252002, 167258003"
"Serum pregnancy test (B-HCG)","SCTSPA","166434005"
"Pregnancy examination or test, pregnancy unconfirmed","SCTSPA","316583008"
"Possible pregnancy (finding)","SCTSPA","102874004"
"Pregnancy not (yet) confirmed","SCTSPA","308166009"
"Pregnancy examination and test","SCTSPA","308165008"
"Encounter due to confirmation of pregnancy","SCTSPA","315902000"
"Pregnancy test negative","SCTSPA","250425007"
"Pregnancy test finding","SCTSPA","250421003"
"Pregnancy test positive","SCTSPA","250423000"
