"event_definition","Coding_system","Codes"
"Congenital absence of uterus","ICD10/CM","Q51.0"
"Female tuberculous pelvic inflammatory disease","ICD10/CM","A18.17, N74.1"
"Female infertility","ICD10/CM","N97, N97.9"
"Female infertility of tubal origin","ICD10/CM","N97.1"
"Female infertility of uterine origin","ICD10/CM","N97.2"
"Female infertility associated with anovulation","ICD10/CM","N97.0"
"Female infertility of cervical origin","ICD10/CM","N97.3"
"Female infertility of other origin","ICD10/CM","N97.8"
"Failure to conceive due to infertility of male partner","ICD10/CM","N97.4"
"Female sterility","ICD10/CM","N97"
"Encounter due to sterilization","ICD10/CM","Z30.2"
"Encounter due to tubal ligation status","ICD10/CM","Z98.51"
"Unilateral destruction or occlusion of fallopian tube","ICD9CM","66.92"
"Removal of remaining fallopian tube","ICD9CM","66.52"
"Other bilateral ligation and division of fallopian tubes","ICD9CM","66.32"
"Other bilateral ligation and crushing of fallopian tubes","ICD9CM","66.31"
"Bilateral endoscopic destruction or occlusion of fallopian tubes","ICD9CM","66.2"
"Other bilateral endoscopic destruction or occlusion of fallopian tubes","ICD9CM","66.29"
"Other bilateral destruction or occlusion of fallopian tubes","ICD9CM","66.3, 66.39"
"Congenital absence of uterus","ICD9CM","752.31"
"Female infertility","ICD9CM","628, 628.9"
"Female infertility of tubal origin","ICD9CM","628.2"
"Female infertility of uterine origin","ICD9CM","628.3"
"Female infertility associated with anovulation","ICD9CM","628.0"
"Female infertility of pituitary - hypothalamic origin","ICD9CM","628.1"
"Infertility, female, of cervical or vaginal origin","ICD9CM","628.4"
"Infertility, female, of other specified origin","ICD9CM","628.8"
"Encounter due to sterilization","ICD9CM","V25.2"
"Removal of both fallopian tubes at same operative episode","ICD9CM","66.51"
"Encounter due to tubal ligation status","ICD9CM","V26.51"
"Female infertility","ICPC2P","W15004"
"Subfertility, Female","ICPC2P","W15006"
"Female sterility","ICPC2P","W15005"
"sterlisation request (female)","ICPC2P","W13007"
"request for tubal ligation","ICPC2P","W13006"
"Female Sterilization","ICPC2P","W13002, W13004, W52013"
"Tubal Ligation","ICPC2P","W52002"
"Removal of remaining fallopian tube","RCD","XaB2W"
"Congenital absence of uterus","RCD","PC30., PC32."
"Female tuberculous pelvic inflammatory disease","RCD","K43.."
"Female infertility","RCD","K5B.., K5Bz."
"Female infertility of tubal origin","RCD","K5B2., K5B2z"
"Female infertility of uterine origin","RCD","K5B3., K5B3z"
"Female infertility associated with anovulation","RCD","K5B0z, XE0ex"
"Other female infertility NOS","RCD","K5By., XE0ey"
"Female infertility of cervical origin","RCD","K5B4., K5B4z"
"Female infertility of vaginal origin","RCD","K5B5., K5B5z"
"Female infertility of pituitary - hypothalamic origin","RCD","K5B1."
"Subfertility, Female","RCD","K5B.."
"Secondary female infertility","RCD","X4094"
"Female infertility of other origin","RCD","Kyu9G"
"Failure to conceive due to infertility of male partner","RCD","X409B"
"Primary female infertility","RCD","X4093"
"Female infertility with genitourinary tract disorder, NOS","RCD","Xa3g9"
"Endocrine female infertility","RCD","X40Nc"
"Female infertility - cervical/vaginal","RCD","Xa3gA"
"Unexplained infertility","RCD","X409C"
"Female infertility due to ovulatory disorder","RCD","X4095"
"Luteal phase defect","RCD","X4097"
"Female Sterilization","RCD","61H.., Xa3rJ"
"Encounter due to sterilization","RCD","ZV252"
"Laparoscopic sterilization","RCD","X403g"
"Tubal Ligation","RCD","X403f"
"Congenital absence of uterus","RCD2","PC32., PC30."
"Female tuberculous pelvic inflammatory disease","RCD2","K43.."
"Female infertility","RCD2","K5B.., K5Bz."
"Female infertility of tubal origin","RCD2","K5B2z, K5B2."
"Female infertility of uterine origin","RCD2","K5B3z, K5B3."
"Female infertility associated with anovulation","RCD2","K5B0., K5B0z"
"Other female infertility NOS","RCD2","K5By., K5Byz"
"Female infertility of cervical origin","RCD2","K5B4., K5B4z"
"Female infertility of vaginal origin","RCD2","K5B5., K5B5z"
"Female infertility of pituitary - hypothalamic origin","RCD2","K5B1."
"Subfertility, Female","RCD2","K5B.."
"Secondary female infertility","RCD2","K5By1"
"Female infertility of other origin","RCD2","Kyu9G"
"Failure to conceive due to infertility of male partner","RCD2","K5B6."
"Female Sterilization","RCD2","61H.."
"Encounter due to sterilization","RCD2","ZV252"
"Laparoscopic sterilization","RCD2","7E1D."
"Removal of remaining fallopian tube","SNOMEDCT_US","149824002, 307264000"
"Congenital absence of uterus","SNOMEDCT_US","17142008, 204844007, 204845008"
"Female tuberculous pelvic inflammatory disease","SNOMEDCT_US","198241002"
"Female infertility","SNOMEDCT_US","156059009, 156065009, 156067001, 198472001, 266679002, 6738008"
