Year;Month;PY Male;% Male;PY Female;% Female
1995;01;0;0;26.33;0.3
1995;02;0;0;23.84;0.27
1995;03;0;0;26.49;0.3
1995;04;0;0;25.71;0.29
1995;05;0;0;26.51;0.3
1995;06;0;0;25.71;0.29
1995;07;0;0;26.57;0.3
1995;08;0;0;26.57;0.3
1995;09;0;0;25.76;0.29
1995;10;0;0;26.65;0.3
1995;11;0;0;25.91;0.29
1995;12;0;0;26.82;0.3
1996;01;0;0;26.82;0.3
1996;02;0;0;25.09;0.28
1996;03;0;0;26.82;0.3
1996;04;0;0;25.95;0.29
1996;05;0;0;26.86;0.31
1996;06;0;0;26.04;0.3
1996;07;0;0;26.92;0.31
1996;08;0;0;26.99;0.31
1996;09;0;0;26.14;0.3
1996;10;0;0;27.07;0.31
1996;11;0;0;26.2;0.3
1996;12;0;0;27.1;0.31
1997;01;0;0;27.16;0.31
1997;02;0;0;24.53;0.28
1997;03;0;0;27.22;0.31
1997;04;0;0;26.39;0.3
1997;05;0;0;27.36;0.31
1997;06;0;0;26.53;0.3
1997;07;0;0;27.41;0.31
1997;08;0;0;27.41;0.31
1997;09;0;0;26.53;0.3
1997;10;0;0;27.41;0.31
1997;11;0;0;26.61;0.3
1997;12;0;0;27.5;0.31
1998;01;0;0;27.53;0.31
1998;02;0;0;24.96;0.28
1998;03;0;0;27.67;0.31
1998;04;0;0;26.87;0.31
1998;05;0;0;27.88;0.32
1998;06;0;0;27.03;0.31
1998;07;0;0;28.01;0.32
1998;08;0;0;28.03;0.32
1998;09;0;0;27.19;0.31
1998;10;0;0;28.09;0.32
1998;11;0;0;27.22;0.31
1998;12;0;0;28.18;0.32
1999;01;0;0;28.19;0.32
1999;02;0;0;25.53;0.29
1999;03;0;0;28.26;0.32
1999;04;0;0;27.4;0.31
1999;05;0;0;28.35;0.32
1999;06;0;0;27.44;0.31
1999;07;0;0;28.43;0.32
1999;08;0;0;28.43;0.32
1999;09;0;0;27.52;0.31
1999;10;0;0;28.43;0.32
1999;11;0;0;27.52;0.31
1999;12;0;0;28.52;0.32
2000;01;0;0;28.52;0.32
2000;02;0;0;26.68;0.3
2000;03;0;0;28.52;0.32
2000;04;0;0;27.6;0.31
2000;05;0;0;28.52;0.32
2000;06;0;0;27.6;0.31
2000;07;0;0;28.52;0.32
2000;08;0;0;28.52;0.32
2000;09;0;0;27.6;0.31
2000;10;0;0;28.52;0.32
2000;11;0;0;27.6;0.31
2000;12;0;0;28.52;0.32
2001;01;0;0;28.52;0.32
2001;02;0;0;25.76;0.29
2001;03;0;0;28.53;0.32
2001;04;0;0;27.68;0.31
2001;05;0;0;28.6;0.32
2001;06;0;0;27.68;0.31
2001;07;0;0;28.6;0.32
2001;08;0;0;28.6;0.32
2001;09;0;0;27.68;0.31
2001;10;0;0;28.6;0.32
2001;11;0;0;27.68;0.31
2001;12;0;0;28.6;0.32
2002;01;0;0;28.6;0.32
2002;02;0;0;25.83;0.29
2002;03;0;0;28.6;0.32
2002;04;0;0;27.68;0.31
2002;05;0;0;28.63;0.33
2002;06;0;0;27.76;0.32
2002;07;0;0;28.69;0.33
2002;08;0;0;28.75;0.33
2002;09;0;0;27.84;0.32
2002;10;0;0;28.77;0.33
2002;11;0;0;27.84;0.32
2002;12;0;0;28.77;0.33
2003;01;0;0;28.77;0.33
2003;02;0;0;25.99;0.3
2003;03;0;0;28.77;0.33
2003;04;0;0;27.84;0.32
2003;05;0;0;28.77;0.33
2003;06;0;0;27.84;0.32
2003;07;0;0;28.77;0.33
2003;08;0;0;28.77;0.33
2003;09;0;0;27.84;0.32
2003;10;0;0;28.77;0.33
2003;11;0;0;27.84;0.32
2003;12;0;0;28.84;0.33
2004;01;0;0;28.86;0.33
2004;02;0;0;27;0.31
2004;03;0;0;28.86;0.33
2004;04;0;0;27.93;0.32
2004;05;0;0;28.86;0.33
2004;06;0;0;27.93;0.32
2004;07;0;0;28.86;0.33
2004;08;0;0;28.86;0.33
2004;09;0;0;27.96;0.32
2004;10;0;0;28.94;0.33
2004;11;0;0;28.01;0.32
2004;12;0;0;28.94;0.33
2005;01;0;0;28.94;0.33
2005;02;0;0;26.14;0.3
2005;03;0;0;28.94;0.33
2005;04;0;0;27.55;0.31
2005;05;0;0;28.5;0.32
2005;06;0;0;27.6;0.31
2005;07;0;0;28.52;0.32
2005;08;0;0;28.52;0.32
2005;09;0;0;27.6;0.31
2005;10;0;0;28.52;0.32
2005;11;0;0;27.6;0.31
2005;12;0;0;28.52;0.32
2006;01;0;0;28.46;0.32
2006;02;0;0;25.63;0.29
2006;03;0;0;28.35;0.32
2006;04;0;0;27.36;0.31
2006;05;0;0;28.26;0.32
2006;06;0;0;27.32;0.31
2006;07;0;0;28.14;0.32
2006;08;0;0;28.09;0.32
2006;09;0;0;27.19;0.31
2006;10;0;0;28.07;0.32
2006;11;0;0;27.06;0.31
2006;12;0;0;27.92;0.32
2007;01;0;0;27.88;0.32
2007;02;0;0;25.07;0.28
2007;03;0;0;27.75;0.32
2007;04;0;0;26.86;0.31
2007;05;0;0;27.71;0.31
2007;06;0;0;26.74;0.3
2007;07;0;0;27.44;0.31
2007;08;0;0;27.41;0.31
2007;09;0;0;26.51;0.3
2007;10;0;0;27.26;0.31
2007;11;0;0;26.37;0.3
2007;12;0;0;27.38;0.31
2008;01;0;0;28.48;0.32
2008;02;0;0;27.8;0.32
2008;03;0;0;30.6;0.35
2008;04;0;0;30.01;0.34
2008;05;0;0;31.1;0.35
2008;06;0;0;30.23;0.34
2008;07;0;0;31.27;0.36
2008;08;0;0;31.32;0.36
2008;09;0;0;30.31;0.34
2008;10;0;0;31.32;0.36
2008;11;0;0;30.38;0.35
2008;12;0;0;31.49;0.36
2009;01;0;0;31.54;0.36
2009;02;0;0;28.46;0.32
2009;03;0;0;31.49;0.36
2009;04;0;0;30.47;0.35
2009;05;0;0;31.49;0.36
2009;06;0;0;30.47;0.35
2009;07;0;0;31.49;0.36
2009;08;0;0;31.46;0.36
2009;09;0;0;30.48;0.35
2009;10;0;0;31.77;0.36
2009;11;0;0;30.71;0.35
2009;12;0;0;31.77;0.36
2010;01;0;0;31.66;0.36
2010;02;0;0;28.55;0.32
2010;03;0;0;31.37;0.36
2010;04;0;0;30.15;0.34
2010;05;0;0;31.07;0.35
2010;06;0;0;29.93;0.34
2010;07;0;0;31.03;0.35
2010;08;0;0;31.23;0.35
2010;09;0;0;30.23;0.34
2010;10;0;0;31.43;0.36
2010;11;0;0;30.48;0.35
2010;12;0;0;31.56;0.36
2011;01;0;0;31.73;0.36
2011;02;0;0;28.64;0.33
2011;03;0;0;31.64;0.36
2011;04;0;0;30.58;0.35
2011;05;0;0;31.6;0.36
2011;06;0;0;30.86;0.35
2011;07;0;0;31.74;0.36
2011;08;0;0;31.87;0.36
2011;09;0;0;30.92;0.35
2011;10;0;0;32.03;0.36
2011;11;0;0;31.12;0.35
2011;12;0;0;32.15;0.37
2012;01;0;0;32.08;0.36
2012;02;0;0;30.04;0.34
2012;03;0;0;32.02;0.36
2012;04;0;0;30.72;0.35
2012;05;0;0;31.61;0.36
2012;06;0;0;30.59;0.35
2012;07;0;0;31.7;0.36
2012;08;0;0;31.61;0.36
2012;09;0;0;30.55;0.35
2012;10;0;0;31.46;0.36
2012;11;0;0;30.17;0.34
2012;12;0;0;31.18;0.35
2013;01;0;0;31.17;0.35
2013;02;0;0;28.14;0.32
2013;03;0;0;31.31;0.36
2013;04;0;0;30.13;0.34
2013;05;0;0;30.83;0.35
2013;06;0;0;29.68;0.34
2013;07;0;0;30.53;0.35
2013;08;0;0;30.3;0.34
2013;09;0;0;29.3;0.33
2013;10;0;0;30.01;0.34
2013;11;0;0;28.87;0.33
2013;12;0;0;29.75;0.34
2014;01;0;0;29.86;0.34
2014;02;0;0;27.06;0.31
2014;03;0;0;30;0.34
2014;04;0;0;29.13;0.33
2014;05;0;0;30.34;0.34
2014;06;0;0;29.49;0.33
2014;07;0;0;30.54;0.35
2014;08;0;0;30.55;0.35
2014;09;0;0;29.58;0.34
2014;10;0;0;30.7;0.35
2014;11;0;0;29.74;0.34
2014;12;0;0;30.81;0.35
2015;01;0;0;30.81;0.35
2015;02;0;0;27.78;0.32
2015;03;0;0;30.81;0.35
2015;04;0;0;29.82;0.34
2015;05;0;0;30.73;0.35
2015;06;0;0;29.59;0.34
2015;07;0;0;30.49;0.35
2015;08;0;0;30.34;0.34
2015;09;0;0;29.15;0.33
2015;10;0;0;29.98;0.34
2015;11;0;0;28.89;0.33
2015;12;0;0;29.73;0.34
2016;01;0;0;29.53;0.34
2016;02;0;0;27.46;0.31
2016;03;0;0;29.27;0.33
2016;04;0;0;28.19;0.32
2016;05;0;0;28.84;0.33
2016;06;0;0;27.84;0.32
2016;07;0;0;28.77;0.33
2016;08;0;0;28.78;0.33
2016;09;0;0;27.75;0.32
2016;10;0;0;28.57;0.32
2016;11;0;0;27.6;0.31
2016;12;0;0;28.46;0.32
2017;01;0;0;28.26;0.32
2017;02;0;0;25.53;0.29
2017;03;0;0;28.2;0.32
2017;04;0;0;27.22;0.31
2017;05;0;0;28.15;0.32
2017;06;0;0;27.21;0.31
2017;07;0;0;27.96;0.32
2017;08;0;0;27.87;0.32
2017;09;0;0;26.7;0.3
2017;10;0;0;27.47;0.31
2017;11;0;0;26.45;0.3
2017;12;0;0;27.41;0.31
2018;01;0;0;27.46;0.31
2018;02;0;0;24.76;0.28
2018;03;0;0;27.38;0.31
2018;04;0;0;26.45;0.3
2018;05;0;0;27.23;0.31
2018;06;0;0;26.07;0.3
2018;07;0;0;26.7;0.3
2018;08;0;0;26.59;0.3
2018;09;0;0;25.79;0.29
2018;10;0;0;26.74;0.3
2018;11;0;0;25.66;0.29
2018;12;0;0;26.27;0.3
2019;01;0;0;26.23;0.3
2019;02;0;0;23.55;0.27
2019;03;0;0;25.93;0.29
2019;04;0;0;24.89;0.28
2019;05;0;0;25.63;0.29
2019;06;0;0;24.69;0.28
2019;07;0;0;25.39;0.29
2019;08;0;0;25.21;0.29
2019;09;0;0;24.36;0.28
2019;10;0;0;25.12;0.29
2019;11;0;0;24.25;0.28
2019;12;0;0;24.96;0.28
2020;01;0;0;24.9;0.28
2020;02;0;0;23.22;0.26
2020;03;0;0;24.87;0.28
2020;04;0;0;24.06;0.27
2020;05;0;0;24.71;0.28
2020;06;0;0;23.81;0.27
2020;07;0;0;24.51;0.28
2020;08;0;0;24.32;0.28
2020;09;0;0;23.42;0.27
2020;10;0;0;24.05;0.27
2020;11;0;0;23.23;0.26
2020;12;0;0;23.86;0.27
