year;1;2;3;4;5;6;7;8;9;10;11;12
1950;1;1;0;1;0;1;1;0;0;1;1;0
1951;2;0;0;0;1;1;2;0;1;1;0;0
1953;0;1;0;0;0;0;0;1;0;1;2;1
1954;0;1;2;0;5;0;1;1;0;2;3;0
1955;0;2;0;2;1;1;0;0;1;0;1;1
1956;0;1;4;2;2;0;1;2;0;4;3;0
1957;2;1;2;2;5;1;4;1;2;5;2;1
1959;0;1;1;0;2;1;2;3;2;1;2;2
1960;2;2;1;3;4;0;0;1;2;1;0;2
1961;0;0;2;1;0;1;2;3;2;3;0;0
1962;1;0;1;0;2;3;3;1;0;0;4;2
1963;2;2;2;2;1;1;2;1;1;0;1;2
1964;1;1;0;1;3;1;1;3;1;2;2;4
1965;3;0;3;2;6;2;1;2;4;1;0;1
1966;2;1;2;0;3;4;4;3;0;0;0;1
1967;5;5;5;6;3;3;3;3;4;2;5;4
1968;2;5;7;4;3;3;5;4;1;4;7;5
1969;1;1;2;0;4;1;0;3;1;2;3;2
1970;2;1;2;0;0;3;1;1;3;2;1;1
1971;0;2;1;0;5;2;0;0;2;0;5;3
1972;5;2;1;1;0;3;0;1;0;4;3;2
1976;1;0;0;0;1;1;0;0;1;1;1;2
1977;0;0;0;0;0;0;2;2;0;0;3;1
1978;0;1;1;0;3;3;1;1;1;0;1;0
1979;1;0;4;2;0;1;3;2;0;0;0;1
1980;0;1;0;1;2;1;2;0;1;2;0;0
1981;1;2;0;0;1;0;1;0;1;1;0;0
1982;1;1;3;1;0;1;0;0;3;1;0;0
