day;1;2;3;4;5;6;7;8;9;10;11;12
1;3;2;2;0;2;2;1;2;1;4;6;1
2;0;1;2;1;1;1;0;1;1;3;3;0
3;1;2;1;0;4;0;3;0;3;0;4;1
4;1;2;1;0;2;2;1;3;1;1;2;3
5;1;1;0;2;1;2;0;2;3;4;0;1
6;0;1;1;0;2;1;1;3;0;0;2;0
7;1;2;3;0;1;2;3;0;0;1;2;1
8;1;3;0;1;0;0;2;1;2;5;2;0
9;0;2;1;1;3;2;1;0;0;1;1;1
10;0;1;1;3;1;1;1;0;0;0;4;2
11;1;2;2;0;3;1;3;3;0;0;1;1
12;5;0;1;1;3;2;2;1;3;1;1;1
13;0;2;2;1;3;0;2;3;1;0;3;1
14;1;1;1;0;1;0;1;1;0;1;1;1
15;1;0;2;2;1;1;0;1;2;1;1;1
16;0;0;2;0;1;3;2;0;1;1;1;2
17;1;1;1;0;1;2;0;0;2;0;0;0
18;3;2;1;2;1;2;2;4;1;1;2;2
19;1;1;2;0;2;1;1;2;0;3;2;0
20;0;1;0;1;0;1;0;1;1;0;1;2
21;2;1;1;2;1;0;0;1;1;2;0;1
22;1;0;4;2;2;0;2;0;1;2;3;1
23;2;1;5;1;0;0;0;1;3;0;1;0
24;1;2;0;2;3;1;0;1;1;1;1;2
25;2;0;2;4;1;3;1;2;1;2;0;2
26;2;1;0;2;6;1;2;1;1;3;0;1
27;0;1;1;1;2;2;1;3;2;1;3;0
28;2;1;2;1;2;2;4;1;0;1;2;3
29;0;1;1;1;4;2;2;0;1;0;0;4
30;0;0;2;0;1;2;1;0;1;2;1;0
31;2;0;2;0;2;0;3;1;0;0;0;3
