Year of birth;Distance in months;No;%
1950;Median;847;""
1950;840-845;2;0.7
1950;846-851;4;1.4
1950;852-857;1;0.3
1950;Total;7;2.4
1951;Median;835;""
1951;822-827;1;0.3
1951;828-833;1;0.3
1951;834-839;4;1.4
1951;840-845;1;0.3
1951;Total;7;2.4
1953;Median;806.5;""
1953;804-809;5;1.7
1953;810-815;1;0.3
1953;Total;6;2.1
1954;Median;800;""
1954;696-701;1;0.3
1954;792-797;3;1
1954;798-803;6;2.1
1954;Total;10;3.5
1955;Median;787;""
1955;714-719;1;0.3
1955;780-785;2;0.7
1955;786-791;4;1.4
1955;Total;7;2.4
1956;Median;771;""
1956;630-635;1;0.3
1956;762-767;1;0.3
1956;768-773;5;1.7
1956;774-779;3;1
1956;Total;10;3.5
1957;Median;762;""
1957;756-761;5;1.7
1957;762-767;7;2.4
1957;Total;12;4.2
1959;Median;736.5;""
1959;582-587;1;0.3
1959;732-737;5;1.7
1959;738-743;4;1.4
1959;Total;10;3.5
1960;Median;728;""
1960;720-725;3;1
1960;726-731;7;2.4
1960;732-737;1;0.3
1960;Total;11;3.8
1961;Median;713;""
1961;708-713;7;2.4
1961;714-719;5;1.7
1961;Total;12;4.2
1962;Median;702;""
1962;696-701;4;1.4
1962;702-707;5;1.7
1962;Total;9;3.1
1963;Median;691;""
1963;684-689;4;1.4
1963;690-695;7;2.4
1963;696-701;2;0.7
1963;Total;13;4.5
1964;Median;677;""
1964;672-677;8;2.8
1964;678-683;4;1.4
1964;684-689;1;0.3
1964;Total;13;4.5
1965;Median;667.5;""
1965;636-641;1;0.3
1965;660-665;6;2.1
1965;666-671;11;3.8
1965;672-677;2;0.7
1965;Total;20;7
1966;Median;655;""
1966;540-545;1;0.3
1966;636-641;1;0.3
1966;648-653;3;1
1966;654-659;11;3.8
1966;660-665;1;0.3
1966;Total;17;5.9
1967;Median;643;""
1967;330-335;1;0.3
1967;636-641;2;0.7
1967;642-647;6;2.1
1967;648-653;2;0.7
1967;Total;11;3.8
1968;Median;631;""
1968;624-629;7;2.4
1968;630-635;10;3.5
1968;Total;17;5.9
1969;Median;617.5;""
1969;612-617;8;2.8
1969;618-623;8;2.8
1969;Total;16;5.6
1970;Median;604.5;""
1970;600-605;5;1.7
1970;606-611;2;0.7
1970;612-617;1;0.3
1970;Total;8;2.8
1971;Median;590;""
1971;462-467;1;0.3
1971;588-593;7;2.4
1971;594-599;6;2.1
1971;Total;14;4.9
1972;Median;583;""
1972;576-581;6;2.1
1972;582-587;7;2.4
1972;588-593;3;1
1972;Total;16;5.6
1976;Median;533;""
1976;528-533;2;0.7
1976;534-539;2;0.7
1976;Total;4;1.4
1977;Median;521;""
1977;516-521;3;1
1977;522-527;1;0.3
1977;Total;4;1.4
1978;Median;511;""
1978;504-509;1;0.3
1978;510-515;7;2.4
1978;Total;8;2.8
1979;Median;499;""
1979;360-365;1;0.3
1979;366-371;1;0.3
1979;492-497;1;0.3
1979;498-503;5;1.7
1979;Total;8;2.8
1980;Median;486;""
1980;480-485;3;1
1980;486-491;4;1.4
1980;Total;7;2.4
1981;Median;476;""
1981;468-473;1;0.3
1981;474-479;2;0.7
1981;Total;3;1
1982;Median;460;""
1982;330-335;1;0.3
1982;456-461;3;1
1982;462-467;3;1
1982;Total;7;2.4
