Year;Ageband;Total No;No Female;Mean Female;Median Female;No Male;Mean Male;Median Male
1995;10-19;43;43;24.87;26;0;0;0
1995;20-29;126;126;25.39;26;0;0;0
1995;30-39;114;114;20.96;21.305;0;0;0
1995;40-49;34;34;13.66;14.38;0;0;0
1995;Total;317;317;22.47;26;0;0;0
1996;20-29;< 5;< 5;24.23;24.225;0;0;0
1996;30-39;< 5;< 5;17.12;17.125;0;0;0
1996;Total;< 5;< 5;20.68;20.635;0;0;0
1997;20-29;< 5;< 5;23.38;23.385;0;0;0
1997;30-39;< 5;< 5;23.75;23.755;0;0;0
1997;Total;< 5;< 5;23.57;23.655;0;0;0
1998;20-29;< 5;< 5;22.57;22.57;0;0;0
1998;30-39;6;6;22.62;22.725;0;0;0
1998;Total;8;8;22.61;22.66;0;0;0
1999;30-39;< 5;< 5;21.56;21.615;0;0;0
1999;Total;< 5;< 5;21.56;21.615;0;0;0
2001;20-29;< 5;< 5;19.77;19.77;0;0;0
2001;Total;< 5;< 5;19.77;19.77;0;0;0
2002;30-39;< 5;< 5;18.5;18.505;0;0;0
2002;Total;< 5;< 5;18.5;18.505;0;0;0
2003;30-39;< 5;< 5;17.07;17.07;0;0;0
2003;Total;< 5;< 5;17.07;17.07;0;0;0
2004;30-39;< 5;< 5;16.28;16.28;0;0;0
2004;Total;< 5;< 5;16.28;16.28;0;0;0
2005;30-39;< 5;< 5;15.65;15.65;0;0;0
2005;Total;< 5;< 5;15.65;15.65;0;0;0
2007;20-29;< 5;< 5;13.02;13.02;0;0;0
2007;30-39;< 5;< 5;10.5;13.01;0;0;0
2007;40-49;< 5;< 5;8.85;8.85;0;0;0
2007;Total;7;7;10.39;13;0;0;0
2008;20-29;5;5;11.11;12.79;0;0;0
2008;30-39;10;10;12.91;12.92;0;0;0
2008;40-49;23;23;10.51;11.52;0;0;0
2008;50-59;5;5;3.21;3.1;0;0;0
2008;Total;43;43;10.29;12.46;0;0;0
2009;30-39;< 5;< 5;11.24;11.21;0;0;0
2009;40-49;5;5;11.4;11.22;0;0;0
2009;50-59;< 5;< 5;2.42;3.36;0;0;0
2009;Total;11;11;8.91;11.21;0;0;0
2010;20-29;< 5;< 5;10.04;10.04;0;0;0
2010;30-39;< 5;< 5;10.33;10.415;0;0;0
2010;40-49;8;8;9.59;10.12;0;0;0
2010;50-59;6;6;2.66;1.94;0;0;0
2010;Total;19;19;7.58;10.04;0;0;0
2011;20-29;< 5;< 5;9.6;9.6;0;0;0
2011;30-39;< 5;< 5;9.48;9.495;0;0;0
2011;40-49;6;6;8.88;9.235;0;0;0
2011;50-59;< 5;< 5;2.89;2.72;0;0;0
2011;Total;14;14;7.82;9.285;0;0;0
2012;30-39;< 5;< 5;7.14;8.54;0;0;0
2012;40-49;< 5;< 5;7.86;8.245;0;0;0
2012;50-59;< 5;< 5;5.63;5.63;0;0;0
2012;Total;8;8;7.31;8.245;0;0;0
2013;30-39;< 5;< 5;7.57;7.7;0;0;0
2013;40-49;7;7;7.3;7.37;0;0;0
2013;50-59;< 5;< 5;3.88;3.88;0;0;0
2013;Total;12;12;6.8;7.305;0;0;0
2014;30-39;< 5;< 5;6.91;6.91;0;0;0
2014;40-49;11;11;6.54;6.63;0;0;0
2014;Total;12;12;6.57;6.64;0;0;0
2015;40-49;< 5;< 5;5.85;5.85;0;0;0
2015;Total;< 5;< 5;5.85;5.85;0;0;0
2016;30-39;< 5;< 5;4.52;4.515;0;0;0
2016;40-49;< 5;< 5;4.66;4.66;0;0;0
2016;Total;< 5;< 5;4.56;4.62;0;0;0
2017;40-49;< 5;< 5;3.49;3.64;0;0;0
2017;50-59;< 5;< 5;3.42;3.42;0;0;0
2017;Total;< 5;< 5;3.47;3.53;0;0;0
2018;40-49;< 5;< 5;2.28;2.28;0;0;0
2018;50-59;< 5;< 5;2.44;2.3;0;0;0
2018;Total;< 5;< 5;2.4;2.29;0;0;0
2020;40-49;< 5;< 5;0.91;0.91;0;0;0
2020;50-59;< 5;< 5;0.28;0.23;0;0;0
2020;Total;6;6;0.49;0.465;0;0;0
