Year;Ageband;PY Male;% Male;PY Female;% Female;Total
1995;11-20;0;;42.97;;42.97
1995;21-30;0;;133.21;;133.21
1995;31-40;0;;109.63;;109.63
1995;41-50;0;;27.05;;27.05
1995;Total;0;;312.86;;312.86
1996;11-20;0;;43.09;;43.09
1996;21-30;0;;112.84;;112.84
1996;31-40;0;;124.74;;124.74
1996;41-50;0;;37.34;;37.34
1996;Total;0;;318.01;;318.01
1997;11-20;0;;41.07;;41.07
1997;21-30;0;;99.02;;99.02
1997;31-40;0;;134.37;;134.37
1997;41-50;0;;47.61;;47.61
1997;Total;0;;322.07;;322.07
1998;11-20;0;;36.47;;36.47
1998;21-30;0;;90.54;;90.54
1998;31-40;0;;135.29;;135.29
1998;41-50;0;;66.36;;66.36
1998;Total;0;;328.66;;328.66
1999;11-20;0;;29.36;;29.36
1999;21-30;0;;81.88;;81.88
1999;31-40;0;;144.83;;144.83
1999;41-50;0;;77.95;;77.95
1999;Total;0;;334.02;;334.02
2000;11-20;0;;20.87;;20.87
2000;21-30;0;;73.26;;73.26
2000;31-40;0;;160;;160
2000;41-50;0;;82.57;;82.57
2000;Total;0;;336.7;;336.7
2001;11-20;0;;15.51;;15.51
2001;21-30;0;;65.99;;65.99
2001;31-40;0;;158.92;;158.92
2001;41-50;0;;92.22;;92.22
2001;51-60;0;;< 5;;< 5
2001;Total;0;;336.55;;336.55
2002;11-20;0;;9.3;;9.3
2002;21-30;0;;61.07;;61.07
2002;31-40;0;;161.16;;161.16
2002;41-50;0;;94.74;;94.74
2002;51-60;0;;11.52;;11.52
2002;Total;0;;337.79;;337.79
2003;11-20;0;;< 5;;< 5
2003;21-30;0;;47.64;;47.64
2003;31-40;0;;170.28;;170.28
2003;41-50;0;;102.53;;102.53
2003;51-60;0;;14.99;;14.99
2003;Total;0;;338.83;;338.83
2004;21-30;0;;44.09;;44.09
2004;31-40;0;;165.3;;165.3
2004;41-50;0;;114.76;;114.76
2004;51-60;0;;16.83;;16.83
2004;Total;0;;340.98;;340.98
2005;21-30;0;;43.22;;43.22
2005;31-40;0;;154;;154
2005;41-50;0;;113.32;;113.32
2005;51-60;0;;26.38;;26.38
2005;Total;0;;336.92;;336.92
2006;21-30;0;;42.97;;42.97
2006;31-40;0;;133.4;;133.4
2006;41-50;0;;123.25;;123.25
2006;51-60;0;;32.24;;32.24
2006;Total;0;;331.86;;331.86
2007;21-30;0;;41.16;;41.16
2007;31-40;0;;116.77;;116.77
2007;41-50;0;;132.35;;132.35
2007;51-60;0;;34.09;;34.09
2007;Total;0;;324.37;;324.37
2008;21-30;0;;42.7;;42.7
2008;31-40;0;;114.63;;114.63
2008;41-50;0;;153.33;;153.33
2008;51-60;0;;53.65;;53.65
2008;Total;0;;364.31;;364.31
2009;21-30;0;;35.85;;35.85
2009;31-40;0;;96.85;;96.85
2009;41-50;0;;174.76;;174.76
2009;51-60;0;;64.15;;64.15
2009;Total;0;;371.61;;371.61
2010;21-30;0;;25.07;;25.07
2010;31-40;0;;83.55;;83.55
2010;41-50;0;;198.85;;198.85
2010;51-60;0;;61.2;;61.2
2010;Total;0;;368.67;;368.67
2011;21-30;0;;19.6;;19.6
2011;31-40;0;;78.05;;78.05
2011;41-50;0;;204.67;;204.67
2011;51-60;0;;72.55;;72.55
2011;Total;0;;374.87;;374.87
2012;21-30;0;;11.21;;11.21
2012;31-40;0;;76.15;;76.15
2012;41-50;0;;210.88;;210.88
2012;51-60;0;;75.5;;75.5
2012;Total;0;;373.74;;373.74
2013;21-30;0;;< 5;;< 5
2013;31-40;0;;65.56;;65.56
2013;41-50;0;;222.78;;222.78
2013;51-60;0;;67.67;;67.67
2013;Total;0;;360.02;;360.02
2014;31-40;0;;61.87;;61.87
2014;41-50;0;;222.4;;222.4
2014;51-60;0;;73.54;;73.54
2014;Total;0;;357.81;;357.81
2015;31-40;0;;61.96;;61.96
2015;41-50;0;;213.12;;213.12
2015;51-60;0;;83.03;;83.03
2015;Total;0;;358.11;;358.11
2016;31-40;0;;63.16;;63.16
2016;41-50;0;;188.66;;188.66
2016;51-60;0;;89.25;;89.25
2016;Total;0;;341.07;;341.07
2017;31-40;0;;60.19;;60.19
2017;41-50;0;;172.95;;172.95
2017;51-60;0;;95.28;;95.28
2017;Total;0;;328.42;;328.42
2018;31-40;0;;53.75;;53.75
2018;41-50;0;;151.1;;151.1
2018;51-60;0;;112.24;;112.24
2018;Total;0;;317.09;;317.09
2019;31-40;0;;42.53;;42.53
2019;41-50;0;;120.21;;120.21
2019;51-60;0;;137.46;;137.46
2019;Total;0;;300.2;;300.2
2020;31-40;0;;30.77;;30.77
2020;41-50;0;;100.69;;100.69
2020;51-60;0;;157.51;;157.51
2020;Total;0;;288.97;;288.97
