month;1995;1996;1997;1998;1999;2001;2002;2003;2004;2005;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2020
1;311;0;0;< 5;< 5;0;0;0;0;0;0;12;< 5;0;< 5;0;< 5;< 5;0;0;0;< 5;< 5
2;0;0;0;< 5;0;0;0;0;0;0;0;16;0;0;0;< 5;< 5;< 5;< 5;0;0;0;< 5
3;< 5;0;< 5;< 5;0;< 5;0;0;0;0;0;9;0;0;< 5;< 5;< 5;< 5;0;0;< 5;0;0
4;0;0;< 5;< 5;< 5;0;0;0;0;0;0;< 5;0;0;0;0;< 5;< 5;0;0;0;0;0
5;< 5;< 5;< 5;< 5;0;0;< 5;0;0;< 5;0;< 5;0;< 5;5;< 5;< 5;< 5;0;< 5;< 5;0;< 5
6;0;0;0;< 5;< 5;0;0;0;0;0;0;0;0;< 5;< 5;< 5;0;0;0;0;0;0;0
7;0;< 5;0;0;0;0;0;0;0;0;0;< 5;0;< 5;0;< 5;0;< 5;0;0;< 5;0;0
8;0;0;0;< 5;0;0;< 5;0;0;0;0;0;< 5;< 5;< 5;0;< 5;0;0;< 5;0;0;0
9;< 5;< 5;0;0;0;0;0;0;< 5;0;0;0;< 5;< 5;< 5;0;0;< 5;0;0;0;< 5;< 5
10;0;0;0;0;0;0;0;0;0;0;0;0;5;6;< 5;0;< 5;< 5;0;0;0;0;0
11;< 5;0;< 5;< 5;< 5;0;0;0;0;0;0;< 5;< 5;< 5;< 5;< 5;< 5;< 5;0;0;0;0;< 5
12;0;< 5;0;0;0;0;0;< 5;0;0;7;0;0;< 5;0;< 5;< 5;0;0;0;< 5;< 5;< 5
