"Coding_System","Concept_name","Code"
"ICD9CM","Arteritis","4476"
"ICD9CM","Behcet Syndrome","1361"
"ICD9CM","Granuloma, Lethal Midline","4463"
"ICD9CM","Mucocutaneous Lymph Node Syndrome","4461"
"ICD9CM","Polyarteritis Nodosa","4460"
"ICD9CM","Henoch-Schoenlein Purpura","2870"
"ICD9CM","Takayasu Arteritis","4467"
"ICD9CM","Giant Cell Arteritis","4465"
"ICD9CM","Thromboangiitis Obliterans","4431"
"ICD9CM","Vasculitis, Leukocytoclastic, Cutaneous","4462, 44620"
"ICD9CM","Other specified hypersensitivity angiitis","44629"
"ICD9CM","Anti-Glomerular Basement Membrane Disease","44621"
"ICD9CM","Thrombotic Microangiopathies","4466"
"MTHICD9","Granuloma, Lethal Midline","4463"
"MTHICD9","Mucocutaneous Lymph Node Syndrome","4461"
"MTHICD9","Polyarteritis Nodosa","4460"
"MTHICD9","Henoch-Schoenlein Purpura","2870"
"MTHICD9","Takayasu Arteritis","4467"
"MTHICD9","Giant Cell Arteritis","4465"
"MTHICD9","Thromboangiitis Obliterans","4431"
"MTHICD9","Thrombosis","4539"
"MTHICD9","Vasculitis, Leukocytoclastic, Cutaneous","2870"
"ICD10/CM","Arteritis","I776"
"ICD10/CM","Behcet Syndrome","M352"
"ICD10/CM","Granuloma, Lethal Midline","M312"
"ICD10/CM","Mucocutaneous Lymph Node Syndrome","M303"
"ICD10/CM","Polyarteritis Nodosa","M300"
"ICD10/CM","Henoch-Schoenlein Purpura","D690"
"ICD10/CM","Takayasu Arteritis","M314"
"ICD10/CM","Thromboangiitis Obliterans","I731"
"ICD10/CM","Vasculitis, Leukocytoclastic, Cutaneous","M310, D690"
"ICD10/CM","Anti-Glomerular Basement Membrane Disease","M310"
"ICD10/CM","Thrombotic Microangiopathies","M311"
"ICD9CM","polyarteritis nodosa; related condition","446"
"ICD9CM","Portal Vein Thrombosis","452"
"ICPC2P","Arteritis","K99041"
"ICPC2P","Mucocutaneous Lymph Node Syndrome","B99022"
"ICPC2P","Polyarteritis Nodosa","K99024"
"ICPC2P","Henoch-Schoenlein Purpura","B83019"
"ICPC2P","Giant Cell Arteritis","K99005"
"ICPC2P","Thromboangiitis Obliterans","K92001, K92021"
"ICPC2P","Vasculitis","K99016"
"ICPC2P","Portal Vein Thrombosis","K94003"
"ICD10/CM","polyarteritis nodosa; related condition","M30"
"ICD10/CM","Portal Vein Thrombosis","I81"
"RCD2","Arteritis","G766."
"RCD2","Behcet Syndrome","AD61."
"RCD2","Granuloma, Lethal Midline","G753."
"RCD2","Henoch-Schoenlein Purpura","D310."
"RCD2","Giant Cell Arteritis","G755."
"RCD2","Vasculitis","G76B."
"RCD2","polyarteritis nodosa; related condition","G75z., G75.."
"RCD2","Portal Vein Thrombosis","G81.."
"RCD2","Thrombotic Microangiopathies","G756."
"RCD","Behcet Syndrome","AD61."
"RCD","Granuloma, Lethal Midline","G753."
"RCD","Henoch-Schoenlein Purpura","D310."
"RCD","Giant Cell Arteritis","G755."
"RCD","Vasculitis","G76B."
"RCD","polyarteritis nodosa; related condition","G75.., G75z."
"RCD","Portal Vein Thrombosis","G81.."
"RCD","Thrombotic Microangiopathies","G756."
"SNOMEDCT_US","Arteritis","195368003, 266265002, 266325003, 52089001"
"SNOMEDCT_US","Behcet Syndrome","154424000, 310701003, 41225007"
"SNOMEDCT_US","Granuloma, Lethal Midline","58961005"
"SNOMEDCT_US","Mucocutaneous Lymph Node Syndrome","155444003, 195348009, 195349001, 75053002"
"SNOMEDCT_US","Polyarteritis Nodosa","155441006, 155445002, 195347004, 266323005, 286960005, 66121003"
"SNOMEDCT_US","Henoch-Schoenlein Purpura","154823001, 191305009, 191306005, 191308006, 21148002, 246074004, 267565009, 31912009, 367437009"
"SNOMEDCT_US","Takayasu Arteritis","155445002, 195361009, 266323005, 359789008, 42153001"
"SNOMEDCT_US","Giant Cell Arteritis","155442004, 195354005, 195355006, 195356007, 195357003, 400130008, 414341000, 87511001"
"SNOMEDCT_US","Thromboangiitis Obliterans","155432001, 195298008, 195299000, 195300008, 52403007"
"SNOMEDCT_US","Thrombosis","118927008, 264579008, 439127006, 70281000"
"SNOMEDCT_US","Vasculitis","195375002, 266325003, 31996006, 393589007"
"SNOMEDCT_US","Vasculitis, Leukocytoclastic, Cutaneous","195350001, 195352009, 60555002, 718217000"
"SNOMEDCT_US","polyarteritis nodosa; related condition","155440007, 195346008, 195365000"
"SNOMEDCT_US","Portal Vein Thrombosis","155455003, 17920008"
"SNOMEDCT_US","Anti-Glomerular Basement Membrane Disease","155445002, 195351002, 236506009, 266323005, 50581000, 788613004"
"SNOMEDCT_US","Thrombotic Microangiopathies","126729006, 195360005, 78129009"
"SCTSPA","Arteritis","266265002, 52089001"
"SCTSPA","Behcet Syndrome","310701003, 41225007"
"SCTSPA","Granuloma, Lethal Midline","58961005"
"SCTSPA","Mucocutaneous Lymph Node Syndrome","195349001, 75053002"
"SCTSPA","Polyarteritis Nodosa","155441006, 286960005, 66121003"
"SCTSPA","Henoch-Schoenlein Purpura","191306005, 191308006, 21148002, 246074004, 267565009, 31912009, 367437009"
"SCTSPA","Takayasu Arteritis","359789008, 42153001"
"SCTSPA","Giant Cell Arteritis","195357003, 414341000, 87511001"
"SCTSPA","Thromboangiitis Obliterans","195299000, 195300008, 52403007"
"SCTSPA","Thrombosis","118927008, 264579008, 439127006, 70281000"
"SCTSPA","Vasculitis","31996006"
"SCTSPA","Vasculitis, Leukocytoclastic, Cutaneous","195352009, 60555002, 718217000"
"SCTSPA","polyarteritis nodosa; related condition","155440007, 195346008, 195365000"
"SCTSPA","Portal Vein Thrombosis","17920008"
"SCTSPA","Anti-Glomerular Basement Membrane Disease","236506009, 50581000"
"SCTSPA","Thrombotic Microangiopathies","126729006, 195360005"
