"Coding_System","Concept_name","Code"
"ICD9CM","Toxic Epidermal Necrolysis","69515"
"ICD9CM","Stevens-Johnson Syndrome","69513"
"ICD9CM","Stevens Johnson Syndrome-toxic epidermal necrolysis overlap syndrome","69514"
"MTHICD9","Toxic Epidermal Necrolysis","69515"
"MTHICD9","Erythema iris","69510"
"MTHICD9","Stevens Johnson Syndrome-toxic epidermal necrolysis overlap syndrome","69514"
"ICD10/CM","Toxic Epidermal Necrolysis","L512"
"ICD10/CM","Stevens-Johnson Syndrome","L511"
"ICPC2P","Stevens-Johnson Syndrome","A12005, S99032"
"SCTSPA","Toxic Epidermal Necrolysis","23067006, 768962006"
"SCTSPA","Toxic epidermal necrolysis due to drug","402744003"
"SCTSPA","Stevens-Johnson Syndrome","73442001"
"SCTSPA","Erythema iris","81487000"
"SCTSPA","Drug-Induced Stevens Johnson Syndrome","403609001"
"SCTSPA","Oculomucocutaneous syndrome","95331002"
"SNOMEDCT_US","Toxic Epidermal Necrolysis","156362004, 200919006, 23067006, 267848009, 768962006"
"SNOMEDCT_US","Toxic epidermal necrolysis due to drug","402744003"
"SNOMEDCT_US","Stevens-Johnson Syndrome","156362004, 238819008, 267848009, 73442001"
"SNOMEDCT_US","Erythema iris","81487000"
"SNOMEDCT_US","Drug-Induced Stevens Johnson Syndrome","403609001"
"SNOMEDCT_US","Oculomucocutaneous syndrome","95331002"
