"Coding_System","Concept_name","Code"
"ICD9CM","Pancreatitis, Acute","5770"
"ICD9CM","Ulcerative Colitis","5569, 556"
"ICD9CM","Gastrointestinal Hemorrhage","5789, 578"
"ICD9CM","Hematemesis","5780"
"ICD9CM","Hemorrhage of rectum and anus","5693"
"ICD9CM","Irritable Bowel Syndrome","5641"
"ICD9CM","Acute gastric ulcer with hemorrhage","5310"
"ICD9CM","Acute gastric ulcer with hemorrhage and perforation","5312"
"ICD9CM","Gastric ulcer chronic or unspecified with hemorrhage","5314"
"ICD9CM","Acute duodenal ulcer with hemorrhage","5320"
"ICD9CM","Acute duodenal ulcer with hemorrhage AND perforation","5322"
"ICD9CM","Duodenal ulcer, chronic or unspecified with hemorrhage","5324"
"ICD9CM","Acute gastrojejunal ulcer with hemorrhage","5340"
"ICD9CM","Acute gastrojejunal ulcer with hemorrhage and perforation","5342"
"ICD9CM","Chronic or unspecified gastrojejunal ulcer with haemorrhage","5344"
"ICD9CM","Atrophic gastritis, with haemorrhage","53511"
"ICD9CM","Gastric mucosal hypertrophy, with haemorrhage","53521"
"ICD9CM","Other specified gastritis, with hemorrhage","53541"
"ICD9CM","Unspecified gastritis and gastroduodenitis, with hemorrhage","53551"
"ICD9CM","Angiodysplasia of stomach and duodenum with haemorrhage","53783"
"ICD9CM","Diverticulitis of small intestine with haemorrhage","56203"
"ICD9CM","Diverticulosis of colon with haemorrhage","56212"
"ICD9CM","Angiodysplasia of intestine with haemorrhage","56985"
"ICD9CM","Acute peptic ulcer with hemorrhage","5330, 53300"
"ICD9CM","Acute peptic ulcer with hemorrhage and perforation","5332"
"ICD9CM","Chronic ulcerative enterocolitis","5560"
"ICD9CM","Chronic ulcerative ileocolitis","5561"
"ICD9CM","Chronic ulcerative rectosigmoiditis","5563"
"ICD9CM","Hemorrhagic duodenitis","53561"
"ICD9CM","Other ulcerative colitis","5568"
"ICD9CM","Chronic left-sided ulcerative colitis","5565"
"ICD9CM","Universal ulcerative (chronic) colitis","5566"
"ICD9CM","Gastric ulcer, chronic or unspecified with both hemorrhage and perforation","5316"
"ICD9CM","Duodenal ulcer, chronic or unspecified with both hemorrhage and perforation","5326"
"ICD9CM","Chronic or unspecified peptic ulcer of unspecified site with haemorrhage","5334"
"ICD9CM","Peptic ulcer, chronic or unspecified with both hemorrhage and perforation","5336"
"ICD9CM","Gastrojejunal ulcer, chronic or unspecified with both hemorrhage and perforation","5346"
"ICD9CM","Blood in stool","5781"
"ICD9CM","Acute hemorrhagic gastritis","53501"
"ICD9CM","eosinophilic gastritis with hemorrhage","53571"
"ICD9CM","Chronic ulcerative proctitis","5562"
"MTHICD9","Hematemesis","5780"
"MTHICD9","Irritable Bowel Syndrome","5641"
"MTHICD9","Pancreatitis","5770"
"MTHICD9","Ulcerative enterocolitis","5560"
"MTHICD9","Chronic ulcerative enterocolitis","5560"
"MTHICD9","Chronic ulcerative ileocolitis","5561"
"MTHICD9","Chronic ulcerative rectosigmoiditis","5563"
"MTHICD9","Chronic left-sided ulcerative colitis","5565"
"MTHICD9","Universal ulcerative (chronic) colitis","5566"
"MTHICD9","Acute hemorrhagic gastritis","53501"
"MTHICD9","Chronic ulcerative proctitis","5562"
"ICD10/CM","Pancreatitis, Acute","K859, K85"
"ICD10/CM","Ulcerative Colitis","K519, K51"
"ICD10/CM","Gastrointestinal Hemorrhage","K922"
"ICD10/CM","Hematemesis","K920"
"ICD10/CM","Hemorrhage of rectum and anus","K625"
"ICD10/CM","Irritable Bowel Syndrome","K589, K58"
"ICD10/CM","Pancreatitis","K859"
"ICD10/CM","Acute gastric ulcer with hemorrhage","K250"
"ICD10/CM","Acute gastric ulcer with hemorrhage and perforation","K252"
"ICD10/CM","Gastric ulcer chronic or unspecified with hemorrhage","K254"
"ICD10/CM","Acute duodenal ulcer with hemorrhage","K260"
"ICD10/CM","Acute duodenal ulcer with hemorrhage AND perforation","K262"
