"Coding_System","Concept_name","Code"
"ICD9CM","Neutropenia","2880, 28800"
"ICD9CM","Thrombocytopenia","2875"
"ICD9CM","Cyclic neutropenia","28802"
"ICD9CM","Drug-induced neutropenia","28803"
"ICD9CM","Neutropenia associated with infectious disease","28804"
"ICD9CM","Congenital neutropenia","28801"
"ICD9CM","Primary splenic neutropenia","28953"
"ICD9CM","Other neutropenia","28809"
"MTHICD9","Cyclic neutropenia","28802"
"MTHICD9","Immune neutropenia","28809"
"MTHICD9","Toxic neutropenia","28809"
"MTHICD9","Eosinopenia","28859"
"MTHICD9","Congenital neutropenia","28801"
"MTHICD9","Severe congenital neutropenia","28801"
"ICD10/CM","Neutropenia","D709, D70"
"ICD10/CM","Thrombocytopenia","D696"
"ICD10/CM","Cyclic neutropenia","D704"
"ICD10/CM","Neutropenia associated with infectious disease","D703"
"ICD10/CM","Eosinopenia","D72818"
"ICD10/CM","Primary splenic neutropenia","D7381"
"ICD10/CM","Severe congenital neutropenia","D700"
"ICD10/CM","Agranulocytosis secondary to cancer chemotherapy","D701"
"ICD10/CM","Other drug-induced agranulocytosis","D702"
"ICD10/CM","Other neutropenia","D708"
"ICPC2P","Agranulocytosis","B84001"
"ICPC2P","Neutropenia","B84008"
"ICPC2P","Thrombocytopenia","B83012"
"ICD10/CM","Agranulocytosis","D70"
"RCD2","Thrombocytopenia","D315."
"RCD2","Severe congenital neutropenia","D400."
"RCD","Thrombocytopenia","D315."
"SCTSPA","Agranulocytosis","165508008, 17182001, 191350006"
"SCTSPA","Neutropenia","303011007, 72885007"
"SCTSPA","Thrombocytopenia","154827000, 191326009, 302215000, 415116008, 70786006"
"SCTSPA","Cyclic neutropenia","191347008, 69295006"
"SCTSPA","Agranulocytic angina","72050006"
"SCTSPA","Neutropenia with dysgranulopoiesis","41814009"
"SCTSPA","Familial neutropenia","247860002"
"SCTSPA","Myelokathexis","24974008"
"SCTSPA","Lazy Leukocyte Syndrome","71436005"
"SCTSPA","Immune neutropenia","65623009"
"SCTSPA","Neutropenia associated with autoimmune disease","111585004"
"SCTSPA","Drug-induced neutropenia","47318007"
"SCTSPA","Neutropenia associated with infectious disease","46359005"
"SCTSPA","Toxic neutropenia","32092008"
"SCTSPA","Granulocyte granule deficiency","289317009, 60550007"
"SCTSPA","Eosinopenia","165523003, 43355006"
"SCTSPA","Doan-Wright syndrome","38970002"
"SCTSPA","Agranulocytosis associated with AIDS","421312009, 906000"
"SCTSPA","Congenital neutropenia","89655007"
"SCTSPA","Autoimmune neutropenia","234425008"
"SCTSPA","Acquired neutropenia in newborn","191345000"
"SCTSPA","Neutropenia due to irradiation","267540007"
"SCTSPA","Primary splenic neutropenia","191338000, 58639003"
"SCTSPA","Chronic benign granulocytopenia","234418001"
"SCTSPA","Disorder of phagocytic cell number","234574006"
"SCTSPA","Mucositis necroticans agranulocytica","95362003"
"SCTSPA","Chronic idiopathic immunoneutropenia in adults","129642004"
"SCTSPA","Benign granulocytopenia in childhood","129640007"
"SCTSPA","Chronic hypoplastic neutropenia","129643009"
"SCTSPA","Chronic benign neutropenia","234423001, 53917000"
"SCTSPA","Agranulocytopenic disorder","267538002"
