"Coding_System","Concept_name","Code"
"ICD9CM","Adjustment disorder with depressed mood","3090"
"ICD9CM","Dysthymic Disorder","3004"
"ICD9CM","Major depression, single episode","2962, 29620"
"ICD9CM","Psychotic Disorders","290-29999, 2989"
"ICD9CM","Undersocialized conduct disorder, aggressive type","3120"
"ICD9CM","unspecified nonpsychotic mental disorder","3009"
"ICD9CM","Mild major depression, single episode","29621"
"ICD9CM","Moderate major depression, single episode","29622"
"ICD9CM","Severe major depression, single episode, without psychotic features","29623"
"ICD9CM","Severe major depression, single episode, with psychotic features","29624"
"ICD9CM","Major depressive disorder, single episode in full remission","29626"
"ICD9CM","Recurrent major depressive episodes","2963, 29630"
"ICD9CM","Moderate recurrent major depression","29632"
"ICD9CM","Severe recurrent major depression without psychotic features","29633"
"ICD9CM","Recurrent depressive disorder, current episode severe with psychotic symptoms","29634"
"ICD9CM","Atypical depressive disorder","29682"
"ICD9CM","Prolonged depressive adjustment reaction","3091"
"ICD9CM","Adjustment disorder with mixed anxiety and depressed mood","30928"
"ICD9CM","Undersocialized conduct disorder, aggressive type, mild","31201"
"ICD9CM","Undersocialized conduct disorder, aggressive type, moderate","31202"
"ICD9CM","Undersocialized conduct disorder, aggressive type, severe","31203"
"ICD9CM","Major depressive affective disorder, single episode, in partial or unspecified remission","29625"
"ICD9CM","Major depressive affective disorder, recurrent episode, in partial or unspecified remission","29635"
"ICD9CM","Conduct disorder, childhood-onset type","31281"
"ICD9CM","Undersocialized conduct disorder, aggressive type, unspecified","31200"
"ICD9CM","Other conduct disorders","31289"
"ICD9CM","Feeling suicidal (finding)","V6284"
"ICD9CM","Episodic mood disorder","29690, 296"
"ICD9CM","Depressive type psychosis","2980"
"ICD9CM","Recurrent major depressive episodes, mild","29631"
"ICD9CM","Chronic depressive personality disorder","30112"
"MTHICD9","Affective Disorders, Psychotic","29690"
"MTHICD9","Aggressive behavior","3013"
"MTHICD9","Major depression, single episode","29620"
"MTHICD9","Neurotic Disorders","3009"
"MTHICD9","Psychotic Disorders","2989"
"MTHICD9","Mild major depression, single episode","29621"
"MTHICD9","Moderate major depression, single episode","29622"
"MTHICD9","Severe major depression, single episode, without psychotic features","29623"
"MTHICD9","Severe major depression, single episode, with psychotic features","29624"
"MTHICD9","Major depressive disorder, single episode in full remission","29626"
"MTHICD9","Recurrent major depressive episodes","29630"
"MTHICD9","Moderate recurrent major depression","29632"
"MTHICD9","Severe recurrent major depression without psychotic features","29633"
"MTHICD9","Recurrent depressive disorder, current episode severe with psychotic symptoms","29634"
"MTHICD9","Prolonged depressive adjustment reaction","3091"
"MTHICD9","Undersocialized conduct disorder, aggressive type, mild","31201"
"MTHICD9","Undersocialized conduct disorder, aggressive type, moderate","31202"
"MTHICD9","Undersocialized conduct disorder, aggressive type, severe","31203"
"MTHICD9","Depression, Neurotic","3004"
"MTHICD9","Major depressive affective disorder, single episode, in partial or unspecified remission","29625"
"MTHICD9","Major depressive affective disorder, recurrent episode, in partial or unspecified remission","29635"
"MTHICD9","Undersocialized conduct disorder, aggressive type, unspecified","31200"
"MTHICD9","Anger reaction","3120"
"MTHICD9","Mood Disorders","29690"
"MTHICD9","Aggressive outburst","3120"
"MTHICD9","Depressive psychosis, single episode or unspecified","2962"
"MTHICD9","Endogenous depression, single episode or unspecified","2962"
"MTHICD9","Involutional melancholia, single episode or unspecified","2962"
"MTHICD9","Manic-depressive psychosis or reaction, depressed type, single episode or unspecified","2962"
"MTHICD9","Monopolar depression, single episode or unspecified","2962"
"MTHICD9","Psychotic depression, single episode or unspecified","2962"
"MTHICD9","unsocialized; aggressive disorder","3120"
"MTHICD9","Depressive type psychosis","2980"
"MTHICD9","Recurrent major depressive episodes, mild","29631"
"MTHICD9","Chronic depressive personality disorder","30112"
"ICD10/CM","Adjustment disorder with depressed mood","F4321"
"ICD10/CM","Mental disorders","F99-F999, F99-F99, F99"
"ICD10/CM","Mental Depression","F339, F329"
"ICD10/CM","Depressive disorder","F329, F341"
"ICD10/CM","Dysthymic Disorder","F341"
"ICD10/CM","Hostility","R455"
"ICD10/CM","Major depression, single episode","F329, F32"
"ICD10/CM","Neurotic Disorders","F489"
"ICD10/CM","unspecified nonpsychotic mental disorder","F489"
"ICD10/CM","Mild major depression, single episode","F320"
"ICD10/CM","Moderate major depression, single episode","F321"
"ICD10/CM","Severe major depression, single episode, without psychotic features","F322"
"ICD10/CM","Severe major depression, single episode, with psychotic features","F323"
"ICD10/CM","Major depressive disorder, single episode in full remission","F325"
"ICD10/CM","Recurrent major depressive episodes","F339, F33"
"ICD10/CM","Mild recurrent major depression","F330"
"ICD10/CM","Moderate recurrent major depression","F331"
"ICD10/CM","Severe recurrent major depression without psychotic features","F332"
"ICD10/CM","Recurrent depressive disorder, current episode severe with psychotic symptoms","F333"
"ICD10/CM","Atypical depressive disorder","F3289"
"ICD10/CM","Adjustment disorder with mixed anxiety and depressed mood","F4323"
"ICD10/CM","Major depression single episode, in partial remission","F324"
"ICD10/CM","Recurrent major depression in partial remission","F3341"
"ICD10/CM","Depression, Neurotic","F341"
"ICD10/CM","Depressive personality disorder","F341"
"ICD10/CM","Post-schizophrenic depression","F204, F3289"
"ICD10/CM","Conduct disorder, childhood-onset type","F911"
"ICD10/CM","Other depressive episodes","F328"
"ICD10/CM","Depressive episode, unspecified","F329, F32"
"ICD10/CM","Recurrent depressive disorder","F339, F33"
"ICD10/CM","Recurrent depressive disorder, current episode mild","F330"
"ICD10/CM","Other conduct disorders","F918"
"ICD10/CM","Feeling suicidal (finding)","R45851"
"ICD10/CM","Physical aggression","R456"
"ICD10/CM","Unhappiness","R452"
"ICD10/CM","Physical violence","R456"
"ICD10/CM","Mild depressive episode","F320"
"ICD10/CM","Moderate depressive episode","F321"
"ICD10/CM","Severe depressive episode without psychotic symptoms","F322"
"ICD10/CM","Severe depressive episode with psychotic symptoms","F323"
"ICD10/CM","Mood Disorders","F30-F399, F30-F39, F39"
"ICD10/CM","unsocialized; aggressive disorder","F911"
"ICD10/CM","Major Depressive Disorder","F329"
"ICD10/CM","anxiety; depression, persistent","F341"
"ICD10/CM","depression; endogenous, with psychotic symptoms","F333"
"ICD10/CM","Single episode of major depression with mood-congruent psychotic symptoms","F323"
"ICD10/CM","Single episode of major depression with mood-incongruent psychotic symptoms","F323"
"ICD10/CM","Single episode of major depression with psychotic symptoms","F323"
"ICD10/CM","Single episode of psychogenic depressive psychosis","F323"
"ICD10/CM","Single episode of psychotic depression","F323"
"ICD10/CM","Reactive depressive psychosis, single episode","F323"
"ICD10/CM","Recurrent severe episodes of major depression with mood-congruent psychotic symptoms","F333"
"ICD10/CM","Recurrent severe episodes of major depression with mood-incongruent psychotic symptoms","F333"
"ICD10/CM","Recurrent severe episodes of major depression with psychotic symptoms","F333"
"ICD10/CM","Recurrent severe episodes of psychogenic depressive psychosis","F333"
"ICD10/CM","Recurrent severe episodes of psychotic depression","F333"
"ICD10/CM","Recurrent severe episodes of reactive depressive psychosis","F333"
"ICD10/CM","Major depressive disorder, recurrent, in remission, unspecified","F3340, F334"
"ICD9CM","Muscular dystrophies and other myopathies","359"
"ICD9CM","Depressive disorder, NEC in ICD9CM_2014","311"
"ICPC2P","fear of committing suicide","P27004, P77001"
"ICPC2P","successful suicide attempt","P77010"
"ICPC2P","suicidal personality","P77008"
"ICPC2P","suicidal impulses","P77007"
"ICPC2P","suicidal ideas","P77006"
"ICPC2P","Suicidal act(s)","P77005"
"ICPC2P","feeling self destructive","P77003"
"ICPC2P","feeling inadequate","P03012"
"ICPC2P","feeling like giving up","P03005"
"ICPC2P","Affective Disorders, Psychotic","P73011"
"ICPC2P","Aggressive behavior","P80001"
"ICPC2P","Mental disorders","P79004, P99003, P99008"
"ICPC2P","Mental Depression","P76001, P76004"
"ICPC2P","Depressive disorder","P76005, P76007"
"ICPC2P","Neurotic Disorders","P79002, P79005, P79007, P79013, P99007, P99009"
"ICPC2P","Psychotic Disorders","P98003, P98004"
"ICPC2P","Depressive personality disorder","P80006"
"ICPC2P","Depressed mood","P03017"
"ICPC2P","Feeling suicidal (finding)","P77002"
"ICPC2P","Mood Disorders","P76006"
"MTHICD9","Mental Depression","311"
"MTHICD9","Depressive disorder","311"
"ICD10/CM","Affective Disorders, Psychotic","F39"
"RCD2","Aggressive behavior","1P5.."
"RCD2","Mental disorders","Euz.., Ez..., E...."
"RCD2","Mental Depression","Eu32."
"RCD2","Depressive disorder","Eu32."
"RCD2","Muscular dystrophies and other myopathies","F39y., F39.."
"RCD2","Neurotic Disorders","E20.."
"RCD2","Psychotic Disorders","Eu2z."
"RCD2","Prolonged depressive adjustment reaction","E291."
"RCD2","Depressed mood","Eu32."
"RCD2","Depressive episode, unspecified","Eu32."
"RCD2","Feeling suicidal (finding)","1BD1."
"RCD2","At risk for suicide","1BD4."
"RCD","Mental disorders","E...., Euz.., Ez..."
"RCD","Muscular dystrophies and other myopathies","F39.., F39y."
"RCD","Neurotic Disorders","E20.."
"RCD","Prolonged depressive adjustment reaction","E291."
"RCD","Feeling suicidal (finding)","1BD1."
"SCTSPA","Adjustment disorder with depressed mood","57194009"
"SCTSPA","Affective Disorders, Psychotic","191663008, 441704009"
"SCTSPA","Aggressive behavior","61372001"
"SCTSPA","Mental disorders","154971002, 154972009, 154980002, 192637001, 192639003, 74732009"
"SCTSPA","Mental Depression","154963001, 307537002"
"SCTSPA","Depressive disorder","21061000119107, 35489007, 78667006"
"SCTSPA","Dysthymic Disorder","78667006"
"SCTSPA","Hostility","206793008, 79351003"
"SCTSPA","Major depression, single episode","191600009, 191607007, 268620009, 36923009"
"SCTSPA","Muscular dystrophies and other myopathies","193219004, 193260006"
"SCTSPA","Neurotic Disorders","111475002, 192442004, 268632008"
"SCTSPA","Psychotic Disorders","69322001"
"SCTSPA","Mild major depression, single episode","191601008, 79298009"
"SCTSPA","Moderate major depression, single episode","15639000, 191602001"
"SCTSPA","Severe major depression, single episode, without psychotic features","76441001"
"SCTSPA","Severe major depression, single episode, with psychotic features","430852001"
"SCTSPA","Major depressive disorder, single episode in full remission","191606003"
"SCTSPA","Recurrent major depressive episodes","191609005, 191617002, 268621008, 66344007"
"SCTSPA","Mild recurrent major depression","40379007"
"SCTSPA","Moderate recurrent major depression","18818009, 192376009"
"SCTSPA","Severe recurrent major depression without psychotic features","268708008, 36474008"
"SCTSPA","Recurrent depressive disorder, current episode severe with psychotic symptoms","268709000, 28475009"
"SCTSPA","Atypical depressive disorder","191659001"
"SCTSPA","Prolonged depressive adjustment reaction","192049004"
"SCTSPA","Adjustment disorder with mixed anxiety and depressed mood","782501005"
"SCTSPA","Major depression single episode, in partial remission","70747007"
"SCTSPA","Recurrent major depression in partial remission","33135002"
"SCTSPA","Depression, Neurotic","78667006"
"SCTSPA","Post-schizophrenic depression","231485007"
"SCTSPA","Major depressive affective disorder, single episode, in partial or unspecified remission","191605004"
"SCTSPA","Major depressive affective disorder, recurrent episode, in partial or unspecified remission","191614009"
"SCTSPA","Conduct disorder, childhood-onset type","17961008"
"SCTSPA","Depressed mood","102895009, 366979004, 41006004, 66446005"
"SCTSPA","Other depressive episodes","268705006"
"SCTSPA","Depressive episode, unspecified","268706007"
"SCTSPA","Recurrent depressive disorder","268707003, 268710005"
"SCTSPA","Recurrent depressive disorder, current episode mild","192375008"
"SCTSPA","Other conduct disorders","192602004"
"SCTSPA","Feeling suicidal (finding)","225457007, 6471006"
"SCTSPA","Physical aggression","248004009"
"SCTSPA","Anger reaction","192085004"
"SCTSPA","Unhappiness","206790006"
"SCTSPA","Physical violence","206794002"
"SCTSPA","Mild depressive episode","192367002"
"SCTSPA","Moderate depressive episode","192368007"
"SCTSPA","Severe depressive episode without psychotic symptoms","268702009"
"SCTSPA","Severe depressive episode with psychotic symptoms","268704005"
"SCTSPA","Mood Disorders","268713007, 46206005"
"SCTSPA","Aggressive outburst","192083006"
"SCTSPA","At risk for suicide","129712007, 225444004, 3161000175102, 41501003"
"SCTSPA","Suicide - cut/stab","287194003"
"SCTSPA","Major Depressive Disorder","35489007, 370143000"
"SCTSPA","Episodic mood disorder","94921000119107"
"SCTSPA","Injury due to suicide attempt","440144004"
"SCTSPA","Reactive depressive psychosis, single episode","288751000119101"
"SCTSPA","Recurrent major depressive episodes, mild","191610000"
"SCTSPA","Chronic depressive personality disorder","442057004"
"SNOMEDCT_US","Adjustment disorder with depressed mood","57194009"
"SNOMEDCT_US","Affective Disorders, Psychotic","154871001, 191580002, 191663008, 268749008, 441704009"
"SNOMEDCT_US","Aggressive behavior","61372001"
"SNOMEDCT_US","Mental disorders","154843007, 154971002, 154972009, 154980002, 192637001, 192639003, 74732009"
"SNOMEDCT_US","Mental Depression","154963001, 192372006, 307537002, 41006004"
"SNOMEDCT_US","Depressive disorder","192372006, 21061000119107, 35489007, 78667006"
"SNOMEDCT_US","Dysthymic Disorder","192384008, 78667006"
"SNOMEDCT_US","Hostility","206793008, 79351003"
"SNOMEDCT_US","Major depression, single episode","191599006, 191600009, 191607007, 192366006, 268620009, 36923009"
"SNOMEDCT_US","Muscular dystrophies and other myopathies","155094005, 193219004, 193260006, 267711006"
"SNOMEDCT_US","Neurotic Disorders","111475002, 154881002, 191748001, 192442004, 268632008"
"SNOMEDCT_US","Psychotic Disorders","192347006, 231483000, 69322001"
"SNOMEDCT_US","Mild major depression, single episode","191601008, 79298009"
"SNOMEDCT_US","Moderate major depression, single episode","15639000, 191602001"
"SNOMEDCT_US","Severe major depression, single episode, without psychotic features","76441001"
"SNOMEDCT_US","Severe major depression, single episode, with psychotic features","430852001"
"SNOMEDCT_US","Major depressive disorder, single episode in full remission","191606003"
"SNOMEDCT_US","Recurrent major depressive episodes","191608002, 191609005, 191617002, 268621008, 66344007"
"SNOMEDCT_US","Mild recurrent major depression","40379007"
"SNOMEDCT_US","Moderate recurrent major depression","18818009, 192376009"
"SNOMEDCT_US","Severe recurrent major depression without psychotic features","192377000, 268708008, 36474008"
"SNOMEDCT_US","Recurrent depressive disorder, current episode severe with psychotic symptoms","192378005, 268709000, 28475009"
"SNOMEDCT_US","Atypical depressive disorder","191659001, 192371004, 277538003"
"SNOMEDCT_US","Prolonged depressive adjustment reaction","192049004"
"SNOMEDCT_US","Adjustment disorder with mixed anxiety and depressed mood","782501005"
"SNOMEDCT_US","Major depression single episode, in partial remission","70747007"
"SNOMEDCT_US","Recurrent major depression in partial remission","33135002"
"SNOMEDCT_US","Depression, Neurotic","78667006"
"SNOMEDCT_US","Depressive personality disorder","268756002"
"SNOMEDCT_US","Post-schizophrenic depression","192323004, 231485007"
"SNOMEDCT_US","Major depressive affective disorder, single episode, in partial or unspecified remission","191605004"
"SNOMEDCT_US","Major depressive affective disorder, recurrent episode, in partial or unspecified remission","191614009"
"SNOMEDCT_US","Conduct disorder, childhood-onset type","17961008, 192603009"
"SNOMEDCT_US","Depressed mood","102895009, 139480000, 162196004, 267171009, 35489007, 366979004, 367204005, 41006004, 66446005"
"SNOMEDCT_US","Other depressive episodes","192371004, 268705006"
"SNOMEDCT_US","Depressive episode, unspecified","192372006, 268706007, 35489007"
"SNOMEDCT_US","Recurrent depressive disorder","192374007, 192381000, 268707003, 268710005"
