"Coding_System","Concept_name","Code"
"ICD10/CM","Status Epilepticus","G419, G41"
"ICD10/CM","Other status epilepticus","G418"
"ICD10/CM","Other epilepsy and recurrent seizures","G408"
"ICD10/CM","Localization-related (focal) (partial) symptomatic epilepsy and epileptic syndromes with complex partial seizures, not intractable, without status epilepticus","G40209"
"ICD10/CM","Localization-related (focal) (partial) symptomatic epilepsy and epileptic syndromes with complex partial seizures, intractable, without status epilepticus","G40219"
"ICD10/CM","Localization-related (focal) (partial) symptomatic epilepsy and epileptic syndromes with complex partial seizures, intractable, with status epilepticus","G40211"
"ICD10/CM","Epilepsy with grand mal seizures on awakening (disorder)","G404"
"ICD10/CM","Localization-related (focal) (partial) symptomatic epilepsy and epileptic syndromes with complex partial seizures without intractability","G4020"
"ICD10/CM","Localization-related (focal) (partial) symptomatic epilepsy and epileptic syndromes with complex partial seizures","G402, G40209"
"ICD10/CM","Epileptic seizures related to external causes","G40509, G405"
"ICD10/CM","Epileptic seizures related to external causes, not intractable, with status epilepticus","G40501"
"ICD10/CM","Epileptic seizures related to external causes, not intractable","G4050"
"ICD10/CM","Epilepsy, unspecified, not intractable, without status epilepticus","G40909"
"ICD10/CM","Epilepsy, unspecified, not intractable, with status epilepticus","G40901"
"ICD10/CM","Epilepsy, unspecified, intractable, without status epilepticus","G40919"
"ICD10/CM","Epilepsy, unspecified, intractable, with status epilepticus","G40911"
"ICD10/CM","Localization-related(focal)(partial)idiopathic epilepsy and epileptic syndromes with seizures of localized onset","G40009, G400"
"ICD10/CM","Petit mal status","G411"
"ICD10/CM","Epileptic seizures related to drugs","G405"
"ICD10/CM","Epileptic seizures related to stress","G405"
"ICD10/CM","Epilepsy, unspecified, not intractable","G4090"
"ICD10/CM","Epilepsia partialis continua [Kozhevnikof]","G401"
"ICD10/CM","Epilepsy, unspecified, without intractability","G4090"
"ICD10/CM","Epilepsy, unspecified, intractable","G4091"
"ICD10/CM","Intractable seizure disorder NOS","G4091"
"ICD10/CM","Idiopathic generalized epilepsy","G40309, G403"
"ICD10/CM","Special epileptic syndromes","G405"
"ICD10/CM","Recurrent seizures NOS","G40909"
"ICD10/CM","Lennox-Gastaut syndrome","G4081"
"ICD10/CM","Salaam Seizures","G4082"
"ICD10/CM","Landau-Kleffner Syndrome","G408, F803"
"ICD10/CM","Other seizures","G4089"
"ICD10/CM","Complex Partial Status Epilepticus","G412"
"ICD10/CM","Other epilepsy","G4080, G40802, G408"
"ICD10/CM","Seizures","R569"
"ICD10/CM","Epilepsy","G409, G40909, G40"
"ICD10/CM","Tonic - clonic seizures","G406, G404"
"ICD10/CM","Convulsive disorder","R569"
"ICD10/CM","Grand Mal Status Epilepticus","G410"
"ICD9CM","Other forms of epilepsy and recurrent seizures","3458"
"ICD9CM","Localization-related (focal) (partial) epilepsy and epileptic syndromes with simple partial seizures","3455"
"ICD9CM","Partial epilepsy, with impairment of consciousness, with intractable epilepsy","34541"
"ICD9CM","Localization-related (focal) (partial) epilepsy and epileptic syndromes with complex partial seizures, without mention of intractable epilepsy","34540"
"ICD9CM","Generalized Nonconvulsive Seizure Disorder","3450"
"ICD9CM","Generalized convulsive epilepsy, with intractable epilepsy","34511"
"ICD9CM","Generalized convulsive epilepsy, without mention of intractable epilepsy","34510"
"ICD9CM","Generalized convulsive epilepsy","3451"
"ICD9CM","Petit mal status","3452"
"ICD9CM","Epilepsia Partialis Continua","3457"
"ICD9CM","Seizures","7803"
"ICD9CM","Epilepsy","3459"
"ICD9CM","Grand Mal Status Epilepticus","3453"
"MTHICD9","Status Epilepticus","3453"
"MTHICD9","Partial epilepsy, with impairment of consciousness, with intractable epilepsy","34541"
"MTHICD9","Localization-related (focal) (partial) epilepsy and epileptic syndromes with complex partial seizures, without mention of intractable epilepsy","34540"
"MTHICD9","Epileptic drop attack","3450"
"MTHICD9","Epileptic automatism","3454"
"MTHICD9","Tonic-Clonic Epilepsy","3451"
"MTHICD9","Psychosensory epilepsy","3454"
"MTHICD9","Epilepsy, Tonic","3451"
"MTHICD9","Epilepsy, Temporal Lobe","3454"
"MTHICD9","Partial epilepsy with impairment of consciousness","3454"
"MTHICD9","Epileptic seizures - clonic","3451"
"MTHICD9","Epilepsy, Akinetic","3450"
"MTHICD9","Petit mal status","2930, 3452"
"MTHICD9","Salaam Seizures","3456"
"MTHICD9","Simple Partial Seizures","3454, 3455"
"MTHICD9","Somatosensory epilepsy","3455"
"MTHICD9","Epilepsy, Reflex","3455"
"MTHICD9","Epilepsia Partialis Continua","3457"
"MTHICD9","Seizures","78039"
"MTHICD9","Epilepsy","3459"
"MTHICD9","Convulsive disorder","78039"
"MTHICD9","Familial essential myoclonus","3332"
