"Coding_System","Concept_name","Code"
"ICD10/CM","Encounter due to Intrauterine contraceptive device fitted","Z301"
"ICD10/CM","Encounter due to presence of intrauterine contraceptive device","Z975"
"ICD9CM","Encounter for insertion or removal of intrauterine contraceptive device","V251"
"ICD9CM","Intrauterine coil insertion","697"
"ICD9CM","Encounter due to presence of intrauterine contraceptive device","V4551"
"ICPC2P","IUCD pain","W12002"
"ICPC2P","IUCD check up","W12001"
"ICPC2P","IUD contraception","W12003"
"ICPC2P","Intrauterine coil insertion","W12004"
"ICPC","Intrauterine contraception","W12"
"RCD","IUD contraception","615G."
"RCD","Intrauterine coil insertion","6151."
"RCD","Intrauterine contraceptive device re-fitted","6153."
"RCD","Intrauterine device check","615F."
"RCD2","IUD contraception","615G., 615.."
"RCD2","Intrauterine coil insertion","6151."
"RCD2","Intrauterine contraceptive device re-fitted","6153."
"RCD2","Intrauterine device check","615F."
"SNOMEDCT_US","Reinsertion of coil","314050009, 315930000, 315939004"
"SNOMEDCT_US","IUD contraception","169476001, 169492006, 312081001"
"SNOMEDCT_US","Intrauterine coil insertion","146713005, 65200003, 74433003"
"SNOMEDCT_US","Encounter due to Intrauterine contraceptive device fitted","169477005, 315927007"
"SNOMEDCT_US","Intrauterine contraceptive device re-fitted","146715003, 169479008"
"SNOMEDCT_US","Intrauterine device check","146722006, 268569001, 274407009"
"SNOMEDCT_US","Encounter due to presence of intrauterine contraceptive device","316093007"
"SNOMEDCT_US","Intrauterine contraception","312079003"
"SCTSPA","Reinsertion of coil","314050009"
"SCTSPA","IUD contraception","169492006, 312081001, 737288007"
"SCTSPA","Intrauterine coil insertion","65200003, 74433003"
"SCTSPA","Encounter due to Intrauterine contraceptive device fitted","169477005, 315927007"
"SCTSPA","Intrauterine contraceptive device re-fitted","169479008"
"SCTSPA","Intrauterine device check","274407009"
"SCTSPA","Encounter due to presence of intrauterine contraceptive device","316093007"
"SCTSPA","Intrauterine contraception","312079003"
