"Coding_System","Concept_name","Code"
"ICD10/CM","Encounter for pregnancy test, result negative","Z3202"
"ICD10/CM","Encounter for pregnancy test, result positive","Z3201"
"ICD10/CM","Encounter for pregnancy test, result unknown","Z3200"
"ICD10/CM","Encounter for pregnancy test","Z320, Z3200"
"ICD10/CM","Pregnancy not (yet) confirmed","Z320"
"ICD10/CM","Encounter due to confirmation of pregnancy","Z321"
"ICD9CM","Pregnancy examination or test, pregnancy unconfirmed","V7240"
"ICD9CM","Pregnancy examination or test","V724"
"ICD9CM","Pregnancy test positive","V7242"
"ICD10/CM","Pregnancy examination and test","Z32"
"ICPC2P","reproductive test result","W60004"
"ICPC2P","Pregnancy Tests","W33002"
"ICPC2P","Urine pregnancy test","W33001, W35004"
"ICPC2P","urine HCG test","W35003"
"ICPC2P","Possible pregnancy (finding)","W01001"
"ICPC2P","Pregnancy test finding","W60001"
"ICPC","Possible pregnancy (finding)","W01"
"RCD","Serum pregnancy test NOS","445Z."
"RCD","Urine pregnancy test requested","4651."
"RCD","Urine pregnancy test equivocal","4653."
"RCD","High sensitivity urine pregnancy test","4655."
"RCD","Serum pregnancy test positive","4453."
"RCD","Serum pregnancy test negative","4451."
"RCD","Urine pregnancy test","465.., 465Z."
"RCD","Serum pregnancy test (B-HCG)","445.."
"RCD","Possible pregnancy (finding)","6219."
"RCD2","Serum pregnancy test NOS","445Z."
"RCD2","Urine pregnancy test requested","4651."
"RCD2","Urine pregnancy test equivocal","4653."
"RCD2","High sensitivity urine pregnancy test","4655."
"RCD2","Serum pregnancy test positive","4453."
"RCD2","Serum pregnancy test negative","4451."
"RCD2","Urine pregnancy test","465Z., 465.."
"RCD2","Serum pregnancy test (B-HCG)","445.."
"RCD2","Possible pregnancy (finding)","6219."
"RCD2","Pregnancy test negative","4652."
"RCD2","Pregnancy test positive","6211."
"SNOMEDCT_US","Serum pregnancy test NOS","143779009, 166438008"
"SNOMEDCT_US","Urine pregnancy test requested","144490008, 167253007"
"SNOMEDCT_US","Urine pregnancy test equivocal","144492000, 167255000"
"SNOMEDCT_US","High sensitivity urine pregnancy test","144494004, 167257008"
"SNOMEDCT_US","Serum pregnancy test positive","143778001, 166437003"
"SNOMEDCT_US","Serum pregnancy test negative","143776002, 166435006"
"SNOMEDCT_US","Pregnancy Tests","74036000"
"SNOMEDCT_US","Urine pregnancy test","144489004, 144495003, 167252002, 167258003"
"SNOMEDCT_US","Serum pregnancy test (B-HCG)","143775003, 166434005"
"SNOMEDCT_US","Pregnancy examination or test, pregnancy unconfirmed","316583008"
"SNOMEDCT_US","Possible pregnancy (finding)","102874004, 146799005"
"SNOMEDCT_US","Pregnancy not (yet) confirmed","308166009, 316589007"
"SNOMEDCT_US","Pregnancy examination and test","308165008, 316588004"
"SNOMEDCT_US","Encounter due to confirmation of pregnancy","315902000"
"SNOMEDCT_US","Pregnancy test negative","250425007"
"SNOMEDCT_US","Pregnancy test finding","250421003"
"SNOMEDCT_US","Pregnancy test positive","250423000"
"SCTSPA","Serum pregnancy test NOS","143779009, 166438008"
"SCTSPA","Urine pregnancy test requested","167253007"
"SCTSPA","Urine pregnancy test equivocal","167255000"
"SCTSPA","High sensitivity urine pregnancy test","167257008"
"SCTSPA","Serum pregnancy test positive","166437003"
"SCTSPA","Serum pregnancy test negative","166435006"
"SCTSPA","Pregnancy Tests","74036000"
"SCTSPA","Urine pregnancy test","144495003, 167252002, 167258003"
"SCTSPA","Serum pregnancy test (B-HCG)","166434005"
"SCTSPA","Pregnancy examination or test, pregnancy unconfirmed","316583008"
"SCTSPA","Possible pregnancy (finding)","102874004"
"SCTSPA","Pregnancy not (yet) confirmed","308166009"
"SCTSPA","Pregnancy examination and test","308165008"
"SCTSPA","Encounter due to confirmation of pregnancy","315902000"
"SCTSPA","Pregnancy test negative","250425007"
"SCTSPA","Pregnancy test finding","250421003"
"SCTSPA","Pregnancy test positive","250423000"
