"Coding_System","Concept_name","Code"
"ICD10/CM","Congenital absence of uterus","Q510"
"ICD10/CM","Female tuberculous pelvic inflammatory disease","A1817, N741"
"ICD10/CM","Female infertility","N979, N97"
"ICD10/CM","Female infertility of tubal origin","N971"
"ICD10/CM","Female infertility of uterine origin","N972"
"ICD10/CM","Female infertility associated with anovulation","N970"
"ICD10/CM","Female infertility of cervical origin","N973"
"ICD10/CM","Female infertility of other origin","N978"
"ICD10/CM","Failure to conceive due to infertility of male partner","N974"
"ICD10/CM","Encounter due to sterilization","Z302"
"ICD10/CM","Encounter due to tubal ligation status","Z9851"
"ICD9CM","Unilateral destruction or occlusion of fallopian tube","6692"
"ICD9CM","Removal of remaining fallopian tube","6652"
"ICD9CM","Other bilateral ligation and division of fallopian tubes","6632"
"ICD9CM","Other bilateral ligation and crushing of fallopian tubes","6631"
"ICD9CM","Bilateral endoscopic destruction or occlusion of fallopian tubes","662"
"ICD9CM","Other bilateral endoscopic destruction or occlusion of fallopian tubes","6629"
"ICD9CM","Other bilateral destruction or occlusion of fallopian tubes","663, 6639"
"ICD9CM","Congenital absence of uterus","75231"
"ICD9CM","Female infertility","6289, 628"
"ICD9CM","Female infertility of tubal origin","6282"
"ICD9CM","Female infertility of uterine origin","6283"
"ICD9CM","Female infertility associated with anovulation","6280"
"ICD9CM","Female infertility of pituitary - hypothalamic origin","6281"
"ICD9CM","Infertility, female, of cervical or vaginal origin","6284"
"ICD9CM","Infertility, female, of other specified origin","6288"
"ICD9CM","Encounter due to sterilization","V252"
"ICD9CM","Removal of both fallopian tubes at same operative episode","6651"
"ICD9CM","Encounter due to tubal ligation status","V2651"
"MTHICD9","Removal of remaining fallopian tube","6652"
"MTHICD9","Congenital absence of uterus","75231, 75239"
"MTHICD9","Female infertility associated with anovulation","6280"
"MTHICD9","Female infertility due to nonimplantation","6283"
"MTHICD9","Female Sterilization","6639"
"MTHICD9","Encounter due to sterilization","V252"
"ICD10/CM","Agenesis and aplasia of uterus","Q510"
"ICD10/CM","Prolapse of vaginal vault after hysterectomy","N993"
"ICD10/CM","Encounter due to acquired absence of uterus with remaining cervical stump","Z90711"
"ICD10/CM","Status post partial hysterectomy with remaining cervical stump","Z90711"
"ICD10/CM","Encounter due to acquired absence of cervix and uterus","Z9071"
"ICD10/CM","Status post total hysterectomy","Z90710"
"ICD9CM","Other and unspecified hysterectomy","689"
"ICD9CM","Other and unspecified radical vaginal hysterectomy","6879"
"ICD9CM","Laparoscopic radical vaginal hysterectomy [LRVH]","6871"
"ICD9CM","Other and unspecified radical abdominal hysterectomy","6869"
"ICD9CM","Laparoscopic radical abdominal hysterectomy","6861"
"ICD9CM","Other and unspecified subtotal abdominal hysterectomy","6839"
"ICD9CM","Laparoscopic supracervical hysterectomy [LSH]","6831"
"ICD9CM","Prolapse of vaginal vault after hysterectomy","6185"
"ICD9CM","Encounter due to acquired absence of uterus with remaining cervical stump","V8802"
"ICD9CM","Encounter due to acquired absence of cervix and uterus","V880"
"ICD9CM","Total abdominal hysterectomy","684"
"ICD9CM","Other and unspecified total abdominal hysterectomy","6849"
"ICD9CM","Laparoscopic total abdominal hysterectomy","6841"
"ICD9CM","Radical abdominal hysterectomy","686"
"ICD9CM","Vaginal hysterectomy","685"
"ICD9CM","Radical vaginal hysterectomy","687"
"ICD9CM","Laparoscopically assisted vaginal hysterectomy (LAVH)","6851"
"ICD9CM","Other and unspecified vaginal hysterectomy","6859"
"ICD9CM","Subtotal abdominal hysterectomy","683"
"MTHICD9","Laparoscopically assisted supracervical hysterectomy [LASH]","6831"
"MTHICD9","Classic infrafascial SEMM hysterectomy [CISH]","6831"
"MTHICD9","Status post partial hysterectomy with remaining cervical stump","V8802"
"MTHICD9","Status post total hysterectomy","V8801"
"MTHICD9","Hysterectomy","689"
"MTHICD9","Wertheim operation","6869"
"MTHICD9","Laparoscopically assisted vaginal hysterectomy (LAVH)","6851"
"ICD10/CM","Female sterility","N97"
"ICPC2P","Female infertility","W15004"
"ICPC2P","Subfertility, Female","W15006"
"ICPC2P","Female sterility","W15005"
"ICPC2P","sterlisation request (female)","W13007"
"ICPC2P","request for tubal ligation","W13006"
"ICPC2P","Female Sterilization","W13002, W13004, W52013"
"ICPC2P","Tubal Ligation","W52002"
"ICPC2P","Hysterectomy","X52018"
"ICPC2P","Total abdominal hysterectomy","X52010"
"ICPC2P","Vaginal hysterectomy","X52011"
"ICPC2P","Subtotal abdominal hysterectomy","X52009"
"RCD","Congenital absence of uterus","PC30., PC32."
"RCD","Female tuberculous pelvic inflammatory disease","K43.."
"RCD","Female infertility","K5B.., K5Bz."
"RCD","Female infertility of tubal origin","K5B2."
"RCD","Female infertility of uterine origin","K5B3."
"RCD","Other female infertility NOS","K5By."
"RCD","Female infertility of cervical origin","K5B4."
"RCD","Female infertility of vaginal origin","K5B5."
"RCD","Female infertility of pituitary - hypothalamic origin","K5B1."
"RCD","Subfertility, Female","K5B.."
"RCD","Female Sterilization","61H.."
"RCD2","Congenital absence of uterus","PC32., PC30."
"RCD2","Female tuberculous pelvic inflammatory disease","K43.."
"RCD2","Female infertility","K5B.., K5Bz."
"RCD2","Female infertility of tubal origin","K5B2."
"RCD2","Female infertility of uterine origin","K5B3."
"RCD2","Female infertility associated with anovulation","K5B0."
"RCD2","Other female infertility NOS","K5By."
