"","YM","N","Freq","rates"
"1","2009-01",1,294,0.00340136054421769
"2","2009-02",1,294,0.00340136054421769
"3","2009-03",0,294,0
"4","2009-04",5,294,0.0170068027210884
"5","2009-05",1,294,0.00340136054421769
"6","2009-06",4,294,0.0136054421768707
"7","2009-07",2,294,0.00680272108843537
"8","2009-08",1,295,0.00338983050847458
"9","2009-09",2,297,0.00673400673400673
"10","2009-10",2,302,0.00662251655629139
"11","2009-11",0,303,0
"12","2009-12",2,303,0.0066006600660066
"13","2010-01",5,303,0.0165016501650165
"14","2010-02",3,303,0.0099009900990099
"15","2010-03",1,303,0.0033003300330033
"16","2010-04",1,302,0.0033112582781457
"17","2010-05",3,302,0.00993377483443709
"18","2010-06",3,295,0.0101694915254237
"19","2010-07",1,297,0.00336700336700337
"20","2010-08",3,299,0.0100334448160535
"21","2010-09",1,299,0.00334448160535117
"22","2010-10",0,304,0
"23","2010-11",2,304,0.00657894736842105
"24","2010-12",3,304,0.00986842105263158
"25","2011-01",2,304,0.00657894736842105
"26","2011-02",2,304,0.00657894736842105
"27","2011-03",2,304,0.00657894736842105
"28","2011-04",1,304,0.00328947368421053
"29","2011-05",3,304,0.00986842105263158
"30","2011-06",0,304,0
"31","2011-07",0,302,0
"32","2011-08",2,304,0.00657894736842105
"33","2011-09",1,304,0.00328947368421053
"34","2011-10",1,303,0.0033003300330033
"35","2011-11",3,304,0.00986842105263158
"36","2011-12",3,304,0.00986842105263158
"37","2012-01",0,304,0
"38","2012-02",4,304,0.0131578947368421
"39","2012-03",4,305,0.0131147540983607
"40","2012-04",2,302,0.00662251655629139
"41","2012-05",1,301,0.00332225913621262
"42","2012-06",6,300,0.02
"43","2012-07",3,300,0.01
"44","2012-08",0,299,0
"45","2012-09",1,298,0.00335570469798658
"46","2012-10",0,298,0
"47","2012-11",2,295,0.00677966101694915
"48","2012-12",1,294,0.00340136054421769
"49","2013-01",3,295,0.0101694915254237
"50","2013-02",1,293,0.00341296928327645
"51","2013-03",3,294,0.0102040816326531
"52","2013-04",2,292,0.00684931506849315
"53","2013-05",4,290,0.0137931034482759
"54","2013-06",4,286,0.013986013986014
"55","2013-07",1,285,0.00350877192982456
"56","2013-08",2,282,0.00709219858156028
"57","2013-09",1,282,0.00354609929078014
"58","2013-10",2,281,0.00711743772241993
"59","2013-11",5,278,0.0179856115107914
"60","2013-12",2,278,0.00719424460431655
"61","2014-01",2,277,0.0072202166064982
"62","2014-02",0,277,0
"63","2014-03",3,277,0.0108303249097473
"64","2014-04",0,279,0
"65","2014-05",3,280,0.0107142857142857
"66","2014-06",6,280,0.0214285714285714
"67","2014-07",1,281,0.00355871886120996
"68","2014-08",3,281,0.0106761565836299
"69","2014-09",4,282,0.0141843971631206
"70","2014-10",1,282,0.00354609929078014
"71","2014-11",3,282,0.0106382978723404
"72","2014-12",3,282,0.0106382978723404
"73","2015-01",4,282,0.0141843971631206
"74","2015-02",2,283,0.00706713780918728
"75","2015-03",2,283,0.00706713780918728
"76","2015-04",1,283,0.00353356890459364
"77","2015-05",0,283,0
"78","2015-06",2,281,0.00711743772241993
"79","2015-07",2,280,0.00714285714285714
"80","2015-08",1,278,0.00359712230215827
"81","2015-09",3,276,0.0108695652173913
"82","2015-10",0,274,0
"83","2015-11",2,273,0.00732600732600733
"84","2015-12",1,272,0.00367647058823529
"85","2016-01",1,272,0.00367647058823529
"86","2016-02",2,271,0.00738007380073801
"87","2016-03",2,269,0.00743494423791822
"88","2016-04",1,268,0.00373134328358209
"89","2016-05",1,266,0.0037593984962406
"90","2016-06",1,262,0.00381679389312977
"91","2016-07",1,262,0.00381679389312977
"92","2016-08",0,262,0
"93","2016-09",1,261,0.00383141762452107
"94","2016-10",1,261,0.00383141762452107
"95","2016-11",0,260,0
"96","2016-12",1,260,0.00384615384615385
"97","2017-01",2,258,0.00775193798449612
"98","2017-02",4,258,0.0155038759689922
"99","2017-03",1,259,0.00386100386100386
"100","2017-04",5,257,0.0194552529182879
"101","2017-05",1,258,0.00387596899224806
"102","2017-06",0,258,0
"103","2017-07",3,258,0.0116279069767442
"104","2017-08",1,258,0.00387596899224806
"105","2017-09",1,256,0.00390625
"106","2017-10",2,255,0.00784313725490196
"107","2017-11",1,252,0.00396825396825397
"108","2017-12",2,252,0.00793650793650794
"109","2018-01",1,252,0.00396825396825397
"110","2018-02",4,252,0.0158730158730159
"111","2018-03",2,252,0.00793650793650794
"112","2018-04",0,251,0
"113","2018-05",2,250,0.008
"114","2018-06",0,249,0
"115","2018-07",0,246,0
"116","2018-08",0,245,0
"117","2018-09",0,245,0
"118","2018-10",0,245,0
"119","2018-11",0,244,0
"120","2018-12",1,243,0.00411522633744856
"121","2019-01",1,241,0.004149377593361
"122","2019-02",1,240,0.00416666666666667
"123","2019-03",0,238,0
"124","2019-04",1,236,0.00423728813559322
"125","2019-05",2,235,0.00851063829787234
"126","2019-06",3,234,0.0128205128205128
"127","2019-07",0,233,0
"128","2019-08",1,232,0.00431034482758621
"129","2019-09",1,231,0.00432900432900433
"130","2019-10",2,230,0.00869565217391304
"131","2019-11",2,230,0.00869565217391304
"132","2019-12",2,229,0.00873362445414847
"133","2020-01",0,227,0
"134","2020-02",0,226,0
"135","2020-03",0,225,0
"136","2020-04",0,225,0
"137","2020-05",0,226,0
"138","2020-06",0,224,0
"139","2020-07",0,223,0
"140","2020-08",0,222,0
"141","2020-09",0,220,0
"142","2020-10",0,219,0
"143","2020-11",0,218,0
"144","2020-12",0,217,0
