"","YM","N","Freq","rates"
"1","2009-01",3,294,0.0102040816326531
"2","2009-02",0,294,0
"3","2009-03",2,294,0.00680272108843537
"4","2009-04",3,294,0.0102040816326531
"5","2009-05",1,294,0.00340136054421769
"6","2009-06",1,294,0.00340136054421769
"7","2009-07",3,294,0.0102040816326531
"8","2009-08",4,295,0.0135593220338983
"9","2009-09",0,297,0
"10","2009-10",3,302,0.00993377483443709
"11","2009-11",2,303,0.0066006600660066
"12","2009-12",2,303,0.0066006600660066
"13","2010-01",2,303,0.0066006600660066
"14","2010-02",0,303,0
"15","2010-03",3,303,0.0099009900990099
"16","2010-04",1,302,0.0033112582781457
"17","2010-05",0,302,0
"18","2010-06",2,295,0.00677966101694915
"19","2010-07",1,297,0.00336700336700337
"20","2010-08",2,299,0.00668896321070234
"21","2010-09",0,299,0
"22","2010-10",3,304,0.00986842105263158
"23","2010-11",1,304,0.00328947368421053
"24","2010-12",2,304,0.00657894736842105
"25","2011-01",2,304,0.00657894736842105
"26","2011-02",1,304,0.00328947368421053
"27","2011-03",3,304,0.00986842105263158
"28","2011-04",0,304,0
"29","2011-05",5,304,0.0164473684210526
"30","2011-06",1,304,0.00328947368421053
"31","2011-07",2,302,0.00662251655629139
"32","2011-08",2,304,0.00657894736842105
"33","2011-09",3,304,0.00986842105263158
"34","2011-10",2,303,0.0066006600660066
"35","2011-11",2,304,0.00657894736842105
"36","2011-12",4,304,0.0131578947368421
"37","2012-01",2,304,0.00657894736842105
"38","2012-02",3,304,0.00986842105263158
"39","2012-03",3,305,0.00983606557377049
"40","2012-04",1,302,0.0033112582781457
"41","2012-05",3,301,0.00996677740863787
"42","2012-06",2,300,0.00666666666666667
"43","2012-07",2,300,0.00666666666666667
"44","2012-08",0,299,0
"45","2012-09",2,298,0.00671140939597315
"46","2012-10",2,298,0.00671140939597315
"47","2012-11",1,295,0.00338983050847458
"48","2012-12",1,294,0.00340136054421769
"49","2013-01",0,295,0
"50","2013-02",3,293,0.0102389078498294
"51","2013-03",0,294,0
"52","2013-04",4,292,0.0136986301369863
"53","2013-05",0,290,0
"54","2013-06",2,286,0.00699300699300699
"55","2013-07",1,285,0.00350877192982456
"56","2013-08",1,282,0.00354609929078014
"57","2013-09",1,282,0.00354609929078014
"58","2013-10",1,281,0.00355871886120996
"59","2013-11",1,278,0.00359712230215827
"60","2013-12",1,278,0.00359712230215827
"61","2014-01",0,277,0
"62","2014-02",0,277,0
"63","2014-03",1,277,0.0036101083032491
"64","2014-04",2,279,0.00716845878136201
"65","2014-05",1,280,0.00357142857142857
"66","2014-06",1,280,0.00357142857142857
"67","2014-07",1,281,0.00355871886120996
"68","2014-08",2,281,0.00711743772241993
"69","2014-09",1,282,0.00354609929078014
"70","2014-10",0,282,0
"71","2014-11",1,282,0.00354609929078014
"72","2014-12",1,282,0.00354609929078014
"73","2015-01",1,282,0.00354609929078014
"74","2015-02",1,283,0.00353356890459364
"75","2015-03",0,283,0
"76","2015-04",0,283,0
"77","2015-05",1,283,0.00353356890459364
"78","2015-06",1,281,0.00355871886120996
"79","2015-07",2,280,0.00714285714285714
"80","2015-08",1,278,0.00359712230215827
"81","2015-09",2,276,0.0072463768115942
"82","2015-10",2,274,0.0072992700729927
"83","2015-11",0,273,0
"84","2015-12",0,272,0
"85","2016-01",2,272,0.00735294117647059
"86","2016-02",1,271,0.003690036900369
"87","2016-03",2,269,0.00743494423791822
"88","2016-04",1,268,0.00373134328358209
"89","2016-05",0,266,0
"90","2016-06",3,262,0.0114503816793893
"91","2016-07",1,262,0.00381679389312977
"92","2016-08",0,262,0
"93","2016-09",3,261,0.0114942528735632
"94","2016-10",0,261,0
"95","2016-11",4,260,0.0153846153846154
"96","2016-12",1,260,0.00384615384615385
"97","2017-01",6,258,0.0232558139534884
"98","2017-02",3,258,0.0116279069767442
"99","2017-03",4,259,0.0154440154440154
"100","2017-04",2,257,0.00778210116731518
"101","2017-05",1,258,0.00387596899224806
"102","2017-06",1,258,0.00387596899224806
"103","2017-07",0,258,0
"104","2017-08",1,258,0.00387596899224806
"105","2017-09",2,256,0.0078125
"106","2017-10",2,255,0.00784313725490196
"107","2017-11",1,252,0.00396825396825397
"108","2017-12",0,252,0
"109","2018-01",3,252,0.0119047619047619
"110","2018-02",0,252,0
"111","2018-03",0,252,0
"112","2018-04",1,251,0.00398406374501992
"113","2018-05",2,250,0.008
"114","2018-06",0,249,0
"115","2018-07",4,246,0.016260162601626
"116","2018-08",1,245,0.00408163265306122
"117","2018-09",1,245,0.00408163265306122
"118","2018-10",3,245,0.0122448979591837
"119","2018-11",1,244,0.00409836065573771
"120","2018-12",2,243,0.00823045267489712
"121","2019-01",2,241,0.00829875518672199
"122","2019-02",1,240,0.00416666666666667
"123","2019-03",2,238,0.00840336134453781
"124","2019-04",2,236,0.00847457627118644
"125","2019-05",0,235,0
"126","2019-06",3,234,0.0128205128205128
"127","2019-07",2,233,0.00858369098712446
"128","2019-08",3,232,0.0129310344827586
"129","2019-09",0,231,0
"130","2019-10",3,230,0.0130434782608696
"131","2019-11",5,230,0.0217391304347826
"132","2019-12",2,229,0.00873362445414847
"133","2020-01",4,227,0.0176211453744493
"134","2020-02",1,226,0.00442477876106195
"135","2020-03",1,225,0.00444444444444444
"136","2020-04",0,225,0
"137","2020-05",0,226,0
"138","2020-06",0,224,0
"139","2020-07",0,223,0
"140","2020-08",0,222,0
"141","2020-09",0,220,0
"142","2020-10",0,219,0
"143","2020-11",0,218,0
"144","2020-12",0,217,0
