"","YM","N","Freq","rates"
"1","2009-01",3,294,0.0102040816326531
"2","2009-02",1,294,0.00340136054421769
"3","2009-03",1,294,0.00340136054421769
"4","2009-04",0,294,0
"5","2009-05",1,294,0.00340136054421769
"6","2009-06",1,294,0.00340136054421769
"7","2009-07",1,294,0.00340136054421769
"8","2009-08",1,295,0.00338983050847458
"9","2009-09",2,297,0.00673400673400673
"10","2009-10",1,302,0.0033112582781457
"11","2009-11",1,303,0.0033003300330033
"12","2009-12",1,303,0.0033003300330033
"13","2010-01",1,303,0.0033003300330033
"14","2010-02",1,303,0.0033003300330033
"15","2010-03",2,303,0.0066006600660066
"16","2010-04",2,302,0.00662251655629139
"17","2010-05",1,302,0.0033112582781457
"18","2010-06",2,295,0.00677966101694915
"19","2010-07",1,297,0.00336700336700337
"20","2010-08",1,299,0.00334448160535117
"21","2010-09",1,299,0.00334448160535117
"22","2010-10",2,304,0.00657894736842105
"23","2010-11",3,304,0.00986842105263158
"24","2010-12",0,304,0
"25","2011-01",1,304,0.00328947368421053
"26","2011-02",2,304,0.00657894736842105
"27","2011-03",1,304,0.00328947368421053
"28","2011-04",2,304,0.00657894736842105
"29","2011-05",1,304,0.00328947368421053
"30","2011-06",2,304,0.00657894736842105
"31","2011-07",1,302,0.0033112582781457
"32","2011-08",0,304,0
"33","2011-09",3,304,0.00986842105263158
"34","2011-10",1,303,0.0033003300330033
"35","2011-11",0,304,0
"36","2011-12",0,304,0
"37","2012-01",1,304,0.00328947368421053
"38","2012-02",1,304,0.00328947368421053
"39","2012-03",3,305,0.00983606557377049
"40","2012-04",1,302,0.0033112582781457
"41","2012-05",1,301,0.00332225913621262
"42","2012-06",1,300,0.00333333333333333
"43","2012-07",2,300,0.00666666666666667
"44","2012-08",0,299,0
"45","2012-09",1,298,0.00335570469798658
"46","2012-10",2,298,0.00671140939597315
"47","2012-11",0,295,0
"48","2012-12",1,294,0.00340136054421769
"49","2013-01",1,295,0.00338983050847458
"50","2013-02",3,293,0.0102389078498294
"51","2013-03",1,294,0.00340136054421769
"52","2013-04",1,292,0.00342465753424658
"53","2013-05",1,290,0.00344827586206897
"54","2013-06",3,286,0.0104895104895105
"55","2013-07",3,285,0.0105263157894737
"56","2013-08",0,282,0
"57","2013-09",4,282,0.0141843971631206
"58","2013-10",2,281,0.00711743772241993
"59","2013-11",0,278,0
"60","2013-12",1,278,0.00359712230215827
"61","2014-01",4,277,0.0144404332129964
"62","2014-02",2,277,0.0072202166064982
"63","2014-03",1,277,0.0036101083032491
"64","2014-04",5,279,0.017921146953405
"65","2014-05",4,280,0.0142857142857143
"66","2014-06",0,280,0
"67","2014-07",1,281,0.00355871886120996
"68","2014-08",3,281,0.0106761565836299
"69","2014-09",3,282,0.0106382978723404
"70","2014-10",4,282,0.0141843971631206
"71","2014-11",1,282,0.00354609929078014
"72","2014-12",2,282,0.00709219858156028
"73","2015-01",3,282,0.0106382978723404
"74","2015-02",2,283,0.00706713780918728
"75","2015-03",2,283,0.00706713780918728
"76","2015-04",1,283,0.00353356890459364
"77","2015-05",2,283,0.00706713780918728
"78","2015-06",1,281,0.00355871886120996
"79","2015-07",2,280,0.00714285714285714
"80","2015-08",4,278,0.0143884892086331
"81","2015-09",6,276,0.0217391304347826
"82","2015-10",0,274,0
"83","2015-11",3,273,0.010989010989011
"84","2015-12",6,272,0.0220588235294118
"85","2016-01",2,272,0.00735294117647059
"86","2016-02",0,271,0
"87","2016-03",7,269,0.0260223048327138
"88","2016-04",4,268,0.0149253731343284
"89","2016-05",4,266,0.0150375939849624
"90","2016-06",2,262,0.00763358778625954
"91","2016-07",4,262,0.0152671755725191
"92","2016-08",0,262,0
"93","2016-09",3,261,0.0114942528735632
"94","2016-10",4,261,0.0153256704980843
"95","2016-11",1,260,0.00384615384615385
"96","2016-12",2,260,0.00769230769230769
"97","2017-01",4,258,0.0155038759689922
"98","2017-02",1,258,0.00387596899224806
"99","2017-03",1,259,0.00386100386100386
"100","2017-04",5,257,0.0194552529182879
"101","2017-05",2,258,0.00775193798449612
"102","2017-06",2,258,0.00775193798449612
"103","2017-07",2,258,0.00775193798449612
"104","2017-08",3,258,0.0116279069767442
"105","2017-09",3,256,0.01171875
"106","2017-10",1,255,0.00392156862745098
"107","2017-11",0,252,0
"108","2017-12",3,252,0.0119047619047619
"109","2018-01",2,252,0.00793650793650794
"110","2018-02",2,252,0.00793650793650794
"111","2018-03",3,252,0.0119047619047619
"112","2018-04",4,251,0.0159362549800797
"113","2018-05",1,250,0.004
"114","2018-06",3,249,0.0120481927710843
"115","2018-07",1,246,0.0040650406504065
"116","2018-08",2,245,0.00816326530612245
"117","2018-09",3,245,0.0122448979591837
"118","2018-10",3,245,0.0122448979591837
"119","2018-11",2,244,0.00819672131147541
"120","2018-12",1,243,0.00411522633744856
"121","2019-01",1,241,0.004149377593361
"122","2019-02",0,240,0
"123","2019-03",3,238,0.0126050420168067
"124","2019-04",3,236,0.0127118644067797
"125","2019-05",2,235,0.00851063829787234
"126","2019-06",3,234,0.0128205128205128
"127","2019-07",0,233,0
"128","2019-08",0,232,0
"129","2019-09",2,231,0.00865800865800866
"130","2019-10",3,230,0.0130434782608696
"131","2019-11",0,230,0
"132","2019-12",1,229,0.00436681222707424
"133","2020-01",3,227,0.013215859030837
"134","2020-02",0,226,0
"135","2020-03",1,225,0.00444444444444444
"136","2020-04",0,225,0
"137","2020-05",0,226,0
"138","2020-06",0,224,0
"139","2020-07",0,223,0
"140","2020-08",0,222,0
"141","2020-09",0,220,0
