"","YM","N","Freq","rates"
"1","2009-01",5,294,0.0170068027210884
"2","2009-02",2,294,0.00680272108843537
"3","2009-03",2,294,0.00680272108843537
"4","2009-04",2,294,0.00680272108843537
"5","2009-05",2,294,0.00680272108843537
"6","2009-06",0,294,0
"7","2009-07",3,294,0.0102040816326531
"8","2009-08",4,295,0.0135593220338983
"9","2009-09",1,297,0.00336700336700337
"10","2009-10",0,302,0
"11","2009-11",2,303,0.0066006600660066
"12","2009-12",3,303,0.0099009900990099
"13","2010-01",2,303,0.0066006600660066
"14","2010-02",3,303,0.0099009900990099
"15","2010-03",3,303,0.0099009900990099
"16","2010-04",3,302,0.00993377483443709
"17","2010-05",3,302,0.00993377483443709
"18","2010-06",2,295,0.00677966101694915
"19","2010-07",2,297,0.00673400673400673
"20","2010-08",4,299,0.0133779264214047
"21","2010-09",2,299,0.00668896321070234
"22","2010-10",3,304,0.00986842105263158
"23","2010-11",1,304,0.00328947368421053
"24","2010-12",2,304,0.00657894736842105
"25","2011-01",3,304,0.00986842105263158
"26","2011-02",3,304,0.00986842105263158
"27","2011-03",0,304,0
"28","2011-04",4,304,0.0131578947368421
"29","2011-05",1,304,0.00328947368421053
"30","2011-06",0,304,0
"31","2011-07",2,302,0.00662251655629139
"32","2011-08",2,304,0.00657894736842105
"33","2011-09",1,304,0.00328947368421053
"34","2011-10",2,303,0.0066006600660066
"35","2011-11",2,304,0.00657894736842105
"36","2011-12",2,304,0.00657894736842105
"37","2012-01",2,304,0.00657894736842105
"38","2012-02",3,304,0.00986842105263158
"39","2012-03",1,305,0.00327868852459016
"40","2012-04",0,302,0
"41","2012-05",2,301,0.00664451827242525
"42","2012-06",1,300,0.00333333333333333
"43","2012-07",0,300,0
"44","2012-08",2,299,0.00668896321070234
"45","2012-09",0,298,0
"46","2012-10",0,298,0
"47","2012-11",2,295,0.00677966101694915
"48","2012-12",1,294,0.00340136054421769
"49","2013-01",0,295,0
"50","2013-02",0,293,0
"51","2013-03",0,294,0
"52","2013-04",1,292,0.00342465753424658
"53","2013-05",0,290,0
"54","2013-06",1,286,0.0034965034965035
"55","2013-07",2,285,0.00701754385964912
"56","2013-08",1,282,0.00354609929078014
"57","2013-09",1,282,0.00354609929078014
"58","2013-10",0,281,0
"59","2013-11",1,278,0.00359712230215827
"60","2013-12",1,278,0.00359712230215827
"61","2014-01",0,277,0
"62","2014-02",0,277,0
"63","2014-03",0,277,0
"64","2014-04",0,279,0
"65","2014-05",1,280,0.00357142857142857
"66","2014-06",1,280,0.00357142857142857
"67","2014-07",2,281,0.00711743772241993
"68","2014-08",0,281,0
"69","2014-09",0,282,0
"70","2014-10",1,282,0.00354609929078014
"71","2014-11",0,282,0
"72","2014-12",1,282,0.00354609929078014
"73","2015-01",1,282,0.00354609929078014
"74","2015-02",1,283,0.00353356890459364
"75","2015-03",1,283,0.00353356890459364
"76","2015-04",0,283,0
"77","2015-05",1,283,0.00353356890459364
"78","2015-06",1,281,0.00355871886120996
"79","2015-07",0,280,0
"80","2015-08",1,278,0.00359712230215827
"81","2015-09",0,276,0
"82","2015-10",0,274,0
"83","2015-11",1,273,0.00366300366300366
"84","2015-12",1,272,0.00367647058823529
"85","2016-01",0,272,0
"86","2016-02",0,271,0
"87","2016-03",4,269,0.0148698884758364
"88","2016-04",0,268,0
"89","2016-05",1,266,0.0037593984962406
"90","2016-06",0,262,0
"91","2016-07",3,262,0.0114503816793893
"92","2016-08",0,262,0
"93","2016-09",0,261,0
"94","2016-10",0,261,0
"95","2016-11",0,260,0
"96","2016-12",0,260,0
"97","2017-01",0,258,0
"98","2017-02",0,258,0
"99","2017-03",0,259,0
"100","2017-04",0,257,0
"101","2017-05",0,258,0
"102","2017-06",0,258,0
"103","2017-07",0,258,0
"104","2017-08",0,258,0
"105","2017-09",0,256,0
"106","2017-10",0,255,0
"107","2017-11",0,252,0
"108","2017-12",0,252,0
"109","2018-01",0,252,0
"110","2018-02",0,252,0
"111","2018-03",0,252,0
"112","2018-04",0,251,0
"113","2018-05",0,250,0
"114","2018-06",0,249,0
"115","2018-07",0,246,0
"116","2018-08",0,245,0
"117","2018-09",0,245,0
"118","2018-10",0,245,0
"119","2018-11",0,244,0
"120","2018-12",0,243,0
"121","2019-01",0,241,0
"122","2019-02",0,240,0
"123","2019-03",0,238,0
"124","2019-04",0,236,0
"125","2019-05",0,235,0
"126","2019-06",0,234,0
"127","2019-07",0,233,0
"128","2019-08",0,232,0
"129","2019-09",0,231,0
"130","2019-10",0,230,0
"131","2019-11",0,230,0
"132","2019-12",0,229,0
"133","2020-01",0,227,0
"134","2020-02",0,226,0
"135","2020-03",0,225,0
"136","2020-04",0,225,0
"137","2020-05",0,226,0
"138","2020-06",0,224,0
"139","2020-07",0,223,0
"140","2020-08",0,222,0
"141","2020-09",0,220,0
"142","2020-10",0,219,0
"143","2020-11",0,218,0
"144","2020-12",0,217,0
