"","studyFUmonths","Freq","YM"
"1","200901",294,"2009-01"
"2","200902",294,"2009-02"
"3","200903",294,"2009-03"
"4","200904",294,"2009-04"
"5","200905",294,"2009-05"
"6","200906",294,"2009-06"
"7","200907",294,"2009-07"
"8","200908",295,"2009-08"
"9","200909",297,"2009-09"
"10","200910",302,"2009-10"
"11","200911",303,"2009-11"
"12","200912",303,"2009-12"
"13","201001",303,"2010-01"
"14","201002",303,"2010-02"
"15","201003",303,"2010-03"
"16","201004",302,"2010-04"
"17","201005",302,"2010-05"
"18","201006",295,"2010-06"
"19","201007",297,"2010-07"
"20","201008",299,"2010-08"
"21","201009",299,"2010-09"
"22","201010",304,"2010-10"
"23","201011",304,"2010-11"
"24","201012",304,"2010-12"
"25","201101",304,"2011-01"
"26","201102",304,"2011-02"
"27","201103",304,"2011-03"
"28","201104",304,"2011-04"
"29","201105",304,"2011-05"
"30","201106",304,"2011-06"
"31","201107",302,"2011-07"
"32","201108",304,"2011-08"
"33","201109",304,"2011-09"
"34","201110",303,"2011-10"
"35","201111",304,"2011-11"
"36","201112",304,"2011-12"
"37","201201",304,"2012-01"
"38","201202",304,"2012-02"
"39","201203",305,"2012-03"
"40","201204",302,"2012-04"
"41","201205",301,"2012-05"
"42","201206",300,"2012-06"
"43","201207",300,"2012-07"
"44","201208",299,"2012-08"
"45","201209",298,"2012-09"
"46","201210",298,"2012-10"
"47","201211",295,"2012-11"
"48","201212",294,"2012-12"
"49","201301",295,"2013-01"
"50","201302",293,"2013-02"
"51","201303",294,"2013-03"
"52","201304",292,"2013-04"
"53","201305",290,"2013-05"
"54","201306",286,"2013-06"
"55","201307",285,"2013-07"
"56","201308",282,"2013-08"
"57","201309",282,"2013-09"
"58","201310",281,"2013-10"
"59","201311",278,"2013-11"
"60","201312",278,"2013-12"
"61","201401",277,"2014-01"
"62","201402",277,"2014-02"
"63","201403",277,"2014-03"
"64","201404",279,"2014-04"
"65","201405",280,"2014-05"
"66","201406",280,"2014-06"
"67","201407",281,"2014-07"
"68","201408",281,"2014-08"
"69","201409",282,"2014-09"
"70","201410",282,"2014-10"
"71","201411",282,"2014-11"
"72","201412",282,"2014-12"
"73","201501",282,"2015-01"
"74","201502",283,"2015-02"
"75","201503",283,"2015-03"
"76","201504",283,"2015-04"
"77","201505",283,"2015-05"
"78","201506",281,"2015-06"
"79","201507",280,"2015-07"
"80","201508",278,"2015-08"
"81","201509",276,"2015-09"
"82","201510",274,"2015-10"
"83","201511",273,"2015-11"
"84","201512",272,"2015-12"
"85","201601",272,"2016-01"
"86","201602",271,"2016-02"
"87","201603",269,"2016-03"
"88","201604",268,"2016-04"
"89","201605",266,"2016-05"
"90","201606",262,"2016-06"
"91","201607",262,"2016-07"
"92","201608",262,"2016-08"
"93","201609",261,"2016-09"
"94","201610",261,"2016-10"
"95","201611",260,"2016-11"
"96","201612",260,"2016-12"
"97","201701",258,"2017-01"
"98","201702",258,"2017-02"
"99","201703",259,"2017-03"
"100","201704",257,"2017-04"
"101","201705",258,"2017-05"
"102","201706",258,"2017-06"
"103","201707",258,"2017-07"
"104","201708",258,"2017-08"
"105","201709",256,"2017-09"
"106","201710",255,"2017-10"
"107","201711",252,"2017-11"
"108","201712",252,"2017-12"
"109","201801",252,"2018-01"
"110","201802",252,"2018-02"
"111","201803",252,"2018-03"
"112","201804",251,"2018-04"
"113","201805",250,"2018-05"
"114","201806",249,"2018-06"
"115","201807",246,"2018-07"
"116","201808",245,"2018-08"
"117","201809",245,"2018-09"
"118","201810",245,"2018-10"
"119","201811",244,"2018-11"
"120","201812",243,"2018-12"
"121","201901",241,"2019-01"
"122","201902",240,"2019-02"
"123","201903",238,"2019-03"
"124","201904",236,"2019-04"
"125","201905",235,"2019-05"
"126","201906",234,"2019-06"
"127","201907",233,"2019-07"
"128","201908",232,"2019-08"
"129","201909",231,"2019-09"
"130","201910",230,"2019-10"
"131","201911",230,"2019-11"
"132","201912",229,"2019-12"
"133","202001",227,"2020-01"
"134","202002",226,"2020-02"
"135","202003",225,"2020-03"
"136","202004",225,"2020-04"
"137","202005",226,"2020-05"
"138","202006",224,"2020-06"
"139","202007",223,"2020-07"
"140","202008",222,"2020-08"
"141","202009",220,"2020-09"
"142","202010",219,"2020-10"
"143","202011",218,"2020-11"
"144","202012",217,"2020-12"
