"","YM","N","Freq","rates"
"1","2009-01",0,294,0
"2","2009-02",0,294,0
"3","2009-03",0,294,0
"4","2009-04",0,294,0
"5","2009-05",0,294,0
"6","2009-06",0,294,0
"7","2009-07",0,294,0
"8","2009-08",0,295,0
"9","2009-09",0,297,0
"10","2009-10",1,302,0.0033112582781457
"11","2009-11",1,303,0.0033003300330033
"12","2009-12",1,303,0.0033003300330033
"13","2010-01",1,303,0.0033003300330033
"14","2010-02",0,303,0
"15","2010-03",0,303,0
"16","2010-04",0,302,0
"17","2010-05",0,302,0
"18","2010-06",0,295,0
"19","2010-07",0,297,0
"20","2010-08",0,299,0
"21","2010-09",0,299,0
"22","2010-10",0,304,0
"23","2010-11",0,304,0
"24","2010-12",0,304,0
"25","2011-01",0,304,0
"26","2011-02",0,304,0
"27","2011-03",0,304,0
"28","2011-04",0,304,0
"29","2011-05",0,304,0
"30","2011-06",0,304,0
"31","2011-07",0,302,0
"32","2011-08",0,304,0
"33","2011-09",0,304,0
"34","2011-10",0,303,0
"35","2011-11",0,304,0
"36","2011-12",0,304,0
"37","2012-01",0,304,0
"38","2012-02",0,304,0
"39","2012-03",0,305,0
"40","2012-04",0,302,0
"41","2012-05",0,301,0
"42","2012-06",0,300,0
"43","2012-07",0,300,0
"44","2012-08",0,299,0
"45","2012-09",0,298,0
"46","2012-10",0,298,0
"47","2012-11",0,295,0
"48","2012-12",0,294,0
"49","2013-01",0,295,0
"50","2013-02",0,293,0
"51","2013-03",0,294,0
"52","2013-04",0,292,0
"53","2013-05",0,290,0
"54","2013-06",0,286,0
"55","2013-07",0,285,0
"56","2013-08",0,282,0
"57","2013-09",0,282,0
"58","2013-10",0,281,0
"59","2013-11",0,278,0
"60","2013-12",0,278,0
"61","2014-01",0,277,0
"62","2014-02",0,277,0
"63","2014-03",0,277,0
"64","2014-04",0,279,0
"65","2014-05",0,280,0
"66","2014-06",0,280,0
"67","2014-07",0,281,0
"68","2014-08",0,281,0
"69","2014-09",0,282,0
"70","2014-10",0,282,0
"71","2014-11",0,282,0
"72","2014-12",0,282,0
"73","2015-01",0,282,0
"74","2015-02",0,283,0
"75","2015-03",0,283,0
"76","2015-04",0,283,0
"77","2015-05",0,283,0
"78","2015-06",0,281,0
"79","2015-07",0,280,0
"80","2015-08",0,278,0
"81","2015-09",0,276,0
"82","2015-10",0,274,0
"83","2015-11",0,273,0
"84","2015-12",0,272,0
"85","2016-01",0,272,0
"86","2016-02",0,271,0
"87","2016-03",0,269,0
"88","2016-04",0,268,0
"89","2016-05",0,266,0
"90","2016-06",0,262,0
"91","2016-07",0,262,0
"92","2016-08",0,262,0
"93","2016-09",0,261,0
"94","2016-10",0,261,0
"95","2016-11",0,260,0
"96","2016-12",0,260,0
"97","2017-01",0,258,0
"98","2017-02",0,258,0
"99","2017-03",0,259,0
"100","2017-04",0,257,0
"101","2017-05",0,258,0
"102","2017-06",0,258,0
"103","2017-07",0,258,0
"104","2017-08",0,258,0
"105","2017-09",0,256,0
"106","2017-10",0,255,0
"107","2017-11",0,252,0
"108","2017-12",0,252,0
"109","2018-01",0,252,0
"110","2018-02",0,252,0
"111","2018-03",0,252,0
"112","2018-04",0,251,0
"113","2018-05",0,250,0
"114","2018-06",0,249,0
"115","2018-07",0,246,0
"116","2018-08",0,245,0
"117","2018-09",0,245,0
"118","2018-10",0,245,0
"119","2018-11",0,244,0
"120","2018-12",0,243,0
"121","2019-01",0,241,0
"122","2019-02",0,240,0
"123","2019-03",0,238,0
"124","2019-04",0,236,0
"125","2019-05",0,235,0
"126","2019-06",0,234,0
"127","2019-07",0,233,0
"128","2019-08",0,232,0
"129","2019-09",0,231,0
"130","2019-10",0,230,0
"131","2019-11",0,230,0
"132","2019-12",0,229,0
"133","2020-01",0,227,0
"134","2020-02",0,226,0
"135","2020-03",0,225,0
"136","2020-04",1,225,0.00444444444444444
"137","2020-05",0,226,0
"138","2020-06",0,224,0
"139","2020-07",0,223,0
"140","2020-08",0,222,0
"141","2020-09",0,220,0
"142","2020-10",0,219,0
"143","2020-11",0,218,0
"144","2020-12",0,217,0
