"","YM","N","Freq","rates"
"1","2009-01",0,294,0
"2","2009-02",0,294,0
"3","2009-03",0,294,0
"4","2009-04",0,294,0
"5","2009-05",1,294,0.00340136054421769
"6","2009-06",0,294,0
"7","2009-07",2,294,0.00680272108843537
"8","2009-08",0,295,0
"9","2009-09",2,297,0.00673400673400673
"10","2009-10",0,302,0
"11","2009-11",2,303,0.0066006600660066
"12","2009-12",3,303,0.0099009900990099
"13","2010-01",4,303,0.0132013201320132
"14","2010-02",0,303,0
"15","2010-03",0,303,0
"16","2010-04",0,302,0
"17","2010-05",3,302,0.00993377483443709
"18","2010-06",3,295,0.0101694915254237
"19","2010-07",3,297,0.0101010101010101
"20","2010-08",3,299,0.0100334448160535
"21","2010-09",2,299,0.00668896321070234
"22","2010-10",2,304,0.00657894736842105
"23","2010-11",0,304,0
"24","2010-12",2,304,0.00657894736842105
"25","2011-01",2,304,0.00657894736842105
"26","2011-02",2,304,0.00657894736842105
"27","2011-03",2,304,0.00657894736842105
"28","2011-04",3,304,0.00986842105263158
"29","2011-05",1,304,0.00328947368421053
"30","2011-06",2,304,0.00657894736842105
"31","2011-07",2,302,0.00662251655629139
"32","2011-08",1,304,0.00328947368421053
"33","2011-09",2,304,0.00657894736842105
"34","2011-10",1,303,0.0033003300330033
"35","2011-11",3,304,0.00986842105263158
"36","2011-12",4,304,0.0131578947368421
"37","2012-01",2,304,0.00657894736842105
"38","2012-02",2,304,0.00657894736842105
"39","2012-03",2,305,0.00655737704918033
"40","2012-04",1,302,0.0033112582781457
"41","2012-05",1,301,0.00332225913621262
"42","2012-06",1,300,0.00333333333333333
"43","2012-07",2,300,0.00666666666666667
"44","2012-08",3,299,0.0100334448160535
"45","2012-09",3,298,0.0100671140939597
"46","2012-10",4,298,0.0134228187919463
"47","2012-11",3,295,0.0101694915254237
"48","2012-12",3,294,0.0102040816326531
"49","2013-01",2,295,0.00677966101694915
"50","2013-02",3,293,0.0102389078498294
"51","2013-03",4,294,0.0136054421768707
"52","2013-04",5,292,0.0171232876712329
"53","2013-05",1,290,0.00344827586206897
"54","2013-06",5,286,0.0174825174825175
"55","2013-07",2,285,0.00701754385964912
"56","2013-08",2,282,0.00709219858156028
"57","2013-09",3,282,0.0106382978723404
"58","2013-10",0,281,0
"59","2013-11",2,278,0.00719424460431655
"60","2013-12",1,278,0.00359712230215827
"61","2014-01",2,277,0.0072202166064982
"62","2014-02",1,277,0.0036101083032491
"63","2014-03",1,277,0.0036101083032491
"64","2014-04",3,279,0.010752688172043
"65","2014-05",0,280,0
"66","2014-06",1,280,0.00357142857142857
"67","2014-07",3,281,0.0106761565836299
"68","2014-08",2,281,0.00711743772241993
"69","2014-09",2,282,0.00709219858156028
"70","2014-10",0,282,0
"71","2014-11",2,282,0.00709219858156028
"72","2014-12",1,282,0.00354609929078014
"73","2015-01",2,282,0.00709219858156028
"74","2015-02",0,283,0
"75","2015-03",3,283,0.0106007067137809
"76","2015-04",0,283,0
"77","2015-05",2,283,0.00706713780918728
"78","2015-06",0,281,0
"79","2015-07",1,280,0.00357142857142857
"80","2015-08",2,278,0.00719424460431655
"81","2015-09",0,276,0
"82","2015-10",2,274,0.0072992700729927
"83","2015-11",1,273,0.00366300366300366
"84","2015-12",0,272,0
"85","2016-01",0,272,0
"86","2016-02",1,271,0.003690036900369
"87","2016-03",0,269,0
"88","2016-04",2,268,0.00746268656716418
"89","2016-05",0,266,0
"90","2016-06",1,262,0.00381679389312977
"91","2016-07",1,262,0.00381679389312977
"92","2016-08",0,262,0
"93","2016-09",0,261,0
"94","2016-10",1,261,0.00383141762452107
"95","2016-11",0,260,0
"96","2016-12",1,260,0.00384615384615385
"97","2017-01",1,258,0.00387596899224806
"98","2017-02",1,258,0.00387596899224806
"99","2017-03",1,259,0.00386100386100386
"100","2017-04",1,257,0.00389105058365759
"101","2017-05",2,258,0.00775193798449612
"102","2017-06",1,258,0.00387596899224806
"103","2017-07",0,258,0
"104","2017-08",2,258,0.00775193798449612
"105","2017-09",0,256,0
"106","2017-10",2,255,0.00784313725490196
"107","2017-11",1,252,0.00396825396825397
"108","2017-12",1,252,0.00396825396825397
"109","2018-01",3,252,0.0119047619047619
"110","2018-02",0,252,0
"111","2018-03",2,252,0.00793650793650794
"112","2018-04",0,251,0
"113","2018-05",1,250,0.004
"114","2018-06",0,249,0
"115","2018-07",3,246,0.0121951219512195
"116","2018-08",2,245,0.00816326530612245
"117","2018-09",0,245,0
"118","2018-10",2,245,0.00816326530612245
"119","2018-11",1,244,0.00409836065573771
"120","2018-12",1,243,0.00411522633744856
"121","2019-01",0,241,0
"122","2019-02",0,240,0
"123","2019-03",1,238,0.00420168067226891
"124","2019-04",0,236,0
"125","2019-05",1,235,0.00425531914893617
"126","2019-06",1,234,0.00427350427350427
"127","2019-07",0,233,0
"128","2019-08",2,232,0.00862068965517241
"129","2019-09",1,231,0.00432900432900433
"130","2019-10",0,230,0
"131","2019-11",0,230,0
"132","2019-12",0,229,0
"133","2020-01",0,227,0
"134","2020-02",0,226,0
"135","2020-03",0,225,0
"136","2020-04",0,225,0
"137","2020-05",0,226,0
"138","2020-06",0,224,0
"139","2020-07",0,223,0
"140","2020-08",0,222,0
"141","2020-09",0,220,0
"142","2020-10",0,219,0
"143","2020-11",0,218,0
"144","2020-12",0,217,0
