"Code","Medication"
"H02AB06","prednisolone "
"H02AB07","prednisone"
"D07AB01 ","clobetasone "
"D07AB02 ","hydrocortisone butyrate "
"D07AB03 ","flumetasone "
"D07AB04 ","fluocortin "
"D07AB05 ","fluperolone "
"D07AB06 ","fluorometholone "
"D07AB07 ","fluprednidene "
"D07AB08 ","desonide "
"D07AB09 ","triamcinolone "
"D07AB10 ","alclometasone "
"D07AB11 ","hydrocortisone buteprate "
"D07AB19 ","dexamethasone "
"D07AB21 ","clocortolone "
"D07AB30 ","combinations of corticosteroids "
"D11AH02","pimecrolimus"
"D11AH01","tacrolimus"
"L04AX01","azathioprin"
"L04AD01","ciclosporin"
"L04AX03","methotrexate"
