"Code","Medication"
"D07AB01 ","clobetasone "
"D07AB02 ","hydrocortisone butyrate "
"D07AB03 ","flumetasone "
"D07AB04 ","fluocortin "
"D07AB05 ","fluperolone "
"D07AB06 ","fluorometholone "
"D07AB07 ","fluprednidene "
"D07AB08 ","desonide "
"D07AB09 ","triamcinolone "
"D07AB10 ","alclometasone "
"D07AB11 ","hydrocortisone buteprate "
"D07AB19 ","dexamethasone "
"D07AB21 ","clocortolone "
"D07AB30 ","combinations of corticosteroids "
"D07AC01 ","betamethasone "
"D07AC02 ","fluclorolone "
"D07AC03 ","desoximetasone "
"D07AC04 ","fluocinolone acetonide "
"D07AC05 ","fluocortolone "
"D07AC06 ","diflucortolone "
"D07AC07 ","fludroxycortide "
"D07AC08 ","fluocinonide "
"D07AC09 ","budesonide "
"D07AC10 ","diflorasone "
"D07AC11 ","amcinonide "
"D07AC12 ","halometasone "
"D07AC13 ","mometasone "
"D07AC14 ","methylprednisolone aceponate "
"D07AC15 ","beclometasone "
"D07AC16 ","hydrocortisone aceponate "
"D07AC17 ","fluticasone "
"D07AC18 ","prednicarbate "
"D07AC19 ","difluprednate "
"D07AC21 ","ulobetasol "
"D07AD01 ","clobetasol "
"D07AD02 ","halcinonide "
"D11AH02","pimecrolimus"
"D11AH01","tacrolimus"
"L04AD01","ciclosporin"
"L04AA32","apremilast"
"D05AC01","dithranol"
"D05AD02","methoxsalen (topical)"
"D05BA02","methoxsalen (systemic)"
"L04AB01","etanercept"
"L04AB02","infliximab"
"L04AB04","adalimumab"
"L04AC05","ustekinumab"
"L04AC10","secukinumab"
"L04AC13","ixekizumab"
"L04AC12","brodalumab"
"L04AC16","guselkumab"
"L04AC17","tildrakizumab"
"L04AB05","certolizumab pegol"
"L04AX07","dimethylfumarate"
"D05BX51","dimethylfumarate"
