"Coding_System","Concept_name","Code"
"ICD10/CM","Recurrent brief depressive episodes","F338"
"ICD10/CM","Other recurrent depressive disorders","F338"
"ICD10/CM","Major depressive disorder, recurrent, in remission, unspecified","F3340, F334"
"ICD10/CM","Recurrent severe episodes of reactive depressive psychosis","F333"
"ICD10/CM","Recurrent severe episodes of psychotic depression","F333"
"ICD10/CM","Recurrent severe episodes of psychogenic depressive psychosis","F333"
"ICD10/CM","Recurrent severe episodes of major depression with psychotic symptoms","F333"
"ICD10/CM","Recurrent severe episodes of major depression with mood-incongruent psychotic symptoms","F333"
"ICD10/CM","Recurrent severe episodes of major depression with mood-congruent psychotic symptoms","F333"
"ICD10/CM","Major depressive disorder, recurrent, with psychotic features","F333"
"ICD10/CM","Recurrent depressive disorder, current episode mild","F330"
"ICD10/CM","Single episode of 'masked' depression NOS","F3289"
"ICD10/CM","Other specified depressive episodes","F3289"
"ICD10/CM","Single episode of psychotic depression","F323"
"ICD10/CM","Single episode of psychogenic depressive psychosis","F323"
"ICD10/CM","Single episode of major depression with psychotic symptoms","F323"
"ICD10/CM","Single episode of major depression with mood-incongruent psychotic symptoms","F323"
"ICD10/CM","Single episode of major depression with mood-congruent psychotic symptoms","F323"
"ICD10/CM","Depressive disorder","F329, F341, F329, F341"
"ICD10/CM","Suicide attempt","T1491, X71-X83"
"ICD10/CM","Depressive episode, unspecified","F329, F329, F32, F32"
"ICD10/CM","Recurrent major depressive episodes","F339, F33"
"ICD10/CM","Single major depressive episode","F329, F32"
"ICD10/CM","Mood Disorders","F30-F399, F30-F39, F39"
"ICD10/CM","Mental Depression","F339, F329"
"ICD10/CM","Persistent mood affective disorder, unspecified","F349, F34"
"ICD10/CM","Dysthymic Disorder","F341"
"ICD10/CM","Mixed anxiety and depressive disorder","F418, F412"
"ICD10/CM","Severe recurrent major depression without psychotic features","F332"
"ICD10/CM","Moderate recurrent major depression","F331"
"ICD10/CM","Mild major depression, single episode","F320"
"ICD10/CM","Moderate major depression, single episode","F321"
"ICD10/CM","Severe recurrent major depression with psychotic features","F333"
"ICD10/CM","Recurrent depressive disorder","F339, F33"
"ICD10/CM","Severe major depression, single episode, without psychotic features","F322"
"ICD10/CM","Severe major depression, single episode, with psychotic features","F323"
"ICD10/CM","Atypical depressive disorder","F328"
"ICD10/CM","Other depressive episodes","F328"
"ICD10/CM","Severe depressive episode with psychotic symptoms","F323"
"ICD10/CM","Depression, Neurotic","F341"
"ICD10/CM","Recurrent major depression in remission","F334"
"ICD10/CM","Depressive personality disorder","F341"
"ICD10/CM","Severe depressive episode without psychotic symptoms","F322"
"ICD10/CM","Moderate depressive episode","F321"
"ICD10/CM","Mild depressive episode","F320"
"ICD10/CM","Premenstrual Dysphoric Disorder","N943"
"ICD10/CM","Post-schizophrenic depression","F204, F328"
"ICD10/CM","Schizoaffective disorder, depressive type","F251"
"ICD10/CM","depression; endogenous, with psychotic symptoms","F333"
"ICD10/CM","Recurrent major depression in partial remission","F3341"
"ICD10/CM","anxiety; depression, persistent","F341"
"ICD10/CM","Major Depressive Disorder","F329, F329"
"ICD10/CM","Depressive conduct disorder","F920"
"ICD10/CM","Low self-esteem","R4581"
"ICD9CM","Feeling suicidal (finding)","V6284"
"ICD9CM","Recurrent major depressive episodes","2963, 29630"
"ICD9CM","Single major depressive episode","2962, 29620"
"ICD9CM","Dysthymic Disorder","3004"
