"Coding_System","Concept_name","Code"
"ICD9CM","Hepatitis","5733"
"ICD9CM","Hepatitis, Chronic","5714, 57140"
"MTHICD9","Icterus","7824"
"ICD10/CM","Hepatitis","K759"
"ICD9CM","Acute and subacute liver necrosis (disorder)","570"
"ICPC2P","Liver Failure","D97007"
"ICPC2P","Hepatitis","D72002, D97008"
"ICPC2P","Icterus","D13001"
"MTHICD9","Hepatic necrosis","570"
"ICD10/CM","Icterus","R17"
"ICPC","Icterus","D13"
"RCD2","Liver Failure","J625., J62y."
"RCD2","Hepatitis","J633."
"RCD2","Icterus","1675."
"RCD2","Acute and subacute liver necrosis (disorder)","J60.., J60z."
"RCD2","Chronic liver disease","J61z."
"RCD2","Hepatitis, Chronic","J614."
"RCD","Hepatitis","J633."
"RCD","Acute and subacute liver necrosis (disorder)","J60.., J60z."
"RCD","Chronic liver disease","idi.., J61z."
"RCD","Hepatitis, Chronic","J614."
"SCTSPA","Other specified inflammatory liver diseases","197554008"
"SCTSPA","Liver Failure","235882007, 235883002, 59927004"
"SCTSPA","Hepatitis","128241005, 197351001, 197353003, 29001004"
"SCTSPA","Icterus","18165001, 206897003, 274245007"
"SCTSPA","Hepatic necrosis","87248009"
"SCTSPA","Acute and subacute liver necrosis (disorder)","197268000, 197278002"
"SCTSPA","Chronic liver disease","155816007, 197323005, 328383001"
"SCTSPA","Hepatitis, Chronic","197288001, 197289009, 76783007"
"SCTSPA","Drug-Induced Liver Disease","427399008"
"SNOMEDCT_US","Other specified inflammatory liver diseases","197554008"
"SNOMEDCT_US","Liver Failure","197334008, 197335009, 235882007, 235883002, 59927004"
"SNOMEDCT_US","Hepatitis","128241005, 197351001, 197353003, 29001004"
"SNOMEDCT_US","Icterus","139122003, 158249005, 158250005, 161866005, 18165001, 206897003, 263780001, 274245007"
"SNOMEDCT_US","Hepatic necrosis","87248009"
"SNOMEDCT_US","Acute and subacute liver necrosis (disorder)","155808003, 197268000, 197278002, 266536009"
"SNOMEDCT_US","Chronic liver disease","155816007, 197323005, 328383001"
"SNOMEDCT_US","Hepatitis, Chronic","155813004, 197288001, 197289009, 266539002, 76783007"
"SNOMEDCT_US","Drug-Induced Liver Disease","427399008"
