"Coding_System","Concept_name","Code"
"ICD9CM","Viral meningitis","0479"
"ICD9CM","Other drug allergy","99527"
"ICD9CM","Other anaphylactic reaction","9950"
"MTHICD9","anaphylaxis","9994"
"MTHICD9","Hypersensitivity","9953"
"MTHICD9","Viral meningitis","0479"
"MTHICD9","Anaphylactoid Reaction","9950"
"MTHICD9","Anaphylaxis NOS or due to adverse effect of correct medicinal substance properly administered","9950"
"MTHICD9","Other anaphylactic reaction","9950"
"MTHICD9","Anaphylactic shock NOS or due to adverse effect of correct medicinal substance properly administered","9950"
"ICD10/CM","Hypersensitivity","T7840, T784"
"ICD10/CM","Viral meningitis","A879, A87"
"ICD10/CM","Anaphylactoid Reaction","T886"
"ICD10/CM","Allergic Reaction","T7840"
"ICD10/CM","Anaphylactic reaction due to adverse effect of correct drug or medicament properly administered","T886"
"ICPC2P","Hypersensitivity","A12007, A12009, A92007, A92008"
"ICPC","Hypersensitivity","A12"
"RCD2","anaphylaxis","SN50."
"RCD2","Anaphylactoid Reaction","SN50."
"RCD","anaphylaxis","SN50."
"SCTSPA","anaphylaxis","39579001, 87467006"
"SCTSPA","Hypersensitivity","106190000, 127072000, 157758001, 212999007, 21957007, 257550005, 269284003, 274211000, 282092005, 418168000, 418634005, 418925002, 421668005, 421961002, 91232002"
"SCTSPA","Viral meningitis","187403007, 266097006, 267575007, 58170007"
"SCTSPA","Anaphylactoid Reaction","35001004"
"SCTSPA","Allergy to retinoid","294207001"
"SCTSPA","Allergic Reaction","419076005"
"SNOMEDCT_US","anaphylaxis","157755003, 39579001, 87467006"
"SNOMEDCT_US","Hypersensitivity","106190000, 127072000, 157754004, 157758001, 212998004, 212999007, 21957007, 257550005, 269284003, 269432007, 274211000, 282092005, 418168000, 418634005, 418925002, 421668005, 421961002, 91232002"
"SNOMEDCT_US","Viral meningitis","154321007, 154984006, 154985007, 186490006, 187403007, 192672003, 266097006, 266190006, 267575007, 267680008, 58170007"
"SNOMEDCT_US","Anaphylactoid Reaction","35001004"
"SNOMEDCT_US","Allergy to retinoid","294207001"
"SNOMEDCT_US","Allergic Reaction","419076005"
