"Coding_System","Concept_name","Code"
"ICD9CM","Rhabdomyolysis","72888"
"ICD9CM","Myoglobinuria","7913"
"ICD10/CM","Rhabdomyolysis","M6282"
"RCD2","Myoglobinuria","R113."
"RCD2","Traumatic rhabdomyolysis","SK09."
"RCD","Myoglobinuria","R113."
"SCTSPA","Rhabdomyolysis","240131006, 89010004"
"SCTSPA","Myoglobinuria","207318008, 48165008"
"SCTSPA","Traumatic rhabdomyolysis","240125008"
"SNOMEDCT_US","Rhabdomyolysis","156729009, 240131006, 268106003, 89010004"
"SNOMEDCT_US","Myoglobinuria","158572006, 207318008, 48165008"
"SNOMEDCT_US","Traumatic rhabdomyolysis","240125008"
