"Coding_System","Concept_name","Code"
"ICD10/CM","Nausea","R110"
"ICD10/CM","Nausea and vomiting","R112, R11"
"ICD9CM","Nausea and vomiting","7870, 78701"
"ICPC2P","Nausea","D09002"
"ICPC2P","Retching","D10002"
"ICPC","Nausea","D09"
"RCD","Nausea","198Z."
"RCD","Nausea and vomiting","R070."
"RCD","Nausea present","1982."
"RCD2","Nausea","198Z., 198.."
"RCD2","Retching","1997."
"RCD2","Nausea and vomiting","1992., R070."
"RCD2","Nausea present","1982."
"SNOMEDCT_US","Nausea","139330007, 139334003, 158421000, 162055004, 162060000, 207111007, 272043005, 300576004, 422587007, 73879007"
"SNOMEDCT_US","Retching","162066006, 207116002, 366960002, 84480002"
"SNOMEDCT_US","Nausea and vomiting","158420004, 158424008, 16932000, 207110008, 207116002"
"SNOMEDCT_US","Nausea present","139332004, 162057007"
"SCTSPA","Nausea","139334003, 162060000, 207111007, 300576004, 422587007, 73879007"
"SCTSPA","Retching","84480002"
"SCTSPA","Nausea and vomiting","16932000, 207110008, 207116002"
"SCTSPA","Nausea present","162057007"
