"Coding_System","Concept_name","Code"
"ICD9CM","Pseudotumor Cerebri","3482"
"ICD9CM","Syncope","7802"
"ICD9CM","Occlusion and stenosis of basilar artery with cerebral infarction","43301"
"ICD9CM","Occlusion and stenosis of carotid artery with cerebral infarction","43311"
"ICD9CM","Occlusion and stenosis of vertebral artery with cerebral infarction","43321"
"ICD9CM","occlusion and stenosis of multiple and bilateral precerebral arteries with cerebral infarction","43331"
"ICD9CM","Occlusion and stenosis of other specified precerebral artery with cerebral infarction","43381"
"ICD9CM","Occlusion and stenosis of unspecified precerebral artery with cerebral infarction","43391"
"ICD9CM","Cerebral thrombosis with cerebral infarction","43401"
"ICD9CM","cerebral embolism with cerebral infarction","43411"
"ICD9CM","Cerebral artery occlusion, unspecified with cerebral infarction","43491"
"ICD9CM","Other convulsions","78039"
"MTHICD9","Pseudotumor Cerebri","3482"
"MTHICD9","Seizures","78039"
"MTHICD9","Syncope","7802"
"MTHICD9","Occlusion and stenosis of unspecified precerebral artery with cerebral infarction","43391"
"ICD10/CM","Cerebral Infarction","I639, I63"
"ICD10/CM","Pseudotumor Cerebri","G932"
"ICD10/CM","Cerebrovascular accident","I639, I64"
"ICD10/CM","Other cerebral infarction","I638, I6389"
"ICD10/CM","Cerebral infarction due to cerebral venous thrombosis, non-pyogenic","I636"
"ICD10/CM","Cerebral infarction due to thrombosis of unspecified precerebral artery","I6300"
"ICD10/CM","Cerebral infarction due to thrombosis of right vertebral artery","I63011"
"ICD10/CM","Cerebral infarction due to thrombosis of left vertebral artery","I63012"
"ICD10/CM","Cerebral infarction due to thrombosis of unspecified vertebral artery","I63019"
"ICD10/CM","Cerebral infarction due to thrombosis of basilar artery","I6302"
"ICD10/CM","Cerebral infarction due to thrombosis of right carotid artery","I63031"
"ICD10/CM","Cerebral infarction due to thrombosis of left carotid artery","I63032"
"ICD10/CM","Cerebral infarction due to thrombosis of unspecified carotid artery","I63039"
"ICD10/CM","Cerebral infarction due to thrombosis of other precerebral artery","I6309"
"ICD10/CM","Cerebral infarction due to embolism of unspecified precerebral artery","I6310"
"ICD10/CM","Cerebral infarction due to embolism of right vertebral artery","I63111"
"ICD10/CM","Cerebral infarction due to embolism of left vertebral artery","I63112"
"ICD10/CM","Cerebral infarction due to embolism of unspecified vertebral artery","I63119"
"ICD10/CM","Cerebral infarction due to embolism of basilar artery","I6312"
