"Coding_System","Concept_name","Code"
"ICD9CM","Hearing Loss, Sudden","3882"
"ICD9CM","Hearing Loss, Central","38914"
"ICD9CM","Sensorineural Hearing Loss (disorder)","3891, 38910"
"ICD9CM","Tinnitus","3883, 38830"
"ICD9CM","Tinnitus, Subjective","38831"
"ICD9CM","Tinnitus, Objective","38832"
"ICD9CM","Other specified hearing loss","3898"
"ICD9CM","hearing impairment","3899, 389"
"ICD9CM","Unilateral sensory hearing loss","38917"
"MTHICD9","Deafness","3899"
"MTHICD9","Sensorineural Hearing Loss (disorder)","3891"
"ICD10/CM","Deafness","H919"
"ICD10/CM","Hearing Loss, Central","H905"
"ICD10/CM","Hearing Loss, High-Frequency","H919"
"ICD10/CM","Sensorineural Hearing Loss (disorder)","H905"
"ICD10/CM","Tinnitus","H931, H9319"
"ICD10/CM","Neural hearing loss","H905"
"ICD10/CM","Low frequency deafness","H919"
"ICD10/CM","Other specified hearing loss","H918, H918X9, H918X"
"ICD10/CM","Ototoxic hearing loss","H9109, H910"
"ICD10/CM","hearing impairment","H919"
"ICD10/CM","Sensory hearing loss","H905"
"ICPC2P","Deafness","H86003"
"ICPC2P","Sensorineural Hearing Loss (disorder)","H86002"
"ICPC2P","Tinnitus","H03003, H03004, H03006"
"ICPC2P","Hearing problem","H02006"
"ICPC2P","hearing impairment","H02004, H28002"
"ICPC2P","Unilateral deafness","H28006"
"ICPC","Deafness","H86"
"ICPC","Tinnitus","H03"
"RCD2","Hearing Loss, Sudden","F582."
"RCD2","Hearing Loss, High-Frequency","F594."
"RCD2","Tinnitus","1C2.., F583., 1C2Z., 1C23."
"RCD2","Low frequency deafness","F595."
"RCD2","O/E - High tone deafness","2BM4."
"RCD2","Other specified hearing loss","F59y."
"RCD","Hearing Loss, Sudden","F582."
"RCD","Tinnitus","1C2.., 1C23., 1C2Z."
"RCD","O/E - High tone deafness","2BM4."
"RCD","Other specified hearing loss","F59y."
"SCTSPA","Deafness","155259007, 267678002"
"SCTSPA","Hearing Loss, Sudden","155247008, 194391007, 79471008"
"SCTSPA","Hearing Loss, Partial","111543003, 343087000"
"SCTSPA","Hearing Loss, Bilateral","95820000"
"SCTSPA","Hearing Loss, Central","68467004"
"SCTSPA","Hearing Loss, High-Frequency","232326009, 48758008"
"SCTSPA","Sensorineural Hearing Loss (disorder)","194427003, 60700002"
"SCTSPA","Tinnitus","139624001, 162349004, 162352007, 162355009, 194393005, 194395003, 300200005, 60862001"
"SCTSPA","Tinnitus, Subjective","62452009"
"SCTSPA","Tinnitus, Objective","28715001"
"SCTSPA","Neural hearing loss","73371001, 80695003"
"SCTSPA","Ototoxicity","9062008"
"SCTSPA","Hearing problem","128540005, 300228004, 362966006, 362989003"
"SCTSPA","Paradoxic hearing loss","42853003"
"SCTSPA","End organ deafness","56943007"
"SCTSPA","Sensorineural hearing loss of combined sites","65680009"
"SCTSPA","Toxic deafness","37635004"
"SCTSPA","Low frequency deafness","42538001"
"SCTSPA","Combined perceptive hearing loss","194426007"
"SCTSPA","Hearing loss associated with syndrome","232333009"
"SCTSPA","Renal Tubular Acidosis, Distal, with Progressive Nerve Deafness","236532003"
"SCTSPA","O/E - High tone deafness","164070002"
"SCTSPA","Acoustic analysis deficit","229668005"
"SCTSPA","Other specified hearing loss","194431009, 194699002"
"SCTSPA","Drug ototoxicity - deafness","267677007, 275482009"
"SCTSPA","Complete Hearing Loss","8531006"
"SCTSPA","hearing impairment","103276001, 111543003, 15188001"
"SCTSPA","Sensory hearing loss","85571008"
"SCTSPA","Unilateral sensory hearing loss","425980006"
"SCTSPA","Asymmetrical hearing loss","427772009"
"SCTSPA","Unilateral deafness","162342008"
"SNOMEDCT_US","Deafness","139613003, 15188001, 155259007, 162341001, 194411005, 194432002, 267678002"
"SNOMEDCT_US","Hearing Loss, Sudden","155247008, 194391007, 79471008"
"SNOMEDCT_US","Hearing Loss, Partial","111543003, 162343003, 343087000"
"SNOMEDCT_US","Hearing Loss, Bilateral","95820000"
"SNOMEDCT_US","Hearing Loss, Central","68467004"
"SNOMEDCT_US","Hearing Loss, High-Frequency","194421002, 232326009, 48758008"
"SNOMEDCT_US","Sensorineural Hearing Loss (disorder)","155256000, 194421002, 194427003, 267770004, 60700002"
"SNOMEDCT_US","Tinnitus","139618007, 139621009, 139624001, 155248003, 162349004, 162352007, 162355009, 194392000, 194393005, 194395003, 300200005, 60862001"
"SNOMEDCT_US","Tinnitus, Subjective","62452009"
"SNOMEDCT_US","Tinnitus, Objective","28715001"
"SNOMEDCT_US","Neural hearing loss","155256000, 267770004, 73371001, 80695003"
"SNOMEDCT_US","Ototoxicity","9062008"
"SNOMEDCT_US","Hearing problem","128540005, 300228004, 362966006, 362989003"
"SNOMEDCT_US","Paradoxic hearing loss","42853003"
"SNOMEDCT_US","End organ deafness","56943007"
"SNOMEDCT_US","Sensorineural hearing loss of combined sites","65680009"
"SNOMEDCT_US","Toxic deafness","37635004"
"SNOMEDCT_US","Low frequency deafness","194421002, 232327000, 42538001"
"SNOMEDCT_US","Combined perceptive hearing loss","194426007"
"SNOMEDCT_US","Hearing loss associated with syndrome","232333009"
"SNOMEDCT_US","Renal Tubular Acidosis, Distal, with Progressive Nerve Deafness","236532003"
"SNOMEDCT_US","O/E - High tone deafness","141268007, 164070002"
"SNOMEDCT_US","Acoustic analysis deficit","229668005"
"SNOMEDCT_US","Other specified hearing loss","194431009, 194699002"
"SNOMEDCT_US","Drug ototoxicity - deafness","194423004, 267677007, 275482009"
"SNOMEDCT_US","Complete Hearing Loss","8531006"
"SNOMEDCT_US","hearing impairment","103276001, 111543003, 15188001, 155242002, 155254002, 194411005, 267764005"
"SNOMEDCT_US","Sensory hearing loss","85571008"
"SNOMEDCT_US","Unilateral sensory hearing loss","425980006"
"SNOMEDCT_US","Asymmetrical hearing loss","427772009"
"SNOMEDCT_US","Unilateral deafness","162342008"
