"Coding_System","Concept_name","Code"
"ICD9CM","Insertion of intraocular lens prosthesis at time of cataract extraction, one-stage","1371"
"ICD9CM","Discission of secondary membrane [after cataract]","1364"
"ICD9CM","Excision of secondary membrane [after cataract]","1365"
"ICD9CM","Other cataract extraction","136, 1369"
"ICD9CM","Mechanical phacofragmentation and aspiration of cataract by posterior route","1342"
"ICD9CM","Mechanical phacofragmentation and other aspiration of cataract","1343"
"ICD9CM","Extracapsular extraction of lens by fragmentation and aspiration technique","134"
"ICD9CM","Other intracapsular extraction of lens","1319"
"ICD9CM","Amblyopia","36800"
"ICD9CM","Binocular vision disorder","36830"
"ICD9CM","Diplopia","3682"
"ICD9CM","Myotonic cataract","36643"
"ICD9CM","Nyctalopia","3686, 36860"
"ICD9CM","Optic Neuritis","3773, 37730"
"ICD9CM","Other cataract","3668"
"ICD9CM","Other color vision deficiencies","36859"
"ICD9CM","Other localized visual field defect","36844"
"ICD9CM","Other specified visual disturbances","3688"
"ICD9CM","Visual discomfort","36813"
"ICD9CM","Cataract","3669, 366"
"ICD9CM","Amblyopia ex anopsia","3680"
"ICD9CM","Stimulus deprivation amblyopia","36802"
"ICD9CM","Refractive amblyopia","36803"
"ICD9CM","Scotoma, Central","36841"
"ICD9CM","Enlarged blind spot","36842"
"ICD9CM","Achromatopsia","36854"
"ICD9CM","Morgagnian cataract","36618"
"ICD9CM","Cataract secondary to ocular disorder","3663"
"ICD9CM","Soemmerring's ring","36651"
"ICD9CM","Cortical, lamellar, or zonular nonsenile cataract","36603"
"ICD9CM","Other and combined forms of nonsenile cataract","36609"
"ICD9CM","Cataract secondary to glaucomatous flecks (subcapsular)","36631"
"ICD9CM","Cataract due to inflammatory disorder","36632"
"ICD9CM","Toxic cataract","36645"
"ICD9CM","Subjective visual disturbance","3681, 36810"
"ICD9CM","Sudden Visual Loss","36811"
"ICD9CM","Blindness, Transient","36812"
"ICD9CM","Visual distortions of shape and size","36814"
"ICD9CM","Other visual distortions and entoptic phenomena","36815"
"ICD9CM","Psychophysical visual disturbance","36816"
"ICD9CM","Other disorders of binocular vision","3683"
"ICD9CM","Simultaneous visual perception without fusion","36832"
"ICD9CM","Fusion with defective stereopsis","36833"
"ICD9CM","Abnormal retinal correspondence","36834"
"ICD9CM","Generalized visual field contraction or constriction","36845"
"ICD9CM","Color Blindness, Red","36851"
"ICD9CM","Color Blindness, Red-Green","36852"
"ICD9CM","Color Blindness, Blue","36853"
"ICD9CM","Color Blindness, Acquired","36855"
"ICD9CM","Unqualified visual loss, both eyes","3693"
"ICD9CM","Unqualified visual loss, one eye","3698"
"ICD9CM","Embryonal nuclear cataract (disorder)","74333"
"ICD9CM","Visual Suppression","36831"
"ICD9CM","Color blindness","3685"
"ICD9CM","Nuclear senile cataract","36616"
"ICD9CM","Cataract with neovascularization","36633"
"ICD9CM","Hemianopsia, Homonymous","36846"
"ICD9CM","Heteronymous hemianopsia","36847"
"ICD9CM","Impairment level: blindness, one eye - low vision other eye","36910"
"ICD9CM","Pseudoexfoliation of lens capsule","36611"
"ICD9CM","Cataract fragments in eye postoperative","99882"
"ICD9CM","Cortical and zonular cataract","74332"
"ICD9CM","Encounter due to cataract extraction status","V4561"
"ICD9CM","Visual disturbance","3689, 368"
"ICD9CM","Encounter due to problems with sight","V410"
"ICD9CM","Amblyopia, Suppression","36801"
"ICD9CM","Anterior subcapsular polar non-senile cataract","36601"
"ICD9CM","Nuclear non-senile cataract","36604"
"ICD9CM","Posterior subcapsular polar non-senile cataract","36602"
