"Coding_System","Concept_name","Code"
"ICD9CM","Other diseases of capillaries","4489"
"ICD9CM","Accidental poisoning by drugs primarily affecting skin, mucous membrane, ophthalmological, otorhinolaryngological and dental drugs","E8587"
"RCD2","Adverse effects in the therapeutic use of topical agents primarily affecting skin and mucous membrane and ophthalmological, otorhinolaryngological and dental drugs","U60G."
"RCD2","Other diseases of capillaries","G77z."
"RCD2","Accidental poisoning by drugs primarily affecting skin, mucous membrane, ophthalmological, otorhinolaryngological and dental drugs","T887."
"RCD","Adverse effects in the therapeutic use of topical agents primarily affecting skin and mucous membrane and ophthalmological, otorhinolaryngological and dental drugs","U60G."
"RCD","Other diseases of capillaries","G77z."
"RCD","Accidental poisoning by drugs primarily affecting skin, mucous membrane, ophthalmological, otorhinolaryngological and dental drugs","T887."
"SCTSPA","Adverse effects in the therapeutic use of topical agents primarily affecting skin and mucous membrane and ophthalmological, otorhinolaryngological and dental drugs","223110002"
"SCTSPA","Other diseases of capillaries","195385001, 195621003"
"SCTSPA","Capillary Leak Syndrome","87730004"
"SCTSPA","Retinoic acid syndrome","450887006"
"SCTSPA","Accidental poisoning by drugs primarily affecting skin, mucous membrane, ophthalmological, otorhinolaryngological and dental drugs","216619005, 216625009"
"SNOMEDCT_US","Adverse effects in the therapeutic use of topical agents primarily affecting skin and mucous membrane and ophthalmological, otorhinolaryngological and dental drugs","223110002"
"SNOMEDCT_US","Other diseases of capillaries","195385001, 195621003"
"SNOMEDCT_US","Capillary Leak Syndrome","87730004"
"SNOMEDCT_US","Retinoic acid syndrome","450887006"
"SNOMEDCT_US","Accidental poisoning by drugs primarily affecting skin, mucous membrane, ophthalmological, otorhinolaryngological and dental drugs","216619005, 216625009"
