"Coding_System","Concept_name","Code"
"ICD10/CM","Hypomania","F300, F308"
"ICD10/CM","Mania without psychotic symptoms","F301"
"ICD10/CM","Mania with psychotic symptoms","F302"
"ICD10/CM","Other manic episodes","F308"
"ICD10/CM","Manic","F309"
"ICD10/CM","Manic episode, unspecified","F309, F309, F30, F30"
"ICD10/CM","Bipolar I disorder, most recent episode hypomanic","F310"
"ICD10/CM","Bipolar disorder, current episode hypomanic","F310"
"ICD10/CM","Bipolar disorder, current episode manic without psychotic features, unspecified","F311, F3110"
"ICD10/CM","Bipolar affective disorder, current episode manic without psychotic symptoms","F311"
"ICD10/CM","Bipolar affective disorder, current episode manic with psychotic symptoms","F312"
"ICD10/CM","Bipolar disorder, current episode manic severe with psychotic features","F312"
"ICD10/CM","Bipolar disorder, current episode depressed, mild or moderate severity, unspecified","F313, F3130"
"ICD10/CM","Bipolar affective disorder, current episode mild or moderate depression","F313"
"ICD10/CM","Bipolar affective disorder, current episode severe depression without psychotic symptoms","F314"
"ICD10/CM","Bipolar disorder, current episode depressed, severe, without psychotic features","F314"
"ICD10/CM","Bipolar affective disorder, current episode severe depression with psychotic symptoms","F315"
"ICD10/CM","Bipolar disorder, current episode depressed, severe, with psychotic features","F315"
"ICD10/CM","Bipolar affective disorder, current episode mixed","F316"
"ICD10/CM","Bipolar disorder, current episode mixed, unspecified","F316"
"ICD10/CM","Bipolar disorder, currently in remission","F317"
"ICD10/CM","Bipolar disorder, in partial remission, most recent episode manic","F3173"
"ICD10/CM","Other bipolar disorder","F318"
"ICD10/CM","Other bipolar affective disorders","F318"
"ICD10/CM","Bipolar II disorder","F3181"
"ICD10/CM","Recurrent manic episodes","F3189"
"ICD10/CM","Bipolar Disorder","F319, F31"
"ICD10/CM","Cyclothymic Disorder","F340"
"ICD9CM","Recurrent manic episodes","2961"
"ICD9CM","Manic Disorder","29640, 29640"
"ICD9CM","Bipolar I disorder, most recent episode (or current) manic, severe, specified as with psychotic behavior","29644"
"ICD9CM","Bipolar I disorder, most recent episode (or current) depressed, severe, specified as with psychotic behavior","29654"
"ICD9CM","Mixed bipolar I disorder","29660"
"ICD9CM","Bipolar I disorder, most recent episode (or current) mixed, severe, without mention of psychotic behavior","29663"
"ICD9CM","Bipolar I disorder, most recent episode (or current) mixed, severe, specified as with psychotic behavior","29664"
"ICD9CM","Bipolar Disorder","29680"
"ICD9CM","Atypical manic disorder","29681"
"ICD9CM","Other bipolar disorder","29689"
"ICD9CM","Cyclothymic Disorder","3011, 30110, 30113"
"MTHICD9","Manic Disorder","29640, 29640"
"MTHICD9","Bipolar I disorder, most recent episode (or current) manic, severe, specified as with psychotic behavior","29644"
"MTHICD9","Bipolar I disorder, most recent episode (or current) depressed, severe, specified as with psychotic behavior","29654"
"MTHICD9","Mixed bipolar I disorder","29660"
"MTHICD9","Bipolar I disorder, most recent episode (or current) mixed, severe, without mention of psychotic behavior","29663"
"MTHICD9","Bipolar I disorder, most recent episode (or current) mixed, severe, specified as with psychotic behavior","29664"
"MTHICD9","Manic-depressive psychosis, circular type, current condition not specified as either manic or depressive","2967"
"MTHICD9","Atypical bipolar affective disorder NOS","2967"
"MTHICD9","Bipolar Disorder","29680"
"MTHICD9","Bipolar II disorder","29689"
"MTHICD9","Affective Disorders, Psychotic","29690"
"MTHICD9","Cyclothymic Disorder","30113"
"ICD10/CM","disorder; bipolar, single manic episode","F30"
"ICD10/CM","mixed affective episode","F30"
"ICD10/CM","Affective Disorders, Psychotic","F39"
"ICPC","Affective Disorders, Psychotic","P73"
"ICPC2P","Bipolar Disorder","P73002, P73004, P73007, P73012"
"ICPC2P","Hypomania","P73008"
"ICPC2P","Manic","P73009"
"ICPC2P","Affective Disorders, Psychotic","P73011"
"RCD","Recurrent manic episodes","E111."
"RCD","Bipolar affective disorder, current episode manic","E114."
"RCD","Depression, Bipolar","E115."
"RCD","Bipolar disorder, mixed","E116."
"RCD","Bipolar Disorder","E117."
"RCD2","Manic","E11.., Eu30."
"RCD2","Recurrent manic episodes","E111."
"RCD2","Bipolar affective disorder, current episode manic","E114."
"RCD2","Depression, Bipolar","E115."
"RCD2","Bipolar disorder, mixed","E116."
"RCD2","Bipolar Disorder","E117., Eu31."
"SCTSPA","Bipolar Disorder","13746004, 191646009, 191647000, 191654006, 192365005"
"SCTSPA","Cyclothymic Disorder","14697007, 76105009, 191752001, 191755004, 386798001"
"SCTSPA","Mixed bipolar I disorder","16506000"
"SCTSPA","Bipolar I disorder, most recent episode hypomanic","31446002"
"SCTSPA","Manic Disorder","68569003, 68569003, 767635003, 767635003"
"SCTSPA","Bipolar II disorder","83225003"
"SCTSPA","Recurrent manic episodes","191590005, 191591009, 191598003"
"SCTSPA","Bipolar affective disorder, current episode manic","191618007"
"SCTSPA","Depression, Bipolar","191627008"
"SCTSPA","Bipolar disorder, mixed","191636007, 191644007"
"SCTSPA","Unspecified bipolar affective disorder, mild","191648005"
"SCTSPA","Unspecified bipolar affective disorder, moderate","191649002"
"SCTSPA","Unspecified bipolar affective disorder, severe, without mention of psychosis","191650002"
"SCTSPA","Unspecified bipolar affective disorder, severe, with psychosis","191651003"
"SCTSPA","Unspecified bipolar affective disorder, in partial or unspecified remission","191652005"
"SCTSPA","Unspecified manic-depressive psychoses","191657004"
"SCTSPA","Atypical manic disorder","191658009"
"SCTSPA","Other mixed manic-depressive psychoses","191660006"
"SCTSPA","Affective Disorders, Psychotic","191663008, 441704009"
"SCTSPA","Mania without psychotic symptoms","192351008"
"SCTSPA","Other manic episodes","192353006"
"SCTSPA","Bipolar affective disorder, current episode manic without psychotic symptoms","192356003, 192356003"
"SCTSPA","Bipolar affective disorder, current episode manic with psychotic symptoms","192357007"
"SCTSPA","Bipolar affective disorder, current episode mild or moderate depression","192358002"
"SCTSPA","Bipolar affective disorder, current episode severe depression without psychotic symptoms","192359005"
"SCTSPA","Bipolar affective disorder, current episode mixed","192362008"
"SCTSPA","Manic","231494001"
"SCTSPA","Hypomania","231496004, 281257007"
"SCTSPA","Mania with psychotic symptoms","268699002"
"SCTSPA","Manic episode, unspecified","268700001, 268700001"
"SCTSPA","Other bipolar affective disorders","268701002"
"SNOMEDCT_US","Bipolar Disorder","13746004, 154871001, 191646009, 191647000, 191654006, 192355004, 192365005, 268749008"
"SNOMEDCT_US","Cyclothymic Disorder","14697007, 76105009, 191751008, 191752001, 191754000, 191755004, 192383002, 268756002, 286737005, 386798001"
"SNOMEDCT_US","Mixed bipolar I disorder","16506000"
"SNOMEDCT_US","Bipolar I disorder, most recent episode hypomanic","31446002"
"SNOMEDCT_US","Manic Disorder","68569003, 68569003"
"SNOMEDCT_US","Bipolar II disorder","83225003, 231497008"
"SNOMEDCT_US","Affective Disorders, Psychotic","154871001, 191580002, 191663008, 268749008, 441704009"
"SNOMEDCT_US","Hypomania","154872008, 192350009, 231496004, 268750008"
"SNOMEDCT_US","Manic","154872008, 231494001, 268750008"
"SNOMEDCT_US","Recurrent manic episodes","191590005, 191591009, 191598003, 192364009"
"SNOMEDCT_US","Bipolar affective disorder, current episode manic","191618007"
"SNOMEDCT_US","Depression, Bipolar","191627008"
"SNOMEDCT_US","Bipolar disorder, mixed","191636007, 191644007"
"SNOMEDCT_US","Unspecified bipolar affective disorder, mild","191648005"
"SNOMEDCT_US","Unspecified bipolar affective disorder, moderate","191649002"
"SNOMEDCT_US","Unspecified bipolar affective disorder, severe, without mention of psychosis","191650002"
"SNOMEDCT_US","Unspecified bipolar affective disorder, severe, with psychosis","191651003"
"SNOMEDCT_US","Unspecified bipolar affective disorder, in partial or unspecified remission","191652005"
"SNOMEDCT_US","Unspecified manic-depressive psychoses","191657004"
"SNOMEDCT_US","Atypical manic disorder","191658009"
"SNOMEDCT_US","Other mixed manic-depressive psychoses","191660006"
"SNOMEDCT_US","disorder; bipolar, single manic episode","192349009"
"SNOMEDCT_US","Manic episode, unspecified","192349009, 192349009, 192354000, 192354000, 268700001, 268700001"
"SNOMEDCT_US","Mania without psychotic symptoms","192351008"
"SNOMEDCT_US","Mania with psychotic symptoms","192352001, 268699002"
"SNOMEDCT_US","Other manic episodes","192353006"
"SNOMEDCT_US","Bipolar affective disorder, current episode manic without psychotic symptoms","192356003, 192356003"
"SNOMEDCT_US","Bipolar affective disorder, current episode manic with psychotic symptoms","192357007"
"SNOMEDCT_US","Bipolar affective disorder, current episode mild or moderate depression","192358002"
"SNOMEDCT_US","Bipolar affective disorder, current episode severe depression without psychotic symptoms","192359005"
"SNOMEDCT_US","Bipolar affective disorder, current episode mixed","192362008"
"SNOMEDCT_US","Other bipolar affective disorders","192364009, 268701002"
