"Coding_System","Concept_name","Code"
"OPCS","abdominal excision of uterus","Q07"
"OPCS","abdominal hysterocolpectomy and excision of periuterine tissue","Q07.1"
"OPCS","abdominal hysterectomy and excision of periuterine tissue nec","Q07.2"
"OPCS","abdominal hysterocolpectomy nec","Q07.3"
"OPCS","total abdominal hysterectomy nec","Q07.4"
"OPCS","subtotal abdominal hysterectomy","Q07.5"
"OPCS","excision of accessory uterus","Q07.6"
"OPCS","other specified abdominal excision of uterus","Q07.8"
"OPCS","unspecified abdominal excision of uterus","Q07.9"
"OPCS","vaginal excision of uterus","Q08"
"OPCS","vaginal hysterocolpectomy and excision of periuterine tissue","Q08.1"
"OPCS","vaginal hysterectomy and excision of periuterine tissue nec","Q08.2"
"OPCS","vaginal hysterocolpectomy nec","Q08.3"
"OPCS","other specified vaginal excision of uterus","Q08.8"
"OPCS","unspecified vaginal excision of uterus","Q08.9"
"OPCS","caesarean hysterectomy","R25.1"
