"Coding_System","Concept_name","Code"
"CVV","Vaginaal verwijderen en inbrengen van intra-uterien corpus alienum","5691"
"CVV","Vaginale verwijdering van intra-uterien corpus alienum","5691"
"CVV","vaginaal inbrengen van medicatie-spiraal","56911"
"CVV","Inbrengen van IUD","4653"
"CVV","vaginaal verwijderen van I.U.D.","56910"
"CVV","vaginaal verwijderen van IUD, nno","569100"
"CVV","vaginaal verwijderen van IUD, m.b.v. hysteroscopie","569101"
"CVV","vaginaal verwijderen van IUD, blind","569102"
"CBV","I.U.D. KOPERHOUDEND         MULTI LOAD - SHORT","687199"
"CBV","I.U.D. KOPERHOUDEND         MULTI LOAD","687200"
"CBV","I.U.D. KOPERHOUDEND         COPPER - T 200","687201"
"CBV","I.U.D. KOPERHOUDEND         COPPER SEVEN   -GRAVIGARD-","687202"
"CBV","I.U.D. KOPERHOUDEND         NOVA-T","687203"
"CBV","I.U.D. KOPERHOUDEND         MINI GRAVIGARD","687204"
"CBV","I.U.D. KOPERHOUDEND         GYNE-T 200","687205"
"CBV","I.U.D. KOPERHOUDEND         GYNE-T 220","687206"
"CBV","I.U.D. NIET-KOPERHOUDEND    LIPPES LOOP  A T-M D","687210"
"CBV","I.U.D. NIET-KOPERHOUDEND    LIPPES LOOP - B","687211"
"CBV","I.U.D. NIET-KOPERHOUDEND    LIPPES LOOP - C","687212"
"CBV","I.U.D. NIET-KOPERHOUDEND    LIPPES LOOP - D","687213"
"CBV","INTRA-UTERINE DEVICE OF SYSTEEM --IUD-IUS--","687214, 190274"
"CBV","ANTICONCEPTIESTAAFJE INCLUSIEF WEGWERPAPPLICATOR","687215"
"CBV","UTERUS      - PLAATSEN SPIRAAL --I.U.D.--","37180"
"CBV","ABORTUSKLINIEK - SPIRAALTJE PLAATSEN","197008"
"CBV","ANTICONCEPTIVA LOKALE IUD'S","727940"
"CBV","UTERUS - INTRA-UTERINE DEVICE INBRENGEN - I.U.D.OF I.U.S.","337292"
"CBV","UTERUS      - INTRA-UTERINE DEVICE VERWISSELEN-ANTICONCEP","337292A"
"CBV","UTERUS -INTRA-UTERINE DEVICE VERWISSELEN- I.U.D.OF I.U.S.","337292A"
"CBV","UTERUS      - STERILITEITSBEH.-INTRA-UTERIENE CORTISONAPP","337293"
"CBV","UTERUS      - INTRA-UTERINE DEVICE CONTROLEREN-ANTICONCEP","337295"
"CBV","UTERUS      - I.U.D. VERWIJDEREN VIA HYSTEROSCOPIE","337296A"
"CBV","UTERUS      - I.U.D. VERWIJDEREN VIA CURETTAGE","337296B"
"CBV","UTERUS      - VERWIJD.INGEGROEID I.U.D. DMV HYSTEROSCOPIE","337296C"
"CBV","UTERUS      - VERWIJDEREN I.U.D. VIA LAPAROTOMIE","337296D"
"CBV","UTERUS      - VERWIJDEREN I.U.D. VIA LAPAROSCOPIE","337296E"
"CBV","HYSTEROSCOPIE THER.-OVABLOC-CONV.POLIEPECTOM.-VERWIJD.IUD","37173"
"CBV","ABORTUSKLINIEK - SPIRAALTJE VERWIJDEREN","197009"
"ZA","UTERUS      - PLAATSEN SPIRAAL --I.U.D.--","37180"
"ZA","UTERUS - PLAATSEN SPIRAAL --I.U.D. OF I.U.S.--","37180"
"ZA","ABORTUSKLINIEK - SPIRAALTJE PLAATSEN","197008"
"ZA","ABORTUSKLINIEK - SPIRAALTJE VERWIJDEREN","197009"
"ZA","INTRA-UTERINE DEVICE OF SYSTEEM --IUD-IUS--","190274"
