"Coding_System","Concept_name","Code"
"OPCS","bilateral excision of adnexa of uterus","Q22"
"OPCS","bilateral salpingoophorectomy","Q22.1"
"OPCS","bilateral salpingectomy nec","Q22.2"
"OPCS","bilateral oophorectomy nec","Q22.3"
"OPCS","other specified bilateral excision of adnexa of uterus","Q22.8"
"OPCS","unspecified bilateral excision of adnexa of uterus","Q22.9"
"OPCS","salpingoophorectomy of remaining solitary fallopian tube and ovary","Q23.2"
"OPCS","salpingectomy of remaining solitary fallopian tube nec","Q23.4"
"OPCS","oophorectomy of remaining solitary ovary nec","Q23.6"
"OPCS","open bilateral occlusion of fallopian tubes","Q27"
"OPCS","open bilateral ligation of fallopian tubes","Q27.1"
"OPCS","open bilateral clipping of fallopian tubes","Q27.2"
"OPCS","other specified open bilateral occlusion of fallopian tubes","Q27.8"
"OPCS","unspecified open bilateral occlusion of fallopian tubes","Q27.9"
"OPCS","other open occlusion of fallopian tube","Q28"
"OPCS","open ligation of remaining solitary fallopian tube","Q28.1"
"OPCS","open ligation of fallopian tube nec","Q28.2"
"OPCS","open clipping of remaining solitary fallopian tube","Q28.3"
"OPCS","open clipping of fallopian tube nec","Q28.4"
"OPCS","other specified other open occlusion of fallopian tube","Q28.8"
"OPCS","unspecified other open occlusion of fallopian tube","Q28.9"
"OPCS","endoscopic bilateral occlusion of fallopian tubes","Q35"
"OPCS","endoscopic bilateral cauterisation of fallopian tubes","Q35.1"
"OPCS","endoscopic bilateral clipping of fallopian tubes","Q35.2"
"OPCS","endoscopic bilateral ringing of fallopian tubes","Q35.3"
"OPCS","endoscopic bilateral placement of intrafallopian implants","Q35.4"
"OPCS","other specified endoscopic bilateral occlusion of fallopian tubes","Q35.8"
"OPCS","unspecified endoscopic bilateral occlusion of fallopian tubes","Q35.9"
"OPCS","other endoscopic occlusion of fallopian tube","Q36"
"OPCS","endoscopic occlusion of remaining solitary fallopian tube","Q36.1"
"OPCS","endoscopic placement of intrafallopian implant into remaining solitary fallopian tube","Q36.2"
"OPCS","other specified other endoscopic occlusion of fallopian tube","Q36.8"
"OPCS","unspecified other endoscopic occlusion of fallopian tube","Q36.9"
"CVV","Subtotale abdominale uterusextirpatie","5682"
"CVV","Abdominale uterusextirpatie, partieel","5682"
"CVV","Abdominale uterusextirpatie, totaal","5683"
"CVV","Vaginale uterusextirpatie, totaal","5684"
"CVV","Abdominale radicale uterusextirpatie en debulking endometriumtumor","5685"
"CVV","Vaginale uterusextirpatie, radicaal","5686"
"CVV","Abdomino-vaginale uterusextirpatie, radicaal","5687"
"CVV","Abdomino-vaginale uterusextirpatie, totaal, m.b.v. laparoscopie","5688"
"CBV","VRW.GESL.ORG- STERILISATIE VROUW VIA LAPAROT.OF COLPOTOM.","37051"
"ZA","VRW.GESL.ORG- STERILISATIE VROUW VIA LAPAROT.OF COLPOTOM.","37051"
"CBV","VRW.GESL.ORG- STERILISATIE VROUW VIA LAPARO-OF CULDOSCOPI","37052, 337058A"
"ZA","VRW.GESL.ORG- STERILISATIE VROUW VIA LAPARO-OF CULDOSCOPI","37052"
"CBV","UTERUS      - VAGINALE UTERUSEXTIRPATIE","37131"
"ZA","UTERUS      - VAGINALE UTERUSEXTIRPATIE","37131"
"CBV","UTERUS      - ABDOM.EXTIRPATIE MET AANSL.URETROSUSPENSIE","37132"
"CBV","UTERUS      - EXT.ABDOMINOVAGIN.RAD.MET BEKKENLYMFADENECT","37140"
"CBV","UTERUS      - STERILISATIE MBV HYST.SCOOP - INBR.OVABLOC","37171"
"ZA","UTERUS      - STERILISATIE MBV HYST.SCOOP - INBR.OVABLOC","37171"
"CBV","UTERUS      - STERILISATIE HYST.SCOOP MICRO INSERT ESSURE","37172"
"ZA","UTERUS      - STERILISATIE HYST.SCOOP MICRO INSERT ESSURE","37172"
"CVV","abdominale subtotale uterusextirpatie","56820"
"CVV","overige gespecificeerde abdominale partiële uterusextirpatie","56828"
"CVV","abdominale partiële uterusextirpatie, niet gespecificeerd","56829"
"CVV","abdominale totale uterusextirpatie zonder plastiek","56830"
"CVV","abdominale totale uterusextirpatie met voorwandplastiek","56831"
"CVV","abdominale totale uterusextirpatie met achterwandplastiek","56832"
"CVV","abdominale totale uterusextirpatie met voor- en achterwandplastiek","56833"
"CVV","overige gespecificeerde abdominale totale uterusextirpatie","56838"
"CVV","abdominale totale uterusextirpatie, niet gespecificeerd","56839"
"CVV","vaginale totale uterusextirpatie zonder plastiek","56840"
"CVV","vaginale totale uterusextirpatie met voorwandplastiek","56841"
"CVV","vaginale totale uterusextirpatie met achterwandplastiek","56842"
"CVV","vaginale totale uterusextirpatie met voor- en achterwandplastiek","56843"
"CVV","overige gespecificeerde vaginale totale uterusextirpatie","56848"
"CVV","vaginale totale uterusextirpatie, niet gespecificeerd","56849"
"CVV","abdominale radicale uterusextirpatie zonder extirpatie van adnex","56850"
"CVV","abdominale radicale uterusextirpatie met enkelzijdige extirpatie van adnex","56851"
"CVV","abdominale radicale uterusextirpatie met dubbelzijdige extirpatie van adnex","56852"
"CVV","debulking endometriumtumor","56853"
"CVV","abdominale radicale uterusextirpatie, niet gespecificeerd","56859"
"CVV","vaginale radicale uterusextirpatie zonder extirpatie adnex","56860"
"CVV","vaginale radicale uterusextirpatie met enkelzijdige extirpatie van adnex","56861"
"CVV","vaginale radicale uterusextirpatie met dubbelzijdige extirpatie van adnex","56862"
"CVV","vaginale radicale uterusextirpatie, niet gespecificeerd","56869"
"CVV","abdominovaginale radicale uterusextirpatie zonder extirpatie van adnex","56870"
"CVV","abdominovaginale radicale uterusextirpatie met enkelzijdige extirpatie van adnex","56871"
"CVV","abdominovaginale radicale uterusextirpatie met dubbelzijdige extirpatie van adnex","56872"
"CVV","abdominovaginale radicale uterusextirpatie, niet gespecificeerd","56879"
"CVV","resectie van vagina met radicale uterusextirpatie","57034"
"CBV","ABORTUSKLINIEK - STERILISATIE VROUW","197011"
"ZA","ABORTUSKLINIEK - STERILISATIE VROUW","197011"
"CBV","STERILISATIE VROUW OP VERZ.PAT. TIJDENS SECT.CAES.","199906, 199906, 338928L"
"ZA","STERILISATIE VROUW OP VERZ.PAT. TIJDENS SECT.CAES.","199906, 199906"
"CBV","STERIL.VROUW-VERZ.PAT.BIJ OPER.- MED.IND.EXCL.SECT.CAES.","199907, 199907"
"ZA","STERIL.VROUW-VERZ.PAT.BIJ OPER.- MED.IND.EXCL.SECT.CAES.","199907, 199907"
"CBV","VRW.GESL.ORG- LAPAROSCOPIE - KRAAMBED STERILISATIE","337052"
"CBV","VRW.GESL.ORG- STERILISATIE VAN DE VROUW VIA LAPAROTOMIE","337058"
"CBV","TUBA UTERINA- SECT.CAESAR.- KRAAMBED STERILISATIE","337059"
"CBV","UTERUS      - STERILITEITSBEH.-INTRA-UTERIENE CORTISONAPP","337293"
"CVV","overige gespecificeerde abdominale partiële uterusextirpatie, nno","568280"
"CVV","overige gespecificeerde abdominale partiële uterusextirpatie, m.b.v. laparoscopie","568281"
"CVV","overige gespecificeerde abdominale partiële uterusextirpatie, m.b.v. laparotomie","568282"
"CBV","FILSHIE CLIPP","687217"
"CBV","FALLOPIAN RING","687218"
"CBV","MICRO-IMPLANTAAT TBV ESSURE-STERILISATIE","687219, 687219"
"CBV","TUBA UTERINA- STERILISATIE VLG UCHIDA-POMEROY-MINILAPARAT","337051C"
"CBV","TUBA UTERINA- STERILISATIE VLG UCHIDA-POMEROY - LAPAROTOM","337057C"
"CBV","TUBA UTERINA- STERIL.MBV SILICONE VIA ENDOSCOPIE- OVABLOC","337058B"
"CBV","VRW.GESL.ORG- STERILISATIE VIA CULDOTOMIE","337058C"
"CBV","VRW.GESL.ORG- RE-STERILISATIE VIA LAPAROTOMIE","337058D"
"CBV","VRW.GESL.ORG- RE-STERILISATIE VIA LAPAROSCOPIE","337058E"
"CBV","TUBA UTERINA- STERIL.MBV MICRO-INSERT VIA HYST.--ESSURE--","337058F"
"CBV","LAPAROSCOPISCH VERWIJDEREN INTRATUBAIRE VEERTJES--ESSURE","337058G"
"CBV","STERILISATIE VROUW OP VERZOEK PAT.BIJ OPER.OP MED.IND.","338928M"
