"","YM","N","Freq","rates"
"1","2009-01",0,452,0
"2","2009-02",0,452,0
"3","2009-03",0,451,0
"4","2009-04",0,451,0
"5","2009-05",0,450,0
"6","2009-06",0,450,0
"7","2009-07",0,450,0
"8","2009-08",0,451,0
"9","2009-09",0,451,0
"10","2009-10",0,457,0
"11","2009-11",0,458,0
"12","2009-12",0,455,0
"13","2010-01",3,453,0.00662251655629139
"14","2010-02",0,453,0
"15","2010-03",0,452,0
"16","2010-04",0,448,0
"17","2010-05",4,448,0.00892857142857143
"18","2010-06",2,446,0.00448430493273543
"19","2010-07",0,449,0
"20","2010-08",0,451,0
"21","2010-09",1,452,0.00221238938053097
"22","2010-10",1,457,0.00218818380743982
"23","2010-11",0,460,0
"24","2010-12",1,460,0.00217391304347826
"25","2011-01",2,461,0.00433839479392625
"26","2011-02",1,461,0.00216919739696312
"27","2011-03",1,461,0.00216919739696312
"28","2011-04",2,464,0.00431034482758621
"29","2011-05",1,469,0.00213219616204691
"30","2011-06",0,471,0
"31","2011-07",2,470,0.00425531914893617
"32","2011-08",1,474,0.00210970464135021
"33","2011-09",2,476,0.00420168067226891
"34","2011-10",1,478,0.00209205020920502
"35","2011-11",1,479,0.00208768267223382
"36","2011-12",2,481,0.00415800415800416
"37","2012-01",0,481,0
"38","2012-02",0,483,0
"39","2012-03",1,483,0.0020703933747412
"40","2012-04",0,479,0
"41","2012-05",0,480,0
"42","2012-06",0,482,0
"43","2012-07",1,484,0.00206611570247934
"44","2012-08",1,485,0.00206185567010309
"45","2012-09",1,484,0.00206611570247934
"46","2012-10",1,485,0.00206185567010309
"47","2012-11",2,483,0.0041407867494824
"48","2012-12",0,482,0
"49","2013-01",0,484,0
"50","2013-02",1,482,0.0020746887966805
"51","2013-03",4,486,0.00823045267489712
"52","2013-04",2,486,0.00411522633744856
"53","2013-05",0,486,0
"54","2013-06",1,481,0.00207900207900208
"55","2013-07",2,480,0.00416666666666667
"56","2013-08",0,478,0
"57","2013-09",2,478,0.00418410041841004
"58","2013-10",0,478,0
"59","2013-11",1,478,0.00209205020920502
"60","2013-12",1,478,0.00209205020920502
"61","2014-01",1,479,0.00208768267223382
"62","2014-02",1,480,0.00208333333333333
"63","2014-03",1,481,0.00207900207900208
"64","2014-04",1,483,0.0020703933747412
"65","2014-05",0,486,0
"66","2014-06",1,487,0.00205338809034908
"67","2014-07",0,488,0
"68","2014-08",2,489,0.00408997955010225
"69","2014-09",2,490,0.00408163265306122
"70","2014-10",0,491,0
"71","2014-11",0,492,0
"72","2014-12",0,492,0
"73","2015-01",2,492,0.0040650406504065
"74","2015-02",0,493,0
"75","2015-03",3,492,0.00609756097560976
"76","2015-04",2,493,0.00405679513184584
"77","2015-05",1,493,0.00202839756592292
"78","2015-06",0,491,0
"79","2015-07",0,490,0
"80","2015-08",1,488,0.00204918032786885
"81","2015-09",0,486,0
"82","2015-10",1,484,0.00206611570247934
"83","2015-11",3,483,0.0062111801242236
"84","2015-12",0,481,0
"85","2016-01",0,481,0
"86","2016-02",0,479,0
"87","2016-03",0,477,0
"88","2016-04",2,476,0.00420168067226891
"89","2016-05",0,475,0
"90","2016-06",1,471,0.00212314225053079
"91","2016-07",2,471,0.00424628450106157
"92","2016-08",0,473,0
"93","2016-09",0,472,0
"94","2016-10",1,470,0.00212765957446809
"95","2016-11",0,469,0
"96","2016-12",1,469,0.00213219616204691
"97","2017-01",1,466,0.00214592274678112
"98","2017-02",0,466,0
"99","2017-03",1,467,0.00214132762312634
"100","2017-04",2,466,0.00429184549356223
"101","2017-05",1,466,0.00214592274678112
"102","2017-06",0,466,0
"103","2017-07",2,467,0.00428265524625268
"104","2017-08",1,466,0.00214592274678112
"105","2017-09",0,462,0
"106","2017-10",2,461,0.00433839479392625
"107","2017-11",0,458,0
"108","2017-12",1,459,0.00217864923747277
"109","2018-01",2,460,0.00434782608695652
"110","2018-02",1,459,0.00217864923747277
"111","2018-03",2,460,0.00434782608695652
"112","2018-04",1,459,0.00217864923747277
"113","2018-05",2,458,0.00436681222707424
"114","2018-06",3,457,0.00656455142231947
"115","2018-07",1,453,0.0022075055187638
"116","2018-08",1,451,0.00221729490022173
"117","2018-09",1,452,0.00221238938053097
"118","2018-10",2,452,0.00442477876106195
"119","2018-11",2,450,0.00444444444444444
"120","2018-12",2,449,0.0044543429844098
"121","2019-01",1,447,0.00223713646532438
"122","2019-02",0,445,0
"123","2019-03",1,444,0.00225225225225225
"124","2019-04",1,443,0.00225733634311512
"125","2019-05",2,441,0.00453514739229025
"126","2019-06",1,440,0.00227272727272727
"127","2019-07",0,439,0
"128","2019-08",4,440,0.00909090909090909
"129","2019-09",1,439,0.00227790432801822
"130","2019-10",1,438,0.00228310502283105
"131","2019-11",1,438,0.00228310502283105
"132","2019-12",2,437,0.0045766590389016
"133","2020-01",1,437,0.0022883295194508
"134","2020-02",0,437,0
"135","2020-03",0,438,0
"136","2020-04",0,438,0
"137","2020-05",0,442,0
"138","2020-06",0,440,0
"139","2020-07",0,440,0
"140","2020-08",0,439,0
"141","2020-09",0,438,0
"142","2020-10",0,440,0
"143","2020-11",0,439,0
"144","2020-12",0,439,0
