"","YM","N","Freq","rates"
"1","2009-01",0,452,0
"2","2009-02",0,452,0
"3","2009-03",0,451,0
"4","2009-04",0,451,0
"5","2009-05",0,450,0
"6","2009-06",0,450,0
"7","2009-07",0,450,0
"8","2009-08",0,451,0
"9","2009-09",0,451,0
"10","2009-10",0,457,0
"11","2009-11",0,458,0
"12","2009-12",0,455,0
"13","2010-01",6,453,0.0132450331125828
"14","2010-02",4,453,0.00883002207505519
"15","2010-03",1,452,0.00221238938053097
"16","2010-04",1,448,0.00223214285714286
"17","2010-05",3,448,0.00669642857142857
"18","2010-06",3,446,0.00672645739910314
"19","2010-07",2,449,0.0044543429844098
"20","2010-08",3,451,0.00665188470066519
"21","2010-09",1,452,0.00221238938053097
"22","2010-10",0,457,0
"23","2010-11",2,460,0.00434782608695652
"24","2010-12",2,460,0.00434782608695652
"25","2011-01",1,461,0.00216919739696312
"26","2011-02",2,461,0.00433839479392625
"27","2011-03",1,461,0.00216919739696312
"28","2011-04",1,464,0.0021551724137931
"29","2011-05",1,469,0.00213219616204691
"30","2011-06",0,471,0
"31","2011-07",1,470,0.00212765957446809
"32","2011-08",3,474,0.00632911392405063
"33","2011-09",1,476,0.00210084033613445
"34","2011-10",1,478,0.00209205020920502
"35","2011-11",4,479,0.00835073068893528
"36","2011-12",2,481,0.00415800415800416
"37","2012-01",1,481,0.00207900207900208
"38","2012-02",4,483,0.0082815734989648
"39","2012-03",3,483,0.0062111801242236
"40","2012-04",3,479,0.00626304801670146
"41","2012-05",1,480,0.00208333333333333
"42","2012-06",3,482,0.00622406639004149
"43","2012-07",3,484,0.00619834710743802
"44","2012-08",0,485,0
"45","2012-09",1,484,0.00206611570247934
"46","2012-10",0,485,0
"47","2012-11",2,483,0.0041407867494824
"48","2012-12",2,482,0.004149377593361
"49","2013-01",2,484,0.00413223140495868
"50","2013-02",2,482,0.004149377593361
"51","2013-03",3,486,0.00617283950617284
"52","2013-04",3,486,0.00617283950617284
"53","2013-05",4,486,0.00823045267489712
"54","2013-06",1,481,0.00207900207900208
"55","2013-07",0,480,0
"56","2013-08",1,478,0.00209205020920502
"57","2013-09",0,478,0
"58","2013-10",1,478,0.00209205020920502
"59","2013-11",5,478,0.0104602510460251
"60","2013-12",1,478,0.00209205020920502
"61","2014-01",2,479,0.00417536534446764
"62","2014-02",0,480,0
"63","2014-03",4,481,0.00831600831600832
"64","2014-04",0,483,0
"65","2014-05",3,486,0.00617283950617284
"66","2014-06",4,487,0.0082135523613963
"67","2014-07",0,488,0
"68","2014-08",4,489,0.0081799591002045
"69","2014-09",3,490,0.00612244897959184
"70","2014-10",1,491,0.00203665987780041
"71","2014-11",2,492,0.0040650406504065
"72","2014-12",3,492,0.00609756097560976
"73","2015-01",4,492,0.00813008130081301
"74","2015-02",2,493,0.00405679513184584
"75","2015-03",2,492,0.0040650406504065
"76","2015-04",2,493,0.00405679513184584
"77","2015-05",0,493,0
"78","2015-06",1,491,0.00203665987780041
"79","2015-07",1,490,0.00204081632653061
"80","2015-08",2,488,0.00409836065573771
"81","2015-09",4,486,0.00823045267489712
"82","2015-10",0,484,0
"83","2015-11",3,483,0.0062111801242236
"84","2015-12",1,481,0.00207900207900208
"85","2016-01",1,481,0.00207900207900208
"86","2016-02",2,479,0.00417536534446764
"87","2016-03",2,477,0.00419287211740042
"88","2016-04",1,476,0.00210084033613445
"89","2016-05",1,475,0.00210526315789474
"90","2016-06",1,471,0.00212314225053079
"91","2016-07",1,471,0.00212314225053079
"92","2016-08",1,473,0.00211416490486258
"93","2016-09",1,472,0.00211864406779661
"94","2016-10",1,470,0.00212765957446809
"95","2016-11",0,469,0
"96","2016-12",1,469,0.00213219616204691
"97","2017-01",2,466,0.00429184549356223
"98","2017-02",3,466,0.00643776824034335
"99","2017-03",1,467,0.00214132762312634
"100","2017-04",6,466,0.0128755364806867
"101","2017-05",0,466,0
"102","2017-06",0,466,0
"103","2017-07",2,467,0.00428265524625268
"104","2017-08",1,466,0.00214592274678112
"105","2017-09",2,462,0.00432900432900433
"106","2017-10",2,461,0.00433839479392625
"107","2017-11",1,458,0.00218340611353712
"108","2017-12",4,459,0.00871459694989107
"109","2018-01",3,460,0.00652173913043478
"110","2018-02",5,459,0.0108932461873638
"111","2018-03",2,460,0.00434782608695652
"112","2018-04",0,459,0
"113","2018-05",1,458,0.00218340611353712
"114","2018-06",1,457,0.00218818380743982
"115","2018-07",0,453,0
"116","2018-08",0,451,0
"117","2018-09",1,452,0.00221238938053097
"118","2018-10",0,452,0
"119","2018-11",0,450,0
"120","2018-12",0,449,0
"121","2019-01",0,447,0
"122","2019-02",2,445,0.00449438202247191
"123","2019-03",0,444,0
"124","2019-04",1,443,0.00225733634311512
"125","2019-05",2,441,0.00453514739229025
"126","2019-06",0,440,0
"127","2019-07",0,439,0
"128","2019-08",1,440,0.00227272727272727
"129","2019-09",1,439,0.00227790432801822
"130","2019-10",1,438,0.00228310502283105
"131","2019-11",2,438,0.0045662100456621
"132","2019-12",2,437,0.0045766590389016
"133","2020-01",0,437,0
"134","2020-02",0,437,0
"135","2020-03",0,438,0
"136","2020-04",0,438,0
"137","2020-05",0,442,0
"138","2020-06",0,440,0
"139","2020-07",0,440,0
"140","2020-08",0,439,0
"141","2020-09",0,438,0
"142","2020-10",0,440,0
"143","2020-11",0,439,0
"144","2020-12",0,439,0
