"","YM","N","Freq","rates"
"1","2009-01",0,452,0
"2","2009-02",0,452,0
"3","2009-03",0,451,0
"4","2009-04",0,451,0
"5","2009-05",0,450,0
"6","2009-06",0,450,0
"7","2009-07",0,450,0
"8","2009-08",0,451,0
"9","2009-09",0,451,0
"10","2009-10",0,457,0
"11","2009-11",0,458,0
"12","2009-12",0,455,0
"13","2010-01",1,453,0.0022075055187638
"14","2010-02",0,453,0
"15","2010-03",2,452,0.00442477876106195
"16","2010-04",1,448,0.00223214285714286
"17","2010-05",0,448,0
"18","2010-06",2,446,0.00448430493273543
"19","2010-07",1,449,0.0022271714922049
"20","2010-08",2,451,0.00443458980044346
"21","2010-09",0,452,0
"22","2010-10",3,457,0.00656455142231947
"23","2010-11",1,460,0.00217391304347826
"24","2010-12",2,460,0.00434782608695652
"25","2011-01",2,461,0.00433839479392625
"26","2011-02",0,461,0
"27","2011-03",2,461,0.00433839479392625
"28","2011-04",0,464,0
"29","2011-05",4,469,0.00852878464818763
"30","2011-06",1,471,0.00212314225053079
"31","2011-07",1,470,0.00212765957446809
"32","2011-08",0,474,0
"33","2011-09",3,476,0.00630252100840336
"34","2011-10",2,478,0.00418410041841004
"35","2011-11",2,479,0.00417536534446764
"36","2011-12",1,481,0.00207900207900208
"37","2012-01",2,481,0.00415800415800416
"38","2012-02",3,483,0.0062111801242236
"39","2012-03",3,483,0.0062111801242236
"40","2012-04",0,479,0
"41","2012-05",3,480,0.00625
"42","2012-06",1,482,0.0020746887966805
"43","2012-07",2,484,0.00413223140495868
"44","2012-08",0,485,0
"45","2012-09",1,484,0.00206611570247934
"46","2012-10",2,485,0.00412371134020619
"47","2012-11",0,483,0
"48","2012-12",0,482,0
"49","2013-01",0,484,0
"50","2013-02",2,482,0.004149377593361
"51","2013-03",0,486,0
"52","2013-04",3,486,0.00617283950617284
"53","2013-05",0,486,0
"54","2013-06",1,481,0.00207900207900208
"55","2013-07",1,480,0.00208333333333333
"56","2013-08",1,478,0.00209205020920502
"57","2013-09",1,478,0.00209205020920502
"58","2013-10",0,478,0
"59","2013-11",1,478,0.00209205020920502
"60","2013-12",1,478,0.00209205020920502
"61","2014-01",0,479,0
"62","2014-02",0,480,0
"63","2014-03",1,481,0.00207900207900208
"64","2014-04",1,483,0.0020703933747412
"65","2014-05",1,486,0.00205761316872428
"66","2014-06",1,487,0.00205338809034908
"67","2014-07",1,488,0.00204918032786885
"68","2014-08",2,489,0.00408997955010225
"69","2014-09",1,490,0.00204081632653061
"70","2014-10",0,491,0
"71","2014-11",1,492,0.00203252032520325
"72","2014-12",1,492,0.00203252032520325
"73","2015-01",1,492,0.00203252032520325
"74","2015-02",1,493,0.00202839756592292
"75","2015-03",0,492,0
"76","2015-04",0,493,0
"77","2015-05",1,493,0.00202839756592292
"78","2015-06",1,491,0.00203665987780041
"79","2015-07",2,490,0.00408163265306122
"80","2015-08",1,488,0.00204918032786885
"81","2015-09",2,486,0.00411522633744856
"82","2015-10",2,484,0.00413223140495868
"83","2015-11",0,483,0
"84","2015-12",0,481,0
"85","2016-01",2,481,0.00415800415800416
"86","2016-02",1,479,0.00208768267223382
"87","2016-03",2,477,0.00419287211740042
"88","2016-04",2,476,0.00420168067226891
"89","2016-05",0,475,0
"90","2016-06",3,471,0.00636942675159236
"91","2016-07",1,471,0.00212314225053079
"92","2016-08",0,473,0
"93","2016-09",2,472,0.00423728813559322
"94","2016-10",0,470,0
"95","2016-11",4,469,0.00852878464818763
"96","2016-12",1,469,0.00213219616204691
"97","2017-01",6,466,0.0128755364806867
"98","2017-02",3,466,0.00643776824034335
"99","2017-03",3,467,0.00642398286937901
"100","2017-04",2,466,0.00429184549356223
"101","2017-05",1,466,0.00214592274678112
"102","2017-06",1,466,0.00214592274678112
"103","2017-07",0,467,0
"104","2017-08",1,466,0.00214592274678112
"105","2017-09",2,462,0.00432900432900433
"106","2017-10",2,461,0.00433839479392625
"107","2017-11",1,458,0.00218340611353712
"108","2017-12",0,459,0
"109","2018-01",3,460,0.00652173913043478
"110","2018-02",0,459,0
"111","2018-03",0,460,0
"112","2018-04",1,459,0.00217864923747277
"113","2018-05",2,458,0.00436681222707424
"114","2018-06",0,457,0
"115","2018-07",4,453,0.00883002207505519
"116","2018-08",1,451,0.00221729490022173
"117","2018-09",1,452,0.00221238938053097
"118","2018-10",3,452,0.00663716814159292
"119","2018-11",0,450,0
"120","2018-12",2,449,0.0044543429844098
"121","2019-01",0,447,0
"122","2019-02",1,445,0.00224719101123596
"123","2019-03",2,444,0.0045045045045045
"124","2019-04",0,443,0
"125","2019-05",0,441,0
"126","2019-06",0,440,0
"127","2019-07",1,439,0.00227790432801822
"128","2019-08",1,440,0.00227272727272727
"129","2019-09",0,439,0
"130","2019-10",1,438,0.00228310502283105
"131","2019-11",2,438,0.0045662100456621
"132","2019-12",2,437,0.0045766590389016
"133","2020-01",1,437,0.0022883295194508
"134","2020-02",1,437,0.0022883295194508
"135","2020-03",0,438,0
"136","2020-04",0,438,0
"137","2020-05",0,442,0
"138","2020-06",0,440,0
"139","2020-07",0,440,0
"140","2020-08",0,439,0
"141","2020-09",0,438,0
"142","2020-10",0,440,0
"143","2020-11",0,439,0
"144","2020-12",0,439,0
