"","YM","N","Freq","rates"
"1","2009-01",0,452,0
"2","2009-02",0,452,0
"3","2009-03",0,451,0
"4","2009-04",0,451,0
"5","2009-05",0,450,0
"6","2009-06",0,450,0
"7","2009-07",0,450,0
"8","2009-08",0,451,0
"9","2009-09",0,451,0
"10","2009-10",0,457,0
"11","2009-11",0,458,0
"12","2009-12",0,455,0
"13","2010-01",1,453,0.0022075055187638
"14","2010-02",1,453,0.0022075055187638
"15","2010-03",2,452,0.00442477876106195
"16","2010-04",2,448,0.00446428571428571
"17","2010-05",1,448,0.00223214285714286
"18","2010-06",1,446,0.00224215246636771
"19","2010-07",2,449,0.0044543429844098
"20","2010-08",1,451,0.00221729490022173
"21","2010-09",1,452,0.00221238938053097
"22","2010-10",2,457,0.00437636761487965
"23","2010-11",3,460,0.00652173913043478
"24","2010-12",0,460,0
"25","2011-01",1,461,0.00216919739696312
"26","2011-02",2,461,0.00433839479392625
"27","2011-03",1,461,0.00216919739696312
"28","2011-04",2,464,0.00431034482758621
"29","2011-05",1,469,0.00213219616204691
"30","2011-06",2,471,0.00424628450106157
"31","2011-07",1,470,0.00212765957446809
"32","2011-08",1,474,0.00210970464135021
"33","2011-09",3,476,0.00630252100840336
"34","2011-10",1,478,0.00209205020920502
"35","2011-11",0,479,0
"36","2011-12",0,481,0
"37","2012-01",1,481,0.00207900207900208
"38","2012-02",1,483,0.0020703933747412
"39","2012-03",3,483,0.0062111801242236
"40","2012-04",1,479,0.00208768267223382
"41","2012-05",1,480,0.00208333333333333
"42","2012-06",1,482,0.0020746887966805
"43","2012-07",2,484,0.00413223140495868
"44","2012-08",0,485,0
"45","2012-09",1,484,0.00206611570247934
"46","2012-10",2,485,0.00412371134020619
"47","2012-11",0,483,0
"48","2012-12",1,482,0.0020746887966805
"49","2013-01",1,484,0.00206611570247934
"50","2013-02",3,482,0.00622406639004149
"51","2013-03",1,486,0.00205761316872428
"52","2013-04",1,486,0.00205761316872428
"53","2013-05",1,486,0.00205761316872428
"54","2013-06",3,481,0.00623700623700624
"55","2013-07",3,480,0.00625
"56","2013-08",0,478,0
"57","2013-09",3,478,0.00627615062761506
"58","2013-10",1,478,0.00209205020920502
"59","2013-11",0,478,0
"60","2013-12",1,478,0.00209205020920502
"61","2014-01",3,479,0.00626304801670146
"62","2014-02",2,480,0.00416666666666667
"63","2014-03",0,481,0
"64","2014-04",4,483,0.0082815734989648
"65","2014-05",2,486,0.00411522633744856
"66","2014-06",0,487,0
"67","2014-07",0,488,0
"68","2014-08",3,489,0.00613496932515337
"69","2014-09",3,490,0.00612244897959184
"70","2014-10",3,491,0.00610997963340122
"71","2014-11",1,492,0.00203252032520325
"72","2014-12",1,492,0.00203252032520325
"73","2015-01",3,492,0.00609756097560976
"74","2015-02",2,493,0.00405679513184584
"75","2015-03",2,492,0.0040650406504065
"76","2015-04",1,493,0.00202839756592292
"77","2015-05",2,493,0.00405679513184584
"78","2015-06",1,491,0.00203665987780041
"79","2015-07",2,490,0.00408163265306122
"80","2015-08",3,488,0.00614754098360656
"81","2015-09",5,486,0.0102880658436214
"82","2015-10",0,484,0
"83","2015-11",2,483,0.0041407867494824
"84","2015-12",6,481,0.0124740124740125
"85","2016-01",2,481,0.00415800415800416
"86","2016-02",0,479,0
"87","2016-03",7,477,0.0146750524109015
"88","2016-04",3,476,0.00630252100840336
"89","2016-05",3,475,0.00631578947368421
"90","2016-06",2,471,0.00424628450106157
"91","2016-07",4,471,0.00849256900212314
"92","2016-08",0,473,0
"93","2016-09",3,472,0.00635593220338983
"94","2016-10",4,470,0.00851063829787234
"95","2016-11",1,469,0.00213219616204691
"96","2016-12",2,469,0.00426439232409382
"97","2017-01",4,466,0.00858369098712446
"98","2017-02",1,466,0.00214592274678112
"99","2017-03",1,467,0.00214132762312634
"100","2017-04",5,466,0.0107296137339056
"101","2017-05",1,466,0.00214592274678112
"102","2017-06",3,466,0.00643776824034335
"103","2017-07",2,467,0.00428265524625268
"104","2017-08",3,466,0.00643776824034335
"105","2017-09",3,462,0.00649350649350649
"106","2017-10",1,461,0.00216919739696312
"107","2017-11",0,458,0
"108","2017-12",3,459,0.0065359477124183
"109","2018-01",1,460,0.00217391304347826
"110","2018-02",2,459,0.00435729847494553
"111","2018-03",3,460,0.00652173913043478
"112","2018-04",4,459,0.00871459694989107
"113","2018-05",1,458,0.00218340611353712
"114","2018-06",3,457,0.00656455142231947
"115","2018-07",1,453,0.0022075055187638
"116","2018-08",2,451,0.00443458980044346
"117","2018-09",3,452,0.00663716814159292
"118","2018-10",3,452,0.00663716814159292
"119","2018-11",3,450,0.00666666666666667
"120","2018-12",2,449,0.0044543429844098
"121","2019-01",1,447,0.00223713646532438
"122","2019-02",1,445,0.00224719101123596
"123","2019-03",1,444,0.00225225225225225
"124","2019-04",3,443,0.00677200902934537
"125","2019-05",2,441,0.00453514739229025
"126","2019-06",1,440,0.00227272727272727
"127","2019-07",0,439,0
"128","2019-08",0,440,0
"129","2019-09",0,439,0
"130","2019-10",2,438,0.0045662100456621
"131","2019-11",0,438,0
"132","2019-12",1,437,0.0022883295194508
"133","2020-01",0,437,0
"134","2020-02",0,437,0
"135","2020-03",1,438,0.00228310502283105
"136","2020-04",0,438,0
"137","2020-05",0,442,0
"138","2020-06",0,440,0
"139","2020-07",0,440,0
"140","2020-08",0,439,0
"141","2020-09",0,438,0
"142","2020-10",0,440,0
"143","2020-11",0,439,0
"144","2020-12",0,439,0
