"","YM","N","Freq","rates"
"1","2009-01",0,452,0
"2","2009-02",0,452,0
"3","2009-03",0,451,0
"4","2009-04",0,451,0
"5","2009-05",0,450,0
"6","2009-06",0,450,0
"7","2009-07",0,450,0
"8","2009-08",0,451,0
"9","2009-09",0,451,0
"10","2009-10",0,457,0
"11","2009-11",0,458,0
"12","2009-12",0,455,0
"13","2010-01",2,453,0.00441501103752759
"14","2010-02",3,453,0.00662251655629139
"15","2010-03",3,452,0.00663716814159292
"16","2010-04",3,448,0.00669642857142857
"17","2010-05",3,448,0.00669642857142857
"18","2010-06",3,446,0.00672645739910314
"19","2010-07",2,449,0.0044543429844098
"20","2010-08",4,451,0.00886917960088692
"21","2010-09",2,452,0.00442477876106195
"22","2010-10",3,457,0.00656455142231947
"23","2010-11",1,460,0.00217391304347826
"24","2010-12",2,460,0.00434782608695652
"25","2011-01",3,461,0.00650759219088937
"26","2011-02",3,461,0.00650759219088937
"27","2011-03",0,461,0
"28","2011-04",4,464,0.00862068965517241
"29","2011-05",1,469,0.00213219616204691
"30","2011-06",0,471,0
"31","2011-07",2,470,0.00425531914893617
"32","2011-08",3,474,0.00632911392405063
"33","2011-09",3,476,0.00630252100840336
"34","2011-10",2,478,0.00418410041841004
"35","2011-11",3,479,0.00626304801670146
"36","2011-12",2,481,0.00415800415800416
"37","2012-01",4,481,0.00831600831600832
"38","2012-02",3,483,0.0062111801242236
"39","2012-03",1,483,0.0020703933747412
"40","2012-04",2,479,0.00417536534446764
"41","2012-05",3,480,0.00625
"42","2012-06",4,482,0.00829875518672199
"43","2012-07",1,484,0.00206611570247934
"44","2012-08",4,485,0.00824742268041237
"45","2012-09",0,484,0
"46","2012-10",1,485,0.00206185567010309
"47","2012-11",3,483,0.0062111801242236
"48","2012-12",1,482,0.0020746887966805
"49","2013-01",1,484,0.00206611570247934
"50","2013-02",0,482,0
"51","2013-03",2,486,0.00411522633744856
"52","2013-04",2,486,0.00411522633744856
"53","2013-05",0,486,0
"54","2013-06",2,481,0.00415800415800416
"55","2013-07",2,480,0.00416666666666667
"56","2013-08",1,478,0.00209205020920502
"57","2013-09",2,478,0.00418410041841004
"58","2013-10",0,478,0
"59","2013-11",3,478,0.00627615062761506
"60","2013-12",1,478,0.00209205020920502
"61","2014-01",0,479,0
"62","2014-02",0,480,0
"63","2014-03",1,481,0.00207900207900208
"64","2014-04",1,483,0.0020703933747412
"65","2014-05",1,486,0.00205761316872428
"66","2014-06",2,487,0.00410677618069815
"67","2014-07",2,488,0.00409836065573771
"68","2014-08",0,489,0
"69","2014-09",0,490,0
"70","2014-10",1,491,0.00203665987780041
"71","2014-11",0,492,0
"72","2014-12",2,492,0.0040650406504065
"73","2015-01",2,492,0.0040650406504065
"74","2015-02",3,493,0.00608519269776876
"75","2015-03",0,492,0
"76","2015-04",0,493,0
"77","2015-05",2,493,0.00405679513184584
"78","2015-06",1,491,0.00203665987780041
"79","2015-07",1,490,0.00204081632653061
"80","2015-08",2,488,0.00409836065573771
"81","2015-09",1,486,0.00205761316872428
"82","2015-10",1,484,0.00206611570247934
"83","2015-11",1,483,0.0020703933747412
"84","2015-12",2,481,0.00415800415800416
"85","2016-01",3,481,0.00623700623700624
"86","2016-02",1,479,0.00208768267223382
"87","2016-03",4,477,0.00838574423480084
"88","2016-04",1,476,0.00210084033613445
"89","2016-05",1,475,0.00210526315789474
"90","2016-06",0,471,0
"91","2016-07",3,471,0.00636942675159236
"92","2016-08",0,473,0
"93","2016-09",0,472,0
"94","2016-10",0,470,0
"95","2016-11",0,469,0
"96","2016-12",0,469,0
"97","2017-01",0,466,0
"98","2017-02",0,466,0
"99","2017-03",0,467,0
"100","2017-04",0,466,0
"101","2017-05",0,466,0
"102","2017-06",0,466,0
"103","2017-07",0,467,0
"104","2017-08",0,466,0
"105","2017-09",0,462,0
"106","2017-10",0,461,0
"107","2017-11",0,458,0
"108","2017-12",0,459,0
"109","2018-01",0,460,0
"110","2018-02",0,459,0
"111","2018-03",0,460,0
"112","2018-04",0,459,0
"113","2018-05",0,458,0
"114","2018-06",0,457,0
"115","2018-07",0,453,0
"116","2018-08",0,451,0
"117","2018-09",0,452,0
"118","2018-10",0,452,0
"119","2018-11",0,450,0
"120","2018-12",0,449,0
"121","2019-01",0,447,0
"122","2019-02",0,445,0
"123","2019-03",0,444,0
"124","2019-04",0,443,0
"125","2019-05",0,441,0
"126","2019-06",0,440,0
"127","2019-07",0,439,0
"128","2019-08",0,440,0
"129","2019-09",0,439,0
"130","2019-10",0,438,0
"131","2019-11",0,438,0
"132","2019-12",0,437,0
"133","2020-01",0,437,0
"134","2020-02",0,437,0
"135","2020-03",0,438,0
"136","2020-04",0,438,0
"137","2020-05",0,442,0
"138","2020-06",0,440,0
"139","2020-07",0,440,0
"140","2020-08",0,439,0
"141","2020-09",0,438,0
"142","2020-10",0,440,0
"143","2020-11",0,439,0
"144","2020-12",0,439,0
