"","studyFUmonths","Freq","YM"
"1","200901",452,"2009-01"
"2","200902",452,"2009-02"
"3","200903",451,"2009-03"
"4","200904",451,"2009-04"
"5","200905",450,"2009-05"
"6","200906",450,"2009-06"
"7","200907",450,"2009-07"
"8","200908",451,"2009-08"
"9","200909",451,"2009-09"
"10","200910",457,"2009-10"
"11","200911",458,"2009-11"
"12","200912",455,"2009-12"
"13","201001",453,"2010-01"
"14","201002",453,"2010-02"
"15","201003",452,"2010-03"
"16","201004",448,"2010-04"
"17","201005",448,"2010-05"
"18","201006",446,"2010-06"
"19","201007",449,"2010-07"
"20","201008",451,"2010-08"
"21","201009",452,"2010-09"
"22","201010",457,"2010-10"
"23","201011",460,"2010-11"
"24","201012",460,"2010-12"
"25","201101",461,"2011-01"
"26","201102",461,"2011-02"
"27","201103",461,"2011-03"
"28","201104",464,"2011-04"
"29","201105",469,"2011-05"
"30","201106",471,"2011-06"
"31","201107",470,"2011-07"
"32","201108",474,"2011-08"
"33","201109",476,"2011-09"
"34","201110",478,"2011-10"
"35","201111",479,"2011-11"
"36","201112",481,"2011-12"
"37","201201",481,"2012-01"
"38","201202",483,"2012-02"
"39","201203",483,"2012-03"
"40","201204",479,"2012-04"
"41","201205",480,"2012-05"
"42","201206",482,"2012-06"
"43","201207",484,"2012-07"
"44","201208",485,"2012-08"
"45","201209",484,"2012-09"
"46","201210",485,"2012-10"
"47","201211",483,"2012-11"
"48","201212",482,"2012-12"
"49","201301",484,"2013-01"
"50","201302",482,"2013-02"
"51","201303",486,"2013-03"
"52","201304",486,"2013-04"
"53","201305",486,"2013-05"
"54","201306",481,"2013-06"
"55","201307",480,"2013-07"
"56","201308",478,"2013-08"
"57","201309",478,"2013-09"
"58","201310",478,"2013-10"
"59","201311",478,"2013-11"
"60","201312",478,"2013-12"
"61","201401",479,"2014-01"
"62","201402",480,"2014-02"
"63","201403",481,"2014-03"
"64","201404",483,"2014-04"
"65","201405",486,"2014-05"
"66","201406",487,"2014-06"
"67","201407",488,"2014-07"
"68","201408",489,"2014-08"
"69","201409",490,"2014-09"
"70","201410",491,"2014-10"
"71","201411",492,"2014-11"
"72","201412",492,"2014-12"
"73","201501",492,"2015-01"
"74","201502",493,"2015-02"
"75","201503",492,"2015-03"
"76","201504",493,"2015-04"
"77","201505",493,"2015-05"
"78","201506",491,"2015-06"
"79","201507",490,"2015-07"
"80","201508",488,"2015-08"
"81","201509",486,"2015-09"
"82","201510",484,"2015-10"
"83","201511",483,"2015-11"
"84","201512",481,"2015-12"
"85","201601",481,"2016-01"
"86","201602",479,"2016-02"
"87","201603",477,"2016-03"
"88","201604",476,"2016-04"
"89","201605",475,"2016-05"
"90","201606",471,"2016-06"
"91","201607",471,"2016-07"
"92","201608",473,"2016-08"
"93","201609",472,"2016-09"
"94","201610",470,"2016-10"
"95","201611",469,"2016-11"
"96","201612",469,"2016-12"
"97","201701",466,"2017-01"
"98","201702",466,"2017-02"
"99","201703",467,"2017-03"
"100","201704",466,"2017-04"
"101","201705",466,"2017-05"
"102","201706",466,"2017-06"
"103","201707",467,"2017-07"
"104","201708",466,"2017-08"
"105","201709",462,"2017-09"
"106","201710",461,"2017-10"
"107","201711",458,"2017-11"
"108","201712",459,"2017-12"
"109","201801",460,"2018-01"
"110","201802",459,"2018-02"
"111","201803",460,"2018-03"
"112","201804",459,"2018-04"
"113","201805",458,"2018-05"
"114","201806",457,"2018-06"
"115","201807",453,"2018-07"
"116","201808",451,"2018-08"
"117","201809",452,"2018-09"
"118","201810",452,"2018-10"
"119","201811",450,"2018-11"
"120","201812",449,"2018-12"
"121","201901",447,"2019-01"
"122","201902",445,"2019-02"
"123","201903",444,"2019-03"
"124","201904",443,"2019-04"
"125","201905",441,"2019-05"
"126","201906",440,"2019-06"
"127","201907",439,"2019-07"
"128","201908",440,"2019-08"
"129","201909",439,"2019-09"
"130","201910",438,"2019-10"
"131","201911",438,"2019-11"
"132","201912",437,"2019-12"
"133","202001",437,"2020-01"
"134","202002",437,"2020-02"
"135","202003",438,"2020-03"
"136","202004",438,"2020-04"
"137","202005",442,"2020-05"
"138","202006",440,"2020-06"
"139","202007",440,"2020-07"
"140","202008",439,"2020-08"
"141","202009",438,"2020-09"
"142","202010",440,"2020-10"
"143","202011",439,"2020-11"
"144","202012",439,"2020-12"
