"","YM","N","Freq","rates"
"1","2009-01",0,452,0
"2","2009-02",0,452,0
"3","2009-03",0,451,0
"4","2009-04",0,451,0
"5","2009-05",0,450,0
"6","2009-06",0,450,0
"7","2009-07",0,450,0
"8","2009-08",0,451,0
"9","2009-09",0,451,0
"10","2009-10",0,457,0
"11","2009-11",0,458,0
"12","2009-12",0,455,0
"13","2010-01",0,453,0
"14","2010-02",3,453,0.00662251655629139
"15","2010-03",7,452,0.0154867256637168
"16","2010-04",2,448,0.00446428571428571
"17","2010-05",2,448,0.00446428571428571
"18","2010-06",2,446,0.00448430493273543
"19","2010-07",0,449,0
"20","2010-08",1,451,0.00221729490022173
"21","2010-09",2,452,0.00442477876106195
"22","2010-10",0,457,0
"23","2010-11",2,460,0.00434782608695652
"24","2010-12",0,460,0
"25","2011-01",2,461,0.00433839479392625
"26","2011-02",1,461,0.00216919739696312
"27","2011-03",0,461,0
"28","2011-04",2,464,0.00431034482758621
"29","2011-05",0,469,0
"30","2011-06",0,471,0
"31","2011-07",0,470,0
"32","2011-08",0,474,0
"33","2011-09",2,476,0.00420168067226891
"34","2011-10",4,478,0.00836820083682008
"35","2011-11",1,479,0.00208768267223382
"36","2011-12",0,481,0
"37","2012-01",0,481,0
"38","2012-02",0,483,0
"39","2012-03",1,483,0.0020703933747412
"40","2012-04",1,479,0.00208768267223382
"41","2012-05",0,480,0
"42","2012-06",0,482,0
"43","2012-07",0,484,0
"44","2012-08",2,485,0.00412371134020619
"45","2012-09",1,484,0.00206611570247934
"46","2012-10",3,485,0.00618556701030928
"47","2012-11",3,483,0.0062111801242236
"48","2012-12",0,482,0
"49","2013-01",1,484,0.00206611570247934
"50","2013-02",2,482,0.004149377593361
"51","2013-03",2,486,0.00411522633744856
"52","2013-04",2,486,0.00411522633744856
"53","2013-05",3,486,0.00617283950617284
"54","2013-06",1,481,0.00207900207900208
"55","2013-07",2,480,0.00416666666666667
"56","2013-08",1,478,0.00209205020920502
"57","2013-09",1,478,0.00209205020920502
"58","2013-10",6,478,0.0125523012552301
"59","2013-11",2,478,0.00418410041841004
"60","2013-12",2,478,0.00418410041841004
"61","2014-01",0,479,0
"62","2014-02",1,480,0.00208333333333333
"63","2014-03",0,481,0
"64","2014-04",0,483,0
"65","2014-05",0,486,0
"66","2014-06",1,487,0.00205338809034908
"67","2014-07",0,488,0
"68","2014-08",0,489,0
"69","2014-09",1,490,0.00204081632653061
"70","2014-10",0,491,0
"71","2014-11",0,492,0
"72","2014-12",1,492,0.00203252032520325
"73","2015-01",0,492,0
"74","2015-02",2,493,0.00405679513184584
"75","2015-03",2,492,0.0040650406504065
"76","2015-04",1,493,0.00202839756592292
"77","2015-05",1,493,0.00202839756592292
"78","2015-06",4,491,0.00814663951120163
"79","2015-07",2,490,0.00408163265306122
"80","2015-08",3,488,0.00614754098360656
"81","2015-09",0,486,0
"82","2015-10",1,484,0.00206611570247934
"83","2015-11",0,483,0
"84","2015-12",0,481,0
"85","2016-01",3,481,0.00623700623700624
"86","2016-02",1,479,0.00208768267223382
"87","2016-03",0,477,0
"88","2016-04",3,476,0.00630252100840336
"89","2016-05",0,475,0
"90","2016-06",1,471,0.00212314225053079
"91","2016-07",2,471,0.00424628450106157
"92","2016-08",1,473,0.00211416490486258
"93","2016-09",2,472,0.00423728813559322
"94","2016-10",0,470,0
"95","2016-11",0,469,0
"96","2016-12",2,469,0.00426439232409382
"97","2017-01",0,466,0
"98","2017-02",0,466,0
"99","2017-03",0,467,0
"100","2017-04",1,466,0.00214592274678112
"101","2017-05",1,466,0.00214592274678112
"102","2017-06",1,466,0.00214592274678112
"103","2017-07",2,467,0.00428265524625268
"104","2017-08",0,466,0
"105","2017-09",0,462,0
"106","2017-10",0,461,0
"107","2017-11",0,458,0
"108","2017-12",1,459,0.00217864923747277
"109","2018-01",1,460,0.00217391304347826
"110","2018-02",0,459,0
"111","2018-03",0,460,0
"112","2018-04",2,459,0.00435729847494553
"113","2018-05",1,458,0.00218340611353712
"114","2018-06",0,457,0
"115","2018-07",0,453,0
"116","2018-08",1,451,0.00221729490022173
"117","2018-09",0,452,0
"118","2018-10",1,452,0.00221238938053097
"119","2018-11",1,450,0.00222222222222222
"120","2018-12",0,449,0
"121","2019-01",0,447,0
"122","2019-02",1,445,0.00224719101123596
"123","2019-03",0,444,0
"124","2019-04",0,443,0
"125","2019-05",0,441,0
"126","2019-06",2,440,0.00454545454545455
"127","2019-07",1,439,0.00227790432801822
"128","2019-08",2,440,0.00454545454545455
"129","2019-09",0,439,0
"130","2019-10",2,438,0.0045662100456621
"131","2019-11",0,438,0
"132","2019-12",1,437,0.0022883295194508
"133","2020-01",0,437,0
"134","2020-02",1,437,0.0022883295194508
"135","2020-03",0,438,0
"136","2020-04",0,438,0
"137","2020-05",0,442,0
"138","2020-06",0,440,0
"139","2020-07",0,440,0
"140","2020-08",0,439,0
"141","2020-09",0,438,0
"142","2020-10",0,440,0
"143","2020-11",0,439,0
"144","2020-12",0,439,0
