atc5,minsan,days
V04CX,048994014,0
H05AA02,048993024,84
H05AA02,048993012,28
L04AA,048988024,0
L04AA,048988012,0
L01CD04,048986018,27.9
L01XC07,048985028,16
L01XC07,048985016,4
R07AX,048984013,0
H05AA02,048971028,84
H05AA02,048971016,28
J01XX12,048963021,0
J01XX12,048963019,0
L01XE56,048961027,0
L01XE56,048961015,0
J05AX,048960013,30
J04A,048955052,0
J04A,048955049,0
J04A,048955037,0
J04A,048955025,0
J04A,048955013,0
R03AL12,048917052,0
R03AL12,048917049,0
R03AL12,048917037,0
R03AL12,048917025,0
R03AL12,048917013,0
J07BX,048914016,20
R03AL12,048913053,0
R03AL12,048913040,0
R03AL12,048913038,0
R03AL12,048913026,0
R03AL12,048913014,0
L01XC03,048912012,7.5
J07BX,048911010,20
N05AX13,048910069,0
N05AX13,048910057,60
N05AX13,048910044,40
N05AX13,048910032,30
N05AX13,048910020,20
N05AX13,048910018,10
M02AA15,048893010,28.57
A10AB05,048857054,75
A10AB05,048857041,37.5
A10AB05,048857039,75
A10AB05,048857027,37.5
A10AB05,048857015,7.5
G03CA03,048856025,9.6
G03CA03,048856013,7.2
J05,048854020,0
J05,048854018,0
D11AX18,048816019,7.14
G02BB01,048815017,28
N05CD08,048808012,0.66
S01BA01,048806018,8.33
R03AK14,048802122,0
R03AK14,048802110,0
R03AK14,048802108,0
R03AK14,048802096,0
R03AK14,048802084,0
R03AK14,048802072,0
R03AK14,048802060,0
R03AK14,048802058,0
R03AK14,048802045,0
R03AK14,048802033,0
R03AK14,048802021,0
R03AK14,048802019,0
R03AK14,048801120,0
R03AK14,048801118,0
R03AK14,048801106,0
R03AK14,048801094,0
R03AK14,048801082,0
R03AK14,048801070,0
R03AK14,048801068,0
R03AK14,048801056,0
R03AK14,048801043,0
R03AK14,048801031,0
R03AK14,048801029,0
R03AK14,048801017,0
B02BB01,048798019,0.2
J07BB02,048797043,10
J07BB02,048797031,0
J07BB02,048797029,1
J07BB02,048797017,1
L04AB01,048796066,85.71
L04AB01,048796054,28.57
L04AB01,048796041,85.71
L04AB01,048796039,28.57
L04AB01,048796027,42.85
L04AB01,048796015,14.28
J01MA02,048744015,3
N02BB02,048739015,3.33
N05AL05,048738049,1.5
N05AL05,048738013,1.5
M03BX02,048737011,10
G03AA12,048736019,28
L01XX27,048726020,10
L01XX27,048726018,10
R03AK07,048725067,90
R03AK07,048725055,60
R03AK07,048725042,30
R03AK07,048725030,90
R03AK07,048725028,60
R03AK07,048725016,30
B01AC21,048724049,23.25
B01AC21,048724037,11.62
B01AC21,048724025,5.81
B01AC21,048724013,2.32
J01AA12,048723023,0.5
J01AA12,048723011,5
J01D,048722019,0
C10AX,048721068,0
C10AX,048721056,0
C10AX,048721043,0
C10AX,048721031,0
C10AX,048721029,0
C10AX,048721017,0
L01XC02,048720027,66.67
L01XC02,048720015,13.33
A10BJ06,048719102,0
A10BJ06,048719090,0
A10BJ06,048719088,0
A10BJ06,048719076,0
A10BJ06,048719064,0
A10BJ06,048719052,0
A10BJ06,048719049,0
A10BJ06,048719037,0
A10BJ06,048719025,0
A10BJ06,048719013,0
M02AA15,048717045,5
M02AA15,048717033,3.5
M02AA15,048717021,2.5
M02AA15,048717019,1
J07AE02,048696013,0
G03DB08,048681035,168
G03DB08,048681023,84
G03DB08,048681011,28
C10,048668065,0
C10,048668053,0
C10,048668040,0
C10,048668038,0
C10,048668026,0
C10,048668014,0
H05BX01,048667125,45
H05BX01,048667113,126
H05BX01,048667101,42
H05BX01,048667099,21
H05BX01,048667087,30
H05BX01,048667075,84
H05BX01,048667063,28
H05BX01,048667051,14
H05BX01,048667048,15
H05BX01,048667036,42
H05BX01,048667024,14
H05BX01,048667012,7
N05CD08,048664066,33.33
N05CD08,048664054,10
N05CD08,048664041,3.33
N05CD08,048664039,16.66
N05CD08,048664027,5
N05CD08,048664015,1.66
P01BA02,048646071,38.75
P01BA02,048646069,34.88
P01BA02,048646057,23.25
P01BA02,048646044,19.37
P01BA02,048646020,11.62
P01BA02,048646018,7.75
J07BB02,048644064,10
J07BB02,048644052,5
J07BB02,048644049,1
J07BB02,048644037,10
J07BB02,048644025,5
J07BB02,048644013,1
N04BB01,048638011,7.5
A10BH02,048636017,14
S01CA01,048633010,12.5
S01GX09,048632018,25
M01AE01,048631016,2
S01AE07,048629012,12.5
S01CA05,048628010,7.14
A10AB04,048613158,150
A10AB04,048613145,75
A10AB04,048613133,30
A10AB04,048613121,75
A10AB04,048613119,37.5
A10AB04,048613107,15
A10AB04,048613095,75
A10AB04,048613083,37.5
A10AB04,048613071,15
A10AB04,048613069,75
A10AB04,048613057,37.5
A10AB04,048613044,15
A10AB04,048613032,125
A10AB04,048613020,50
A10AB04,048613018,25
L01BC07,048612016,1
D11AH06,048611040,0
D11AH06,048611038,0
D11AH06,048611026,0
D11AH06,048611014,0
L02BB06,048610012,0
L01BC07,048609022,7
L01BC07,048609010,1
G03AA12,048586010,28
S01BC03,048585018,33.33
S01AE01,048584015,25
G03AC09,048583013,28
N05CD09,048580017,30
D07AC01,048579015,15
D01AC02,048578013,15
N02AJ06,048577011,5.33
N05BA11,048576019,10
R01AD,048575017,5
C10BA05,048574038,30
C10BA05,048574026,30
C10BA05,048574014,30
V03AN01,048551016,0
J01DH56,048537017,0
N05CM18,048526103,5
N05CM18,048526091,4
N05CM18,048526089,1
N05CM18,048526077,2
N05CM18,048526065,1.6
N05CM18,048526053,0.4
N05CM18,048526040,5
N05CM18,048526038,1
N05CM18,048526026,0.8
N05CM18,048526014,0
L01BC07,048524019,1
R05CB02,048523017,8.33
N03AG01,048522015,10
B01AC30,048521013,28
G03AD02,048520011,1
G03AA14,048519019,28
A03BB01,048518017,5
B05BA10,048517066,4
B05BA10,048517054,4
B05BA10,048517041,6
B05BA10,048517039,1
B05BA10,048517027,1
B05BA10,048517015,1
A16AX16,048516013,0
A07DA03,048515035,2.4
A07DA03,048515023,2.4
A07DA03,048515011,2.4
N05CF02,048514032,30
N05CF02,048514020,30
G03AA12,048513028,28
G03AA12,048513016,28
V03AC03,048501035,6.17
V03AC03,048501023,3.08
V03AC03,048501011,1.54
S01LA06,048480026,0
S01LA06,048480014,0
S01CA01,048449019,12.5
S01AA23,048448017,25
N05BA06,048447128,60
N05BA06,048447116,50
N05BA06,048447104,30
N05BA06,048447092,20
N05BA06,048447080,24
N05BA06,048447078,20
N05BA06,048447066,12
N05BA06,048447054,8
N05BA06,048447041,12
N05BA06,048447039,10
N05BA06,048447027,6
N05BA06,048447015,4
N06BA14,048446102,0
N06BA14,048446090,0
N06BA14,048446088,0
N06BA14,048446076,0
N06BA14,048446064,0
N06BA14,048446052,0
N06BA14,048446049,0
N06BA14,048446037,0
N06BA14,048446025,0
